acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_fixation,count_incorrectFeedback,count_instruction1,count_instruction2,count_keyboard_response,count_logger,count_memorySet,count_new_loop,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instruction2,response_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instruction2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_fixation,time_incorrectFeedback,time_instruction1,time_instruction2,time_keyboard_response,time_logger,time_memorySet,time_new_loop,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1638,1638,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,1638,17297,NA,1638,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,2,26667,NA,24458,2648,24461,NA,2652,NA,28670,30309,25464,NA,19950,28670,NA,New experiment,1,1638,1,yes,1024
50,50,1819,1819,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,None,right,NA,None,NA,2000,17297,NA,2000,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,4,33736,30381,31528,2648,31530,NA,2652,NA,35739,37739,32533,NA,19950,35739,NA,New experiment,1,3638,2,yes,1024
66.66666667,66.66666667,1662.666667,1662.666667,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,2,2,2,0,2,2,0,0,2,2,2,0,0,2,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,1350,17297,NA,1350,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,6,41091,30381,38883,2648,38885,37744,2652,NA,43094,44445,39888,NA,19950,43094,NA,New experiment,2,4988,3,yes,1024
75,75,1568.75,1568.75,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,3,3,3,0,3,3,0,0,3,3,3,0,0,3,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,1287,17297,NA,1287,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,3,47803,44450,45594,2648,45597,37744,2652,NA,49806,51093,46600,NA,19950,49806,NA,New experiment,3,6275,4,yes,1024
80,80,1470,1470,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,4,4,4,0,4,4,0,0,4,4,4,0,0,4,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,1075,17297,NA,1075,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,3,54447,51099,52238,2648,52240,37744,2652,NA,56450,57525,53244,NA,19950,56450,NA,New experiment,4,7350,5,yes,1024
83.33333333,83.33333333,1469,1469,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,5,5,5,0,5,5,0,0,5,5,5,0,0,5,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,left,right,NA,left,NA,1464,17297,NA,1464,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,4,60874,57530,58666,2648,58668,37744,2652,NA,62877,64341,59671,NA,19950,62877,NA,New experiment,5,8814,6,yes,1024
85.71428571,85.71428571,1434,1434,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,6,6,6,0,6,6,0,0,6,6,6,0,0,6,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,1224,17297,NA,1224,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,6,67697,64346,65488,2648,65491,37744,2652,NA,69701,70925,66494,NA,19950,69701,NA,New experiment,6,10038,7,yes,1024
87.5,87.5,1376.625,1376.625,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,7,7,7,0,7,7,0,0,7,7,7,0,0,7,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,975,17297,NA,975,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,4,74275,70931,72067,2648,72069,37744,2652,NA,76278,77254,73072,NA,19950,76278,NA,New experiment,7,11013,8,yes,1024
88.88888889,88.88888889,1357.888889,1357.888889,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,8,8,8,0,8,8,0,0,8,8,8,0,0,8,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,right,NA,left,NA,1208,17297,NA,1208,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,5,80602,77259,78394,2648,78396,37744,2652,NA,82605,83814,79399,NA,19950,82605,NA,New experiment,8,12221,9,yes,1024
90,90,1341.4,1341.4,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,9,9,9,0,9,9,0,0,9,9,9,0,0,9,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,1193,17297,NA,1193,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,5,87168,83819,84959,2648,84962,37744,2652,NA,89171,90365,85965,NA,19950,89171,NA,New experiment,9,13414,10,yes,1024
90.90909091,90.90909091,1311,1311,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,10,10,10,0,10,10,0,0,10,10,10,0,0,10,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,10,10,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,1007,17297,NA,1007,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,6,93714,90370,91506,2648,91508,37744,2652,NA,95717,96725,92511,NA,19950,95717,NA,New experiment,10,14421,11,yes,1024
91.66666667,91.66666667,1347.583333,1347.583333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,11,11,11,0,11,11,0,0,11,11,11,0,0,11,0,10/27/19 15:29,sternberg task,yes,sternbergtask.osexp,C:/Users/DLGoupil/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/DLGoupil/Desktop/dg-subject-1.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,right,NA,left,NA,1750,17297,NA,1750,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,8,100075,96730,97866,2648,97869,37744,2652,NA,102078,103829,98872,NA,19950,102078,NA,New experiment,11,16171,12,yes,1024
