"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_new_keyboard_response","correct_response","count_Fixation","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_incorrectFeedback","count_instruction1","count_instructions2","count_memorySet","count_new_keyboard_response","count_new_logger","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_new_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_new_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_Fixation","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_incorrectFeedback","time_instruction1","time_instructions2","time_memorySet","time_new_keyboard_response","time_new_logger","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","740","740","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Oct 18 20:39:12 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3/subject-1.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","left","right","NA","left","NA","740","23855","NA","740","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","27529","29763","NA","27514","3335","NA","NA","3353","NA","28545","31778","32520","27221","31778","NA","Sternberg Task","1","740","1","yes","1024"
"100","100","672","672","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","1","1","1","1","0","0","1","0","0","1","1","1","0","1","0","Sun Oct 18 20:39:12 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3/subject-1.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","604","23855","NA","604","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","33674","35914","32565","33657","3335","NA","NA","3353","NA","34694","37933","38538","27221","37933","NA","Sternberg Task","2","1344","2","yes","1024"
"100","100","750","750","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","2","2","2","0","0","2","0","0","2","2","2","0","2","0","Sun Oct 18 20:39:12 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3/subject-1.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","left","right","NA","left","NA","906","23855","NA","906","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","39664","41902","38585","39647","3335","NA","NA","3353","NA","40682","43920","44827","27221","43920","NA","Sternberg Task","3","2250","3","yes","1024"
"100","100","695.25","695.25","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","3","3","0","0","3","0","0","3","3","3","0","3","0","Sun Oct 18 20:39:12 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3/subject-1.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","531","23855","NA","531","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","45943","48180","44849","45925","3335","NA","NA","3353","NA","46959","50201","50733","27221","50201","NA","Sternberg Task","4","2781","4","yes","1024"
"100","100","706","706","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","4","4","0","0","4","0","0","4","4","4","0","4","0","Sun Oct 18 20:39:12 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3/subject-1.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","left","right","NA","left","NA","749","23855","NA","749","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","51847","54085","50752","51830","3335","NA","NA","3353","NA","52865","56103","56853","27221","56103","NA","Sternberg Task","5","3530","5","yes","1024"
"100","100","694.6666666666666","694.6666666666666","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","5","5","5","0","0","5","0","0","5","5","5","0","5","0","Sun Oct 18 20:39:12 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3/subject-1.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","638","23855","NA","638","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","57966","60203","56872","57948","3335","NA","NA","3353","NA","58985","62222","62861","27221","62222","NA","Sternberg Task","6","4168","6","yes","1024"
"100","100","674.7142857142857","674.7142857142857","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","6","6","0","0","6","0","0","6","6","6","0","6","0","Sun Oct 18 20:39:12 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3/subject-1.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","555","23855","NA","555","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","63975","66215","62884","63957","3335","NA","NA","3353","NA","64994","68233","68789","27221","68233","NA","Sternberg Task","7","4723","7","yes","1024"
"100","100","677.625","677.625","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","7","7","7","0","0","7","0","0","7","7","7","0","7","0","Sun Oct 18 20:39:12 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3/subject-1.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","698","23855","NA","698","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","69899","72136","68810","69881","3335","NA","NA","3353","NA","70917","74154","74853","27221","74154","NA","Sternberg Task","8","5421","8","yes","1024"
"100","100","718.7777777777778","718.7777777777778","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","8","8","0","0","8","0","0","8","8","8","0","8","0","Sun Oct 18 20:39:12 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3/subject-1.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","1048","23855","NA","1048","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","75952","78187","74876","75936","3335","NA","NA","3353","NA","76968","80205","81253","27221","80205","NA","Sternberg Task","9","6469","9","yes","1024"
"100","100","712.8","712.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","9","9","0","0","9","0","0","9","9","9","0","9","0","Sun Oct 18 20:39:12 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/tforestmoore/Desktop/Tarleton/Fall 2020/Math/Lab3/subject-1.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","659","23855","NA","659","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","82375","84616","81272","82356","3335","NA","NA","3353","NA","83393","86635","87295","27221","86635","NA","Sternberg Task","10","7128","10","yes","1024"
