"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_ISI","count_Instructions1","count_Practiceloop","count_closing","count_correctFeedback","count_experiment","count_experimentalLoop","count_expsequence","count_fixation","count_incorrectFeedback","count_instructions2","count_keyboard_response","count_logger","count_memoryset","count_probe","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Practiceloop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","psychopy_suppress_warnings","repeat_cycle","response","response_Instructions1","response_closing","response_instructions2","response_keyboard_response","response_time","response_time_Instructions1","response_time_closing","response_time_instructions2","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_Instructions1","time_Practiceloop","time_closing","time_correctFeedback","time_experiment","time_experimentalLoop","time_expsequence","time_fixation","time_incorrectFeedback","time_instructions2","time_keyboard_response","time_logger","time_memoryset","time_probe","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","588","588","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","left","NA","NA","right","588","7556","NA","NA","588","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","12813","1933","9490","NA","NA","1926","NA","10598","10601","NA","NA","14819","15407","11607","14819","Sternberg Task","1","588","1","yes","1024"
"100","100","620.5","620.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","0","0","0","1","0","0","1","1","1","0","1","1","1","1","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","yes","0","left","left","NA","NA","left","653","7556","NA","NA","653","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","18845","1933","9490","NA","15490","1926","NA","16631","16634","NA","NA","20852","21506","17639","20851","Sternberg Task","2","1241","2","yes","1024"
"100","100","682.666666667","682.666666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","0","0","0","2","0","0","2","2","2","0","2","2","2","2","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","left","NA","NA","right","807","7556","NA","NA","807","2","legacy","3","1024","2","48000","-16","experiment","3","odd","2","24872","1933","9490","NA","21511","1926","NA","22657","22660","NA","NA","26878","27686","23666","26878","Sternberg Task","3","2048","3","yes","1024"
"100","100","726.5","726.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","0","0","0","3","0","0","3","3","3","0","3","3","3","3","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","left","NA","NA","right","858","7556","NA","NA","858","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","31051","1933","9490","NA","27691","1926","NA","28836","28839","NA","NA","33058","33917","29845","33057","Sternberg Task","4","2906","4","yes","1024"
"100","100","847.6","847.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","0","0","0","4","0","0","4","4","4","0","4","4","4","4","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","yes","0","left","left","NA","NA","left","1332","7556","NA","NA","1332","2","legacy","3","1024","2","48000","-16","experiment","3","odd","4","37276","1933","9490","NA","33922","1926","NA","35061","35064","NA","NA","39283","40616","36070","39283","Sternberg Task","5","4238","5","yes","1024"
"100","100","864.666666667","864.666666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","0","0","0","5","0","0","5","5","5","0","5","5","5","5","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","left","NA","NA","right","950","7556","NA","NA","950","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","43971","1933","9490","NA","40621","1926","NA","41756","41759","NA","NA","45977","46928","42765","45976","Sternberg Task","6","5188","6","yes","1024"
"100","100","850","850","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","0","0","0","6","0","0","6","6","6","0","6","6","6","6","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","yes","0","left","left","NA","NA","left","762","7556","NA","NA","762","2","legacy","2","1024","2","48000","-16","experiment","3","odd","4","50283","1933","9490","NA","46933","1926","NA","48069","48072","NA","NA","52291","53054","49078","52290","Sternberg Task","7","5950","7","yes","1024"
"100","100","864.375","864.375","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","0","0","0","7","0","0","7","7","7","0","7","7","7","7","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","yes","0","left","left","NA","NA","left","965","7556","NA","NA","965","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","56407","1933","9490","NA","53059","1926","NA","54193","54195","NA","NA","58413","59379","55201","58412","Sternberg Task","8","6915","8","yes","1024"
"100","100","952.555555556","952.555555556","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","0","0","0","8","0","0","8","8","8","0","8","8","8","8","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","left","NA","NA","right","1658","7556","NA","NA","1658","2","legacy","2","1024","2","48000","-16","experiment","3","odd","5","62739","1933","9490","NA","59384","1926","NA","60523","60526","NA","NA","64746","66405","61534","64746","Sternberg Task","9","8573","9","yes","1024"
"100","100","918","918","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","0","0","0","9","0","0","9","9","9","0","9","9","9","9","10/25/20 18:13:03","The main experiment item","yes","SternbergTask.osexp","C:\Users\User\Desktop\Quant 2020\Sternberg Task 3","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/VT-subject-3.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","left","NA","NA","right","607","7556","NA","NA","607","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","69759","1933","9490","NA","66410","1926","NA","67546","67548","NA","NA","71767","72375","68553","71766","Sternberg Task","10","9180","10","yes","1024"
