"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_isi","count_keyboard_response","count_logger","count_memorySet","count_practiceloop","count_prob","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceloop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_isi","time_keyboard_response","time_logger","time_memorySet","time_practiceloop","time_prob","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","729","729","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/22/20 21:58:44","The main experiment item","yes","SternbergTask.osexp","C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-4.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","left","right","NA","left","NA","729","7984","NA","729","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","8","NA","12737","4190","NA","12740","NA","4197","NA","14945","16946","17676","13741","12182","16946","NA","Sternberg Task","1","729","1","yes","1024"
"50","50","1364.5","1364.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","1","1","0","0","1","1","0","0","1","1","1","1","0","1","0","10/22/20 21:58:44","The main experiment item","yes","SternbergTask.osexp","C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-4.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","None","right","NA","None","NA","2000","7984","NA","2000","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","6","17719","18776","4190","NA","18778","NA","4197","NA","20982","22984","24984","19779","12182","22983","NA","Sternberg Task","1","2729","2","yes","1024"
"66.6666666667","66.6666666667","1270","1270","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","2","0","0","2","2","0","0","2","2","2","2","0","2","0","10/22/20 21:58:44","The main experiment item","yes","SternbergTask.osexp","C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-4.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","1081","7984","NA","1081","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","4","17719","26068","4190","NA","26070","24998","4197","NA","28275","30276","31358","27071","12182","30276","NA","Sternberg Task","2","3810","3","yes","1024"
"75","75","1186.5","1186.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","0","0","3","3","0","0","3","3","3","3","0","3","0","10/22/20 21:58:44","The main experiment item","yes","SternbergTask.osexp","C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-4.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","936","7984","NA","936","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","31369","32427","4190","NA","32428","24998","4197","NA","34635","36637","37574","33430","12182","36637","NA","Sternberg Task","3","4746","4","yes","1024"
"60","60","1171","1171","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","4","4","0","0","4","4","0","0","4","4","4","4","0","4","0","10/22/20 21:58:44","The main experiment item","yes","SternbergTask.osexp","C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-4.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","0","left","right","NA","left","NA","1109","7984","NA","1109","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","37586","38641","4190","NA","38643","24998","4197","NA","40845","42849","43959","39644","12182","42848","NA","Sternberg Task","3","5855","5","yes","1024"
"50","50","1139.5","1139.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","10/22/20 21:58:44","The main experiment item","yes","SternbergTask.osexp","C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-4.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","left","right","NA","left","NA","982","7984","NA","982","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","5","37586","45026","4190","NA","45027","43972","4197","NA","47233","49235","50218","46029","12182","49235","NA","Sternberg Task","3","6837","6","yes","1024"
"57.1428571429","57.1428571429","1131.14285714","1131.14285714","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","0","0","6","6","0","0","6","6","6","6","0","6","0","10/22/20 21:58:44","The main experiment item","yes","SternbergTask.osexp","C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-4.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","1081","7984","NA","1081","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","4","37586","51285","4190","NA","51286","50229","4197","NA","53494","55495","56576","52290","12182","55495","NA","Sternberg Task","4","7918","7","yes","1024"
"50","50","1239.75","1239.75","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","7","7","0","0","7","7","0","0","7","7","7","7","0","7","0","10/22/20 21:58:44","The main experiment item","yes","SternbergTask.osexp","C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-4.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","None","right","NA","None","NA","2000","7984","NA","2000","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","5","56589","57644","4190","NA","57646","50229","4197","NA","59849","61850","63850","58647","12182","61850","NA","Sternberg Task","4","9918","8","yes","1024"
"55.5555555556","55.5555555556","1217.77777778","1217.77777778","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","0","0","8","8","0","0","8","8","8","8","0","8","0","10/22/20 21:58:44","The main experiment item","yes","SternbergTask.osexp","C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-4.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","1042","7984","NA","1042","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","3","56589","64915","4190","NA","64917","63862","4197","NA","67119","69120","70163","65918","12182","69120","NA","Sternberg Task","5","10960","9","yes","1024"
"60","60","1184.3","1184.3","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","0","0","9","9","0","0","9","9","9","9","0","9","0","10/22/20 21:58:44","The main experiment item","yes","SternbergTask.osexp","C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-4.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","883","7984","NA","883","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","3","70175","71229","4190","NA","71231","63862","4197","NA","73434","75435","76319","72232","12182","75435","NA","Sternberg Task","6","11843","10","yes","1024"
