"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_Instructions2","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instructions2","response_instruction1","response_keyboard_response","response_thankYou","response_time","response_time_Instructions2","response_time_instruction1","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_Instructions2","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","923","923","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","923","NA","7216","923","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","19263","NA","NA","17048","6785","NA","17052","NA","6792","21269","22193","18057","14010","21269","NA","Sternberg task","1","923","1","yes","1024"
"100","100","869","869","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","1","0","1","1","0","0","1","1","0","1","1","1","0","1","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","815","NA","7216","815","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","25849","NA","22429","23633","6785","NA","23637","NA","6792","27856","28672","24643","14010","27855","NA","Sternberg task","2","1738","2","yes","1024"
"100","100","729","729","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","0","2","2","0","0","2","2","0","2","2","2","0","2","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","NA","right","left","NA","449","NA","7216","449","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","32113","NA","28694","29899","6785","NA","29903","NA","6792","34119","34569","30908","14010","34119","NA","Sternberg task","3","2187","3","yes","1024"
"75","75","648.5","648.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","3","0","3","3","0","0","3","3","0","3","3","3","0","3","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","right","NA","right","right","NA","407","NA","7216","407","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","38019","NA","34606","35803","6785","NA","35808","NA","6792","40025","40433","36813","14010","40025","NA","Sternberg task","3","2594","4","yes","1024"
"80","80","635.8","635.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","0","4","4","0","0","4","4","0","4","4","4","0","4","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","left","NA","right","left","NA","585","NA","7216","585","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","43873","NA","34606","41658","6785","NA","41662","40458","6792","45879","46465","42667","14010","45879","NA","Sternberg task","4","3179","5","yes","1024"
"83.3333333333","83.3333333333","631.333333333","631.333333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","0","5","5","0","0","5","5","0","5","5","5","0","5","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","609","NA","7216","609","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","49906","NA","46492","47692","6785","NA","47696","40458","6792","51911","52521","48701","14010","51911","NA","Sternberg task","5","3788","6","yes","1024"
"71.4285714286","71.4285714286","623.142857143","623.142857143","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","6","0","6","6","0","0","6","6","0","6","6","6","0","6","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","0","left","NA","right","left","NA","574","NA","7216","574","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","55958","NA","52543","53743","6785","NA","53747","40458","6792","57962","58537","54752","14010","57962","NA","Sternberg task","5","4362","7","yes","1024"
"62.5","62.5","622.75","622.75","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","7","0","7","7","0","0","7","7","0","7","7","7","0","7","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","right","NA","right","right","NA","620","NA","7216","620","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","61976","NA","52543","59762","6785","NA","59766","58563","6792","63980","64601","60770","14010","63980","NA","Sternberg task","5","4982","8","yes","1024"
"66.6666666667","66.6666666667","612.111111111","612.111111111","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","0","8","8","0","0","8","8","0","8","8","8","0","8","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","NA","right","left","NA","527","NA","7216","527","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","68036","NA","52543","65821","6785","NA","65825","64622","6792","70041","70569","66830","14010","70040","NA","Sternberg task","6","5509","9","yes","1024"
"70","70","619.8","619.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","0","9","9","0","0","9","9","0","9","9","9","0","9","0","10/11/20 19:49:44","The main experiment item","yes","Sternbergtask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/solom/Desktop/MW-subject-1.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","689","NA","7216","689","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","74075","NA","70656","71864","6785","NA","71868","64622","6792","76079","76770","72872","14010","76079","NA","Sternberg task","7","6198","10","yes","1024"
