"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_IncorrectFeedback","count_PracticeLoop","count_correctFeedback","count_expSequence","count_experiment","count_experimentloop","count_fixation","count_instructions1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_probe","count_thankyou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","psychopy_waitblanking","repeat_cycle","response","response_instructions1","response_instructions2","response_keyboard_response","response_thankyou","response_time","response_time_instructions1","response_time_instructions2","response_time_keyboard_response","response_time_thankyou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_IncorrectFeedback","time_PracticeLoop","time_correctFeedback","time_expSequence","time_experiment","time_experimentloop","time_fixation","time_instructions1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_probe","time_thankyou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1129","1129","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Owner/KJPsubject-1.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","NA","right","NA","1129","6690","NA","1129","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","13628","NA","10243","NA","11418","3546","NA","11420","3552","NA","15632","16762","12424","15632","NA","Sternberg Task ","1","1129","1","yes","1024"
"100","100","1080","1080","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","1","1","0","1","1","0","0","1","0","0","1","1","1","1","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Owner/KJPsubject-1.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","NA","right","NA","1031","6690","NA","1031","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","20105","NA","10243","16791","17896","3546","NA","17897","3552","NA","22109","23141","18901","22109","NA","Sternberg Task ","2","2160","2","yes","1024"
"100","100","970","970","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","0","2","2","0","0","2","0","0","2","2","2","2","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Owner/KJPsubject-1.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","NA","right","NA","750","6690","NA","750","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","26463","NA","10243","23144","24253","3546","NA","24255","3552","NA","28467","29217","25259","28467","NA","Sternberg Task ","3","2910","3","yes","1024"
"100","100","978","978","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","0","3","3","0","0","3","0","0","3","3","3","3","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Owner/KJPsubject-1.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","NA","right","NA","1002","6690","NA","1002","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","32568","NA","10243","29221","30357","3546","NA","30359","3552","NA","34573","35575","31363","34572","NA","Sternberg Task ","4","3912","4","yes","1024"
"100","100","935.8","935.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","0","4","4","0","0","4","0","0","4","4","4","4","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Owner/KJPsubject-1.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","yes","0","left","right","NA","left","NA","767","6690","NA","767","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","38855","NA","10243","35578","36648","3546","NA","36650","3552","NA","40856","41624","37651","40856","NA","Sternberg Task ","5","4679","5","yes","1024"
"100","100","887","887","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","5","0","5","5","0","0","5","0","0","5","5","5","5","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Owner/KJPsubject-1.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","yes","0","left","right","NA","left","NA","643","6690","NA","643","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","44950","NA","10243","41627","42741","3546","NA","42742","3552","NA","46954","47598","43746","46954","NA","Sternberg Task ","6","5322","6","yes","1024"
"100","100","904.4285714285714","904.4285714285714","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","0","6","6","0","0","6","0","0","6","6","6","6","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Owner/KJPsubject-1.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","yes","0","left","right","NA","left","NA","1009","6690","NA","1009","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","50874","NA","10243","47601","48665","3546","NA","48666","3552","NA","52879","53889","49670","52878","NA","Sternberg Task ","7","6331","7","yes","1024"
"100","100","883.375","883.375","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","0","7","7","0","0","7","0","0","7","7","7","7","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Owner/KJPsubject-1.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","yes","0","left","right","NA","left","NA","736","6690","NA","736","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","57211","NA","10243","53892","55001","3546","NA","55002","3552","NA","59215","59951","56007","59215","NA","Sternberg Task ","8","7067","8","yes","1024"
"100","100","868.5555555555555","868.5555555555555","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","8","0","8","8","0","0","8","0","0","8","8","8","8","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Owner/KJPsubject-1.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","yes","0","left","right","NA","left","NA","750","6690","NA","750","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","63280","NA","10243","59955","61071","3546","NA","61073","3552","NA","65284","66035","62077","65284","NA","Sternberg Task ","9","7817","9","yes","1024"
"100","100","849.6","849.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","0","9","9","0","0","9","0","0","9","9","9","9","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Owner/KJPsubject-1.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","NA","right","NA","679","6690","NA","679","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","69347","NA","10243","66038","67138","3546","NA","67139","3552","NA","71352","72032","68143","71352","NA","Sternberg Task ","10","8496","10","yes","1024"
"100","100","853.8181818181819","853.8181818181819","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","10","10","0","10","10","0","0","10","0","0","10","10","10","10","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/Owner/KJPsubject-1.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","NA","right","NA","896","6690","NA","896","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","75309","NA","10243","72036","73103","3546","NA","73104","3552","NA","77310","78207","74105","77310","NA","Sternberg Task ","11","9392","11","yes","1024"
"100","100","848.9166666666666","848.9166666666666","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","11","11","0","11","11","0","0","11","0","0","11","11","11","11","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/Owner/KJPsubject-1.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","yes","0","left","right","NA","left","NA","795","6690","NA","795","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","81524","NA","10243","78210","79315","3546","NA","79316","3552","NA","83530","84327","80320","83530","NA","Sternberg Task ","12","10187","12","yes","1024"
"100","100","838.7692307692307","838.7692307692307","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","12","12","0","12","12","0","0","12","0","0","12","12","12","12","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","0","11","C:/Users/Owner/KJPsubject-1.csv","legacy","3 4 2","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","left","right","NA","717","6690","4404","717","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","5","92061","NA","10243","84330","89853","3546","89790","89854","3552","85385","94066","94784","90858","94066","NA","Sternberg Task ","13","10904","13","yes","1024"
"100","100","833.7142857142857","833.7142857142857","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","13","13","0","13","13","0","0","13","0","0","13","13","13","13","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","1","11","C:/Users/Owner/KJPsubject-1.csv","legacy","6 9 5","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","left","right","NA","768","6690","4404","768","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","8","98108","NA","10243","94787","95899","3546","89790","95900","3552","85385","100112","100881","96904","100112","NA","Sternberg Task ","14","11672","14","yes","1024"
"100","100","835.7333333333333","835.7333333333333","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","14","14","0","14","14","0","0","14","0","0","14","14","14","14","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","2","11","C:/Users/Owner/KJPsubject-1.csv","legacy","2 8 6 3 1","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","left","right","NA","864","6690","4404","864","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","7","104201","NA","10243","100884","101994","3546","89790","101995","3552","85385","106202","107067","102997","106202","NA","Sternberg Task ","15","12536","15","yes","1024"
"100","100","823.875","823.875","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","15","15","0","15","15","0","0","15","0","0","15","15","15","15","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","3","11","C:/Users/Owner/KJPsubject-1.csv","legacy","2 3 7 4","Lentiform Loewenfeld","3.3.3","1","y","yes","0","left","right","left","left","NA","646","6690","4404","646","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","2","110386","NA","10243","107071","108179","3546","89790","108180","3552","85385","112391","113038","109182","112390","NA","Sternberg Task ","16","13182","16","yes","1024"
"100","100","828.2941176470588","828.2941176470588","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","16","16","0","16","16","0","0","16","0","0","16","16","16","16","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","4","11","C:/Users/Owner/KJPsubject-1.csv","legacy","6 1 2","Lentiform Loewenfeld","3.3.3","3","y","yes","0","left","right","left","left","NA","899","6690","4404","899","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","116329","NA","10243","113042","114124","3546","89790","114125","3552","85385","118334","119234","115126","118333","NA","Sternberg Task ","17","14081","17","yes","1024"
"100","100","847.1111111111111","847.1111111111111","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","17","17","0","17","17","0","0","17","0","0","17","17","17","17","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","5","11","C:/Users/Owner/KJPsubject-1.csv","legacy","7 4 2 8 1 9","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","left","right","NA","1167","6690","4404","1167","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","5","122555","NA","10243","119237","120345","3546","89790","120347","3552","85385","124559","125727","121351","124559","NA","Sternberg Task ","18","15248","18","yes","1024"
"100","100","863.3684210526316","863.3684210526316","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","18","18","0","18","18","0","0","18","0","0","18","18","18","18","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","6","11","C:/Users/Owner/KJPsubject-1.csv","legacy","7 6 4 8 1 2","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","left","right","NA","1156","6690","4404","1156","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","9","129052","NA","10243","125730","126843","3546","89790","126844","3552","85385","131053","132210","127848","131053","NA","Sternberg Task ","19","16404","19","yes","1024"
"100","100","865.65","865.65","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","19","19","0","19","19","0","0","19","0","0","19","19","19","19","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","7","11","C:/Users/Owner/KJPsubject-1.csv","legacy","3 9 8 1 6 4","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","left","right","NA","909","6690","4404","909","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","7","135533","NA","10243","132213","133324","3546","89790","133325","3552","85385","137537","138447","134329","137537","NA","Sternberg Task ","20","17313","20","yes","1024"
"100","100","870.6190476190476","870.6190476190476","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","20","20","0","20","20","0","0","20","0","0","20","20","20","20","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","8","11","C:/Users/Owner/KJPsubject-1.csv","legacy","5 3 2 6 9 8","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","left","right","NA","970","6690","4404","970","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","141776","NA","10243","138453","139567","3546","89790","139568","3552","85385","143777","144748","140572","143777","NA","Sternberg Task ","21","18283","21","yes","1024"
"100","100","855.0909090909091","855.0909090909091","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","21","21","0","21","21","0","0","21","0","0","21","21","21","21","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","9","11","C:/Users/Owner/KJPsubject-1.csv","legacy","2 4 6 9","Lentiform Loewenfeld","3.3.3","3","y","yes","0","left","right","left","left","NA","529","6690","4404","529","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","148076","NA","10243","144751","145866","3546","89790","145868","3552","85385","150080","150611","146872","150080","NA","Sternberg Task ","22","18812","22","yes","1024"
"100","100","842.6086956521739","842.6086956521739","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","22","22","0","22","22","0","0","22","0","0","22","22","22","22","0","Mon Oct 12 09:15:04 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","10","11","C:/Users/Owner/KJPsubject-1.csv","legacy","8 9 5 7 1 6","Lentiform Loewenfeld","3.3.3","4","y","yes","0","left","right","left","left","NA","568","6690","4404","568","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","7","153939","NA","10243","150614","151729","3546","89790","151731","3552","85385","155943","156513","152735","155943","NA","Sternberg Task ","23","19380","23","yes","1024"
