"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instuction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_getting_started","count_incorrectFeedback","count_instruction2","count_instuction1","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_prode","count_thankYou","count_welcome","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction2","response_instuction1","response_keyboard_response","response_thankYou","response_time","response_time_instruction2","response_time_instuction1","response_time_keyboard_response","response_time_thankYou","response_time_welcome","response_welcome","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_getting_started","time_incorrectFeedback","time_instruction2","time_instuction1","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_prode","time_thankYou","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2000","2000","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","NA","Sun Oct 25 11:23:39 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/Arianna/Downloads/AG-subject-2.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","0","None","NA","right","None","NA","2000","NA","33214","2000","NA","NA","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","40689","NA","38435","4796","NA","38455","NA","NA","NA","4814","42711","44711","39471","38044","42711","NA","NA","Sternberg Task","0","2000","1","yes","1024"
"0","0","1708","1708","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","1","1","1","0","0","1","NA","1","0","0","1","1","1","0","1","0","NA","Sun Oct 25 11:23:39 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/Arianna/Downloads/AG-subject-2.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","right","NA","right","right","NA","1416","NA","33214","1416","NA","NA","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","48165","NA","45916","4796","NA","45932","NA","44778","NA","4814","50180","51597","46948","38044","50180","NA","NA","Sternberg Task","0","3416","2","yes","1024"
"0","0","1458.6666666666667","1458.6666666666667","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","2","2","2","0","0","2","NA","2","0","0","2","2","2","0","2","0","NA","Sun Oct 25 11:23:39 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/Arianna/Downloads/AG-subject-2.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","left","NA","right","left","NA","960","NA","33214","960","NA","NA","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","54962","NA","52714","4796","NA","52730","NA","51617","NA","4814","56979","57940","53745","38044","56979","NA","NA","Sternberg Task","0","4376","3","yes","1024"
"25","25","1317.5","1317.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","3","0","0","3","NA","3","0","0","3","3","3","0","3","0","NA","Sun Oct 25 11:23:39 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/Arianna/Downloads/AG-subject-2.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","894","NA","33214","894","NA","NA","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","61306","NA","59058","4796","NA","59074","NA","57959","NA","4814","63330","64225","60090","38044","63330","NA","NA","Sternberg Task","1","5270","4","yes","1024"
"20","20","1282","1282","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","4","4","4","0","0","4","NA","4","0","0","4","4","4","0","4","0","NA","Sun Oct 25 11:23:39 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/Arianna/Downloads/AG-subject-2.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","right","NA","right","right","NA","1140","NA","33214","1140","NA","NA","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","67609","64244","65353","4796","NA","65370","NA","57959","NA","4814","69630","70771","66389","38044","69629","NA","NA","Sternberg Task","1","6410","5","yes","1024"
"16.666666666666668","16.666666666666668","1401.6666666666667","1401.6666666666667","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","5","5","5","0","0","5","NA","5","0","0","5","5","5","0","5","0","NA","Sun Oct 25 11:23:39 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/Arianna/Downloads/AG-subject-2.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","None","NA","right","None","NA","2000","NA","33214","2000","NA","NA","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","74138","64244","71888","4796","NA","71904","NA","70791","NA","4814","76155","78155","72919","38044","76155","NA","NA","Sternberg Task","1","8410","6","yes","1024"
"14.285714285714286","14.285714285714286","1342.142857142857","1342.142857142857","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","6","6","6","0","0","6","NA","6","0","0","6","6","6","0","6","0","NA","Sun Oct 25 11:23:39 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/Arianna/Downloads/AG-subject-2.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","right","NA","right","right","NA","985","NA","33214","985","NA","NA","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","81516","64244","79269","4796","NA","79288","NA","78170","NA","4814","83535","84521","80301","38044","83535","NA","NA","Sternberg Task","1","9395","7","yes","1024"
"12.5","12.5","1293.625","1293.625","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","7","7","7","0","0","7","NA","7","0","0","7","7","7","0","7","0","NA","Sun Oct 25 11:23:39 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/Arianna/Downloads/AG-subject-2.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","0","left","NA","right","left","NA","954","NA","33214","954","NA","NA","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","87893","64244","85641","4796","NA","85658","NA","84536","NA","4814","89911","90866","86676","38044","89911","NA","NA","Sternberg Task","1","10349","8","yes","1024"
"22.22222222222222","22.22222222222222","1223","1223","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","8","0","0","8","NA","8","0","0","8","8","8","0","8","0","NA","Sun Oct 25 11:23:39 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/Arianna/Downloads/AG-subject-2.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","658","NA","33214","658","NA","NA","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","94245","64244","91987","4796","NA","92006","NA","90889","NA","4814","96261","96920","93027","38044","96261","NA","NA","Sternberg Task","2","11007","9","yes","1024"
"20","20","1200.6","1200.6","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","9","9","9","0","0","9","NA","9","0","0","9","9","9","0","9","0","NA","Sun Oct 25 11:23:39 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/Arianna/Downloads/AG-subject-2.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","left","NA","right","left","NA","999","NA","33214","999","NA","NA","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","100286","96950","98041","4796","NA","98054","NA","90889","NA","4814","102304","103304","99073","38044","102304","NA","NA","Sternberg Task","2","12006","10","yes","1024"
"18.181818181818183","18.181818181818183","1273.2727272727273","1273.2727272727273","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","10","10","10","0","0","10","NA","10","0","0","10","10","10","0","10","0","NA","Sun Oct 25 11:23:39 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","10","10","/Users/Arianna/Downloads/AG-subject-2.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","None","NA","right","None","NA","2000","NA","33214","2000","NA","NA","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","106646","96950","104403","4796","NA","104416","NA","103321","NA","4814","108659","110659","105432","38044","108659","NA","NA","Sternberg Task","2","14006","11","yes","1024"
"16.666666666666668","16.666666666666668","1333.8333333333333","1333.8333333333333","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","11","11","11","0","0","11","NA","11","0","0","11","11","11","0","11","0","NA","Sun Oct 25 11:23:39 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","11","11","/Users/Arianna/Downloads/AG-subject-2.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","None","NA","right","None","NA","2000","NA","33214","2000","NA","NA","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","114013","96950","111766","4796","NA","111779","NA","110676","NA","4814","116027","118027","112797","38044","116026","NA","NA","Sternberg Task","2","16006","12","yes","1024"
"15.384615384615385","15.384615384615385","1375.3846153846155","1375.3846153846155","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","right","12","12","12","0","0","12","NA","12","0","0","12","12","12","0","12","0","NA","Sun Oct 25 11:23:39 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","11","/Users/Arianna/Downloads/AG-subject-2.csv","legacy","8 2 1 4 5 9","Lentiform Loewenfeld","3.3.3","0","n","0","left","right","right","left","NA","1874","14561","33214","1874","NA","NA","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","7","136059","96950","133801","4796","133666","133817","NA","118048","119104","4814","138074","139950","134841","38044","138073","NA","NA","Sternberg Task","2","17880","13","yes","1024"
"14.285714285714286","14.285714285714286","1356.4285714285713","1356.4285714285713","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","left","13","13","13","0","0","13","NA","13","0","0","13","13","13","0","13","0","NA","Sun Oct 25 11:23:39 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","11","/Users/Arianna/Downloads/AG-subject-2.csv","legacy","4 6 5 8","Lentiform Loewenfeld","3.3.3","1","y","0","right","right","right","right","NA","1110","14561","33214","1110","NA","NA","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","4","143313","96950","141066","4796","133666","141079","NA","139966","119104","4814","145330","146441","142094","38044","145330","NA","NA","Sternberg Task","2","18990","14","yes","1024"
"20","20","1308.4666666666667","1308.4666666666667","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","14","14","14","0","0","14","NA","14","0","0","14","14","14","0","14","0","NA","Sun Oct 25 11:23:39 2020","The main experiment item","yes","SternbergTask.osexp","/Users/Arianna/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","11","/Users/Arianna/Downloads/AG-subject-2.csv","legacy","8","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","right","left","NA","637","14561","33214","637","NA","NA","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","8","149793","96950","147546","4796","133666","147559","NA","146458","119104","4814","151807","152445","148574","38044","151806","NA","NA","Sternberg Task","3","19627","15","yes","1024"
