"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_new_keyboard_response","correct_response","count_ISI","count_MemorySet","count_PracticeLoop","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instructions1","count_instructions2","count_logger","count_new_keyboard_response","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instructions1","response_instructions2","response_new_keyboard_response","response_thankYou","response_time","response_time_instructions1","response_time_instructions2","response_time_new_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_MemorySet","time_PracticeLoop","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instructions1","time_instructions2","time_logger","time_new_keyboard_response","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1050","1050","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Oct 18 19:05:44 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tionnahough/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/tionnahough/Desktop/TH-subject-1.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","left","right","NA","left","NA","1050","19253","NA","1050","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","25748","24532","23154","NA","23506","3838","NA","23520","NA","3879","NA","28811","27760","27760","NA","Sternberg Task","1","1050","1","yes","1024"
"100","100","829.5","829.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","0","1","1","0","0","1","1","0","0","1","1","1","0","Sun Oct 18 19:05:44 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tionnahough/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/tionnahough/Desktop/TH-subject-1.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","609","19253","NA","609","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","32261","31047","23154","28869","30023","3838","NA","30035","NA","3879","NA","34884","34274","34274","NA","Sternberg Task","2","1659","2","yes","1024"
"100","100","841.6666666666666","841.6666666666666","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","0","2","2","0","0","2","2","0","0","2","2","2","0","Sun Oct 18 19:05:44 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tionnahough/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/tionnahough/Desktop/TH-subject-1.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","866","19253","NA","866","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","38220","37005","23154","34906","35982","3838","NA","35994","NA","3879","NA","41102","40235","40234","NA","Sternberg Task","3","2525","3","yes","1024"
"100","100","725.25","725.25","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","0","3","3","0","0","3","3","0","0","3","3","3","0","Sun Oct 18 19:05:44 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tionnahough/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/tionnahough/Desktop/TH-subject-1.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","376","19253","NA","376","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","44436","43223","23154","41126","42199","3838","NA","42211","NA","3879","NA","46825","46448","46448","NA","Sternberg Task","4","2901","4","yes","1024"
"100","100","802","802","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","0","4","4","0","0","4","4","0","0","4","4","4","0","Sun Oct 18 19:05:44 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tionnahough/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/tionnahough/Desktop/TH-subject-1.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","1109","19253","NA","1109","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","50160","48948","23154","46847","47923","3838","NA","47935","NA","3879","NA","53281","52171","52171","NA","Sternberg Task","5","4010","5","yes","1024"
"83.33333333333333","83.33333333333333","818","818","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","5","5","0","5","5","0","0","5","5","0","0","5","5","5","0","Sun Oct 18 19:05:44 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tionnahough/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/tionnahough/Desktop/TH-subject-1.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","right","right","NA","right","NA","898","19253","NA","898","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","56616","55401","23154","53303","54377","3838","NA","54389","NA","3879","NA","59528","58629","58629","NA","Sternberg Task","5","4908","6","yes","1024"
"85.71428571428571","85.71428571428571","782.2857142857143","782.2857142857143","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","0","6","6","0","0","6","6","0","0","6","6","6","0","Sun Oct 18 19:05:44 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tionnahough/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/tionnahough/Desktop/TH-subject-1.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","568","19253","NA","568","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","62862","61647","23154","53303","60623","3838","NA","60635","59550","3879","NA","65445","64875","64875","NA","Sternberg Task","6","5476","7","yes","1024"
"87.5","87.5","768.25","768.25","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","0","7","7","0","0","7","7","0","0","7","7","7","0","Sun Oct 18 19:05:44 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tionnahough/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/tionnahough/Desktop/TH-subject-1.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","670","19253","NA","670","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","68779","67565","23154","65467","66541","3838","NA","66553","59550","3879","NA","71463","70791","70791","NA","Sternberg Task","7","6146","8","yes","1024"
"88.88888888888889","88.88888888888889","740.3333333333334","740.3333333333334","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","8","0","8","8","0","0","8","8","0","0","8","8","8","0","Sun Oct 18 19:05:44 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tionnahough/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/tionnahough/Desktop/TH-subject-1.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","left","right","NA","left","NA","517","19253","NA","517","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","74790","73577","23154","71479","72553","3838","NA","72565","59550","3879","NA","77321","76803","76803","NA","Sternberg Task","8","6663","9","yes","1024"
"90","90","762.6","762.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","9","0","9","9","0","0","9","9","0","0","9","9","9","0","Sun Oct 18 19:05:44 2020","The main experiment item","yes","SternbergTask.osexp","/Users/tionnahough/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/tionnahough/Desktop/TH-subject-1.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","963","19253","NA","963","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","80656","79443","23154","77344","78418","3838","NA","78430","59550","3879","NA","83633","82669","82669","NA","Sternberg Task","9","7626","10","yes","1024"
