"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequense","count_experiment","count_experimentLoop","count_fixation","count_incorredtFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequense","time_experiment","time_experimentLoop","time_fixation","time_incorredtFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1044","1044","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Oct 17 22:09:52 2020","The main experiment item","yes","SternbergTask.osexp","/Users/suzannejosey/Documents","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/suzannejosey/Documents/subject-1.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","1044","22546","NA","1044","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","27824","NA","25585","2674","NA","25594","NA","2684","NA","29836","30881","26608","25245","29836","NA","Sternberg Task","1","1044","1","yes","1024"
"100","100","951","951","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Sat Oct 17 22:09:52 2020","The main experiment item","yes","SternbergTask.osexp","/Users/suzannejosey/Documents","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/suzannejosey/Documents/subject-1.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","858","22546","NA","858","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","34253","30920","32009","2674","NA","32021","NA","2684","NA","36267","37126","33035","25245","36267","NA","Sternberg Task","2","1902","2","yes","1024"
"100","100","801","801","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Sat Oct 17 22:09:52 2020","The main experiment item","yes","SternbergTask.osexp","/Users/suzannejosey/Documents","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/suzannejosey/Documents/subject-1.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","501","22546","NA","501","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","40453","37139","38216","2674","NA","38227","NA","2684","NA","42466","42968","39241","25245","42466","NA","Sternberg Task","3","2403","3","yes","1024"
"100","100","786.25","786.25","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Sat Oct 17 22:09:52 2020","The main experiment item","yes","SternbergTask.osexp","/Users/suzannejosey/Documents","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/suzannejosey/Documents/subject-1.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","742","22546","NA","742","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","46297","42981","44056","2674","NA","44067","NA","2684","NA","48310","49053","45081","25245","48310","NA","Sternberg Task","4","3145","4","yes","1024"
"100","100","847.6","847.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Sat Oct 17 22:09:52 2020","The main experiment item","yes","SternbergTask.osexp","/Users/suzannejosey/Documents","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/suzannejosey/Documents/subject-1.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","left","right","NA","left","NA","1093","22546","NA","1093","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","52379","49064","50137","2674","NA","50148","NA","2684","NA","54391","55485","51162","25245","54391","NA","Sternberg Task","5","4238","5","yes","1024"
"100","100","843.5","843.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Sat Oct 17 22:09:52 2020","The main experiment item","yes","SternbergTask.osexp","/Users/suzannejosey/Documents","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/suzannejosey/Documents/subject-1.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","left","right","NA","left","NA","823","22546","NA","823","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","58815","55497","56573","2674","NA","56585","NA","2684","NA","60827","61651","57599","25245","60827","NA","Sternberg Task","6","5061","6","yes","1024"
"100","100","887.5714285714286","887.5714285714286","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Sat Oct 17 22:09:52 2020","The main experiment item","yes","SternbergTask.osexp","/Users/suzannejosey/Documents","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/suzannejosey/Documents/subject-1.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","1152","22546","NA","1152","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","64978","61662","62737","2674","NA","62748","NA","2684","NA","66991","68143","63762","25245","66991","NA","Sternberg Task","7","6213","7","yes","1024"
"100","100","848.875","848.875","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Sat Oct 17 22:09:52 2020","The main experiment item","yes","SternbergTask.osexp","/Users/suzannejosey/Documents","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/suzannejosey/Documents/subject-1.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","578","22546","NA","578","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","71471","68155","69229","2674","NA","69240","NA","2684","NA","73484","74062","70255","25245","73484","NA","Sternberg Task","8","6791","8","yes","1024"
"100","100","854.1111111111111","854.1111111111111","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Sat Oct 17 22:09:52 2020","The main experiment item","yes","SternbergTask.osexp","/Users/suzannejosey/Documents","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/suzannejosey/Documents/subject-1.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","896","22546","NA","896","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","77393","74076","75151","2674","NA","75163","NA","2684","NA","79406","80303","76177","25245","79406","NA","Sternberg Task","9","7687","9","yes","1024"
"100","100","905.6","905.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Sat Oct 17 22:09:52 2020","The main experiment item","yes","SternbergTask.osexp","/Users/suzannejosey/Documents","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/suzannejosey/Documents/subject-1.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","left","right","NA","left","NA","1369","22546","NA","1369","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","83637","80316","81395","2674","NA","81407","NA","2684","NA","85650","87019","82421","25245","85650","NA","Sternberg Task","10","9056","10","yes","1024"
