"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instruction2","count_instructional","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instruction2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instruction2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instruction2","time_instructional","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1357","1357","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","Sat Oct 24 21:31:04 2020","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/Sternberg test","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/Sternberg test/subject-2 JH.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","left","left","NA","left","NA","1357","163467","NA","1357","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","202578","NA","200360","31471","NA","200369","NA","31499","NA","NA","204585","205943","201373","194969","204584","NA","Sternberg Task","1","1357","1","yes","1024"
"100","100","1224","1224","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","1","0","0","1","1","0","0","NA","1","1","1","0","1","0","Sat Oct 24 21:31:04 2020","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/Sternberg test","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/Sternberg test/subject-2 JH.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","left","left","NA","left","NA","1091","163467","NA","1091","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","209766","206245","207551","31471","NA","207556","NA","31499","NA","NA","211770","212862","208560","194969","211770","NA","Sternberg Task","2","2448","2","yes","1024"
"100","100","1095.3333333333333","1095.3333333333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","2","0","0","2","2","0","0","NA","2","2","2","0","2","0","Sat Oct 24 21:31:04 2020","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/Sternberg test","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/Sternberg test/subject-2 JH.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","838","163467","NA","838","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","216401","212887","214186","31471","NA","214193","NA","31499","NA","NA","218405","219245","215197","194969","218405","NA","Sternberg Task","3","3286","3","yes","1024"
"100","100","1084.5","1084.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","3","0","0","3","3","0","0","NA","3","3","3","0","3","0","Sat Oct 24 21:31:04 2020","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/Sternberg test","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/Sternberg test/subject-2 JH.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","1052","163467","NA","1052","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","222817","219302","220601","31471","NA","220606","NA","31499","NA","NA","224822","225876","221611","194969","224822","NA","Sternberg Task","4","4338","4","yes","1024"
"100","100","1028.4","1028.4","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","4","0","0","4","4","0","0","NA","4","4","4","0","4","0","Sat Oct 24 21:31:04 2020","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/Sternberg test","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/Sternberg test/subject-2 JH.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","804","163467","NA","804","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","229472","225966","227257","31471","NA","227264","NA","31499","NA","NA","231477","232282","228268","194969","231476","NA","Sternberg Task","5","5142","5","yes","1024"
"83.33333333333333","83.33333333333333","1190.3333333333333","1190.3333333333333","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","5","5","5","0","0","5","5","0","0","NA","5","5","5","0","5","0","Sat Oct 24 21:31:04 2020","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/Sternberg test","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/Sternberg test/subject-2 JH.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","None","left","NA","None","NA","2000","163467","NA","2000","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","235851","232321","233635","31471","NA","233639","NA","31499","NA","NA","237855","239856","234646","194969","237855","NA","Sternberg Task","5","7142","6","yes","1024"
"85.71428571428571","85.71428571428571","1193.857142857143","1193.857142857143","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","6","0","0","6","6","0","0","NA","6","6","6","0","6","0","Sat Oct 24 21:31:04 2020","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/Sternberg test","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/Sternberg test/subject-2 JH.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","1215","163467","NA","1215","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","243404","232321","241189","31471","NA","241194","239887","31499","NA","NA","245409","246625","242199","194969","245409","NA","Sternberg Task","6","8357","7","yes","1024"
"87.5","87.5","1173.125","1173.125","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","7","0","0","7","7","0","0","NA","7","7","7","0","7","0","Sat Oct 24 21:31:04 2020","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/Sternberg test","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/Sternberg test/subject-2 JH.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","left","left","NA","left","NA","1028","163467","NA","1028","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","250199","246679","247984","31471","NA","247989","239887","31499","NA","NA","252204","253233","248993","194969","252204","NA","Sternberg Task","7","9385","8","yes","1024"
"88.88888888888889","88.88888888888889","1145.888888888889","1145.888888888889","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","8","8","0","0","8","8","0","0","NA","8","8","8","0","8","0","Sat Oct 24 21:31:04 2020","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/Sternberg test","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/Sternberg test/subject-2 JH.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","left","left","NA","left","NA","928","163467","NA","928","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","256809","253289","254596","31471","NA","254601","239887","31499","NA","NA","258814","259745","255605","194969","258814","NA","Sternberg Task","8","10313","9","yes","1024"
"90","90","1095.7","1095.7","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","9","9","0","0","9","9","0","0","NA","9","9","9","0","9","0","Sat Oct 24 21:31:04 2020","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/Sternberg test","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/Sternberg test/subject-2 JH.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","left","NA","left","NA","644","163467","NA","644","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","263324","259810","261109","31471","NA","261114","239887","31499","NA","NA","265330","265975","262119","194969","265330","NA","Sternberg Task","9","10957","10","yes","1024"
