acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_new_keyboard_response,correct_response,count_ISI,count_correctfeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrect,count_instruction1,count_instruction2,count_memorySet,count_new_keyboard_response,count_new_logger,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instruction2,response_new_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instruction2,response_time_new_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctfeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrect,time_instruction1,time_instruction2,time_memorySet,time_new_keyboard_response,time_new_logger,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1552,1552,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,0,0,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,2 9 4,Lentiform Loewenfeld,3.3.3,3,y,0,left,right,NA,left,NA,1552,16676,NA,1552,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,4,21231,NA,18611,1693,NA,18748,NA,1853,NA,19884,23376,24929,18538,23375,NA,Sternberg Task,1,1552,1,yes,1024
100,100,1081,1081,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,1,1,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,4 3 1 7 9 8,Lentiform Loewenfeld,3.3.3,1,y,0,left,right,NA,left,NA,610,16676,NA,610,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,4,28924,25104,26290,1693,NA,26429,NA,1853,NA,27575,31068,31679,18538,31068,NA,Sternberg Task,2,2162,2,yes,1024
100,100,1031.666667,1031.666667,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,2,2,2,0,0,2,2,0,0,2,2,2,0,2,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,2,2,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,4 1 5,Lentiform Loewenfeld,3.3.3,0,n,0,right,right,NA,right,NA,933,16676,NA,933,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,2,35608,31826,32986,1693,NA,33122,NA,1853,NA,34259,37757,38691,18538,37757,NA,Sternberg Task,3,3095,3,yes,1024
100,100,1077.5,1077.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,3,3,3,0,0,3,3,0,0,3,3,3,0,3,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,3,3,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,6,Lentiform Loewenfeld,3.3.3,1,y,0,left,right,NA,left,NA,1215,16676,NA,1215,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,6,42645,38845,40016,1693,NA,40156,NA,1853,NA,41294,44791,46007,18538,44791,NA,Sternberg Task,4,4310,4,yes,1024
80,80,1097.4,1097.4,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,4,4,4,0,0,4,4,0,0,4,4,4,0,4,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,4,4,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,5 7 8 4 1 2,Lentiform Loewenfeld,3.3.3,0,n,0,left,right,NA,left,NA,1177,16676,NA,1177,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,6,49943,46157,47321,1693,NA,47457,NA,1853,NA,48596,52088,53266,18538,52088,NA,Sternberg Task,4,5487,5,yes,1024
83.33333333,83.33333333,1013.166667,1013.166667,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,5,5,5,0,0,5,5,0,0,5,5,5,0,5,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,5,5,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,1 5 2 9,Lentiform Loewenfeld,3.3.3,2,y,0,left,right,NA,left,NA,592,16676,NA,592,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,5,57189,46157,54554,1693,NA,54699,53410,1853,NA,55841,59325,59918,18538,59325,NA,Sternberg Task,5,6079,6,yes,1024
85.71428571,85.71428571,929.1428571,929.1428571,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,6,6,6,0,0,6,6,0,0,6,6,6,0,6,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,6,6,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,2 1,Lentiform Loewenfeld,3.3.3,0,n,0,right,right,NA,right,NA,425,16676,NA,425,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,5,63845,60066,61214,1693,NA,61354,53410,1853,NA,62494,65990,66416,18538,65990,NA,Sternberg Task,6,6504,7,yes,1024
75,75,940,940,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,7,7,7,0,0,7,7,0,0,7,7,7,0,7,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,7,7,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,3 1 9 4,Lentiform Loewenfeld,3.3.3,0,n,0,left,right,NA,left,NA,1016,16676,NA,1016,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,6,70285,66552,67648,1693,NA,67782,53410,1853,NA,68933,72436,73452,18538,72436,NA,Sternberg Task,6,7520,8,yes,1024
77.77777778,77.77777778,886.3333333,886.3333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,8,8,8,0,0,8,8,0,0,8,8,8,0,8,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,8,8,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,5,Lentiform Loewenfeld,3.3.3,0,n,0,right,right,NA,right,NA,457,16676,NA,457,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,3,77365,66552,74733,1693,NA,74869,73598,1853,NA,76015,79516,79974,18538,79515,NA,Sternberg Task,7,7977,9,yes,1024
80,80,888.4,888.4,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,9,9,9,0,0,9,9,0,0,9,9,9,0,9,0,Thu Oct 15 19:51:10 2020,The main experiment item,yes,SternbergTask-AL.osexp,/Users/annielenoir/Desktop,no,mono,no,18,no,white,no,no,768,legacy,9,9,/Users/annielenoir/Desktop/AL-subject-1.csv,legacy,4 8,Lentiform Loewenfeld,3.3.3,1,y,0,left,right,NA,left,NA,907,16676,NA,907,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,4,83896,80119,81253,1693,NA,81394,73598,1853,NA,82541,86042,86950,18538,86041,NA,Sternberg Task,8,8884,10,yes,1024
