"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_PracticeLoop","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instructions1","count_instructions2","count_keyboard_response","count_memorySet","count_new_logger","count_new_loop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instructions1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instructions1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_PracticeLoop","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instructions1","time_instructions2","time_keyboard_response","time_memorySet","time_new_logger","time_new_loop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","440","440","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","0","Fri Oct 16 10:39:41 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/KR-subject-1.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","440","10546","NA","440","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","15272","12855","NA","13029","2277","NA","13042","NA","2292","NA","17285","14056","17725","NA","17285","NA","Sternberg Task ","1","440","1","yes","1024"
"100","100","602","602","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","1","0","1","1","0","0","1","1","0","0","1","1","1","NA","1","0","Fri Oct 16 10:39:41 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/KR-subject-1.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","764","10546","NA","764","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","21079","12855","17769","18835","2277","NA","18848","NA","2292","NA","23092","19863","23856","NA","23092","NA","Sternberg Task ","2","1204","2","yes","1024"
"66.66666666666667","66.66666666666667","586.6666666666666","586.6666666666666","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","2","0","2","2","0","0","2","2","0","0","2","2","2","NA","2","0","Fri Oct 16 10:39:41 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/KR-subject-1.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","right","right","NA","right","NA","556","10546","NA","556","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","27172","12855","23877","24930","2277","NA","24943","NA","2292","NA","29186","25958","29742","NA","29185","NA","Sternberg Task ","2","1760","3","yes","1024"
"75","75","622.75","622.75","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","0","3","3","0","0","3","3","0","0","3","3","3","NA","3","0","Fri Oct 16 10:39:41 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/KR-subject-1.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","731","10546","NA","731","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","33062","12855","23877","30818","2277","NA","30830","29763","2292","NA","35075","31846","35807","NA","35075","NA","Sternberg Task ","3","2491","4","yes","1024"
"60","60","648.4","648.4","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","4","0","4","4","0","0","4","4","0","0","4","4","4","NA","4","0","Fri Oct 16 10:39:41 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/KR-subject-1.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","left","right","NA","left","NA","751","10546","NA","751","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","39127","12855","35827","36884","2277","NA","36896","29763","2292","NA","41141","37912","41892","NA","41140","NA","Sternberg Task ","3","3242","5","yes","1024"
"66.66666666666667","66.66666666666667","603.8333333333334","603.8333333333334","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","0","5","5","0","0","5","5","0","0","5","5","5","NA","5","0","Fri Oct 16 10:39:41 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/KR-subject-1.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","381","10546","NA","381","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","45210","12855","35827","42968","2277","NA","42980","41913","2292","NA","47224","43994","47606","NA","47223","NA","Sternberg Task ","4","3623","6","yes","1024"
"71.42857142857143","71.42857142857143","580","580","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","0","6","6","0","0","6","6","0","0","6","6","6","NA","6","0","Fri Oct 16 10:39:41 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/KR-subject-1.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","437","10546","NA","437","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","50925","12855","47627","48681","2277","NA","48693","41913","2292","NA","52938","49708","53376","NA","52938","NA","Sternberg Task ","5","4060","7","yes","1024"
"75","75","586.25","586.25","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","0","7","7","0","0","7","7","0","0","7","7","7","NA","7","0","Fri Oct 16 10:39:41 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/KR-subject-1.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","630","10546","NA","630","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","56695","12855","53397","54451","2277","NA","54464","41913","2292","NA","58710","55478","59341","NA","58709","NA","Sternberg Task ","6","4690","8","yes","1024"
"77.77777777777777","77.77777777777777","602.7777777777778","602.7777777777778","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","0","8","8","0","0","8","8","0","0","8","8","8","NA","8","0","Fri Oct 16 10:39:41 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/KR-subject-1.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","left","right","NA","left","NA","735","10546","NA","735","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","62670","12855","59371","60425","2277","NA","60438","41913","2292","NA","64686","61453","65421","NA","64686","NA","Sternberg Task ","7","5425","9","yes","1024"
"80","80","658.9","658.9","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","0","9","9","0","0","9","9","0","0","9","9","9","NA","9","0","Fri Oct 16 10:39:41 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/KR-subject-1.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","left","right","NA","left","NA","1164","10546","NA","1164","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","68745","12855","65444","66500","2277","NA","66513","41913","2292","NA","70759","67528","71924","NA","70759","NA","Sternberg Task ","8","6589","10","yes","1024"
"81.81818181818181","81.81818181818181","654.1818181818181","654.1818181818181","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","10","0","10","10","0","0","10","10","0","0","10","10","10","NA","10","0","Fri Oct 16 10:39:41 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant","no","mono","no","18","no","white","no","yes","768","legacy","10","10","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/KR-subject-1.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","607","10546","NA","607","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","75244","12855","71946","73000","2277","NA","73012","41913","2292","NA","77258","74027","77865","NA","77258","NA","Sternberg Task ","9","7196","11","yes","1024"
"83.33333333333333","83.33333333333333","652.5","652.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","11","0","11","11","0","0","11","11","0","0","11","11","11","NA","11","0","Fri Oct 16 10:39:41 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant","no","mono","no","18","no","white","no","yes","768","legacy","11","11","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/KR-subject-1.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","634","10546","NA","634","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","81184","12855","77887","78941","2277","NA","78954","41913","2292","NA","83198","79969","83832","NA","83198","NA","Sternberg Task ","10","7830","12","yes","1024"
"84.61538461538461","84.61538461538461","645.6923076923077","645.6923076923077","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","12","0","12","12","0","0","12","12","0","0","12","12","12","NA","12","0","Fri Oct 16 10:39:41 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant","no","mono","no","18","no","white","no","yes","768","legacy","0","11","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/KR-subject-1.csv","legacy","7 1 3","Lentiform Loewenfeld","3.3.3","2","y","0","left","right","right","left","NA","564","10546","2264","564","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","1","89446","12855","83854","87202","2277","87157","87215","41913","2292","84892","91459","88230","92024","NA","91459","NA","Sternberg Task ","11","8394","13","yes","1024"
