"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instructions1","correct_KeyboardResponse","correct_response","count_CorrectFeedback","count_ExpSequence","count_ExperimentLoop","count_Fixation","count_ISI","count_IncorrectFeedback","count_Instructions1","count_Instructions2","count_KeyboardResponse","count_Logger","count_MemorySet","count_PracticeLoop","count_Probe","count_ThankYou","count_experiment","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instructions1","response_Instructions2","response_KeyboardResponse","response_ThankYou","response_time","response_time_Instructions1","response_time_Instructions2","response_time_KeyboardResponse","response_time_ThankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_CorrectFeedback","time_ExpSequence","time_ExperimentLoop","time_Fixation","time_ISI","time_IncorrectFeedback","time_Instructions1","time_Instructions2","time_KeyboardResponse","time_Logger","time_MemorySet","time_PracticeLoop","time_Probe","time_ThankYou","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2000","2000","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Oct 24 23:27:55 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-3.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","None","right","NA","None","NA","2000","28044","NA","2000","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","NA","31238","NA","31240","33448","NA","2727","NA","35454","37454","32244","30772","35453","NA","2718","Sternberg Task","0","2000","1","yes","1024"
"50","50","1999","1999","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","1","1","0","1","1","1","0","0","1","1","1","0","1","0","0","Sat Oct 24 23:27:55 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-3.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","1998","28044","NA","1998","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","NA","38596","NA","38597","40801","37486","2727","NA","42803","44802","39598","30772","42803","NA","2718","Sternberg Task","1","3998","2","yes","1024"
"66.66666666666667","66.66666666666667","1719","1719","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","2","0","2","2","2","0","0","2","2","2","0","2","0","0","Sat Oct 24 23:27:55 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-3.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","1159","28044","NA","1159","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","44829","45909","NA","45911","48115","37486","2727","NA","50116","51275","46912","30772","50116","NA","2718","Sternberg Task","2","5157","3","yes","1024"
"75","75","1641.75","1641.75","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","0","3","3","3","0","0","3","3","3","0","3","0","0","Sat Oct 24 23:27:55 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-3.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","1410","28044","NA","1410","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","2","51301","52393","NA","52394","54600","37486","2727","NA","56605","58015","53395","30772","56605","NA","2718","Sternberg Task","3","6567","4","yes","1024"
"80","80","1522.8","1522.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","0","4","4","4","0","0","4","4","4","0","4","0","0","Sat Oct 24 23:27:55 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-3.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","left","right","NA","left","NA","1047","28044","NA","1047","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","4","58023","59130","NA","59131","61337","37486","2727","NA","63342","64389","60133","30772","63341","NA","2718","Sternberg Task","4","7614","5","yes","1024"
"83.33333333333333","83.33333333333333","1467.5","1467.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","5","0","5","5","5","0","0","5","5","5","0","5","0","0","Sat Oct 24 23:27:55 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-3.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","left","right","NA","left","NA","1191","28044","NA","1191","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","64417","65520","NA","65522","67731","37486","2727","NA","69732","70924","66527","30772","69732","NA","2718","Sternberg Task","5","8805","6","yes","1024"
"85.71428571428571","85.71428571428571","1367.7142857142858","1367.7142857142858","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","0","6","6","6","0","0","6","6","6","0","6","0","0","Sat Oct 24 23:27:55 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-3.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","769","28044","NA","769","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","70935","72040","NA","72041","74248","37486","2727","NA","76253","77022","73043","30772","76252","NA","2718","Sternberg Task","6","9574","7","yes","1024"
"87.5","87.5","1296.5","1296.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","7","0","7","7","7","0","0","7","7","7","0","7","0","0","Sat Oct 24 23:27:55 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-3.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","798","28044","NA","798","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","77049","78157","NA","78159","80364","37486","2727","NA","82368","83166","79161","30772","82368","NA","2718","Sternberg Task","7","10372","8","yes","1024"
"88.88888888888889","88.88888888888889","1219.4444444444443","1219.4444444444443","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","8","0","8","8","8","0","0","8","8","8","0","8","0","0","Sat Oct 24 23:27:55 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-3.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","603","28044","NA","603","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","4","83192","84301","NA","84303","86509","37486","2727","NA","88514","89117","85305","30772","88513","NA","2718","Sternberg Task","8","10975","9","yes","1024"
"90","90","1196.3","1196.3","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","9","0","9","9","9","0","0","9","9","9","0","9","0","0","Sat Oct 24 23:27:55 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-3.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","left","right","NA","left","NA","988","28044","NA","988","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","5","89125","90233","NA","90235","92443","37486","2727","NA","94446","95434","91237","30772","94446","NA","2718","Sternberg Task","9","11963","10","yes","1024"
