"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instruction2","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instruction2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instruction2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instruction2","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","676","676","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Oct 24 14:03:29 2020","The main experiment item","yes","Sterbergtask.osexp","C:\Users\Colton\OneDrive\Desktop","no","mono","no","18","no","white","no","no","768","legacy","0","0","C:/Users/Colton/OneDrive/Desktop/CS-subject-3-LAB 3.1.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","676","168421","NA","676","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","193702","NA","191488","22303","NA","191494","NA","22330","NA","195709","196386","192499","190772","195709","NA","Sterberg task","1","676","1","yes","1024"
"100","100","605","605","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Sat Oct 24 14:03:29 2020","The main experiment item","yes","Sterbergtask.osexp","C:\Users\Colton\OneDrive\Desktop","no","mono","no","18","no","white","no","no","768","legacy","1","1","C:/Users/Colton/OneDrive/Desktop/CS-subject-3-LAB 3.1.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","left","right","NA","left","NA","534","168421","NA","534","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","4","200989","196798","198765","22303","NA","198769","NA","22330","NA","202998","203534","199774","190772","202998","NA","Sterberg task","2","1210","2","yes","1024"
"100","100","821.3333333333334","821.3333333333334","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Sat Oct 24 14:03:29 2020","The main experiment item","yes","Sterbergtask.osexp","C:\Users\Colton\OneDrive\Desktop","no","mono","no","18","no","white","no","no","768","legacy","2","2","C:/Users/Colton/OneDrive/Desktop/CS-subject-3-LAB 3.1.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","1254","168421","NA","1254","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","207186","203567","204962","22303","NA","204967","NA","22330","NA","209196","210452","205971","190772","209196","NA","Sterberg task","3","2464","3","yes","1024"
"100","100","757.5","757.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Sat Oct 24 14:03:29 2020","The main experiment item","yes","Sterbergtask.osexp","C:\Users\Colton\OneDrive\Desktop","no","mono","no","18","no","white","no","no","768","legacy","3","3","C:/Users/Colton/OneDrive/Desktop/CS-subject-3-LAB 3.1.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","566","168421","NA","566","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","214140","210511","211923","22303","NA","211928","NA","22330","NA","216145","216712","212935","190772","216145","NA","Sterberg task","4","3030","4","yes","1024"
"100","100","716.8","716.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Sat Oct 24 14:03:29 2020","The main experiment item","yes","Sterbergtask.osexp","C:\Users\Colton\OneDrive\Desktop","no","mono","no","18","no","white","no","no","768","legacy","4","4","C:/Users/Colton/OneDrive/Desktop/CS-subject-3-LAB 3.1.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","554","168421","NA","554","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","2","220294","216766","218068","22303","NA","218073","NA","22330","NA","222301","222856","219084","190772","222300","NA","Sterberg task","5","3584","5","yes","1024"
"100","100","684.1666666666666","684.1666666666666","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Sat Oct 24 14:03:29 2020","The main experiment item","yes","Sterbergtask.osexp","C:\Users\Colton\OneDrive\Desktop","no","mono","no","18","no","white","no","no","768","legacy","5","5","C:/Users/Colton/OneDrive/Desktop/CS-subject-3-LAB 3.1.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","521","168421","NA","521","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","226427","222912","224211","22303","NA","224216","NA","22330","NA","228431","228954","225221","190772","228431","NA","Sterberg task","6","4105","6","yes","1024"
"100","100","665.8571428571429","665.8571428571429","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Sat Oct 24 14:03:29 2020","The main experiment item","yes","Sterbergtask.osexp","C:\Users\Colton\OneDrive\Desktop","no","mono","no","18","no","white","no","no","768","legacy","6","6","C:/Users/Colton/OneDrive/Desktop/CS-subject-3-LAB 3.1.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","556","168421","NA","556","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","4","232630","228999","230406","22303","NA","230411","NA","22330","NA","234634","235191","231415","190772","234634","NA","Sterberg task","7","4661","7","yes","1024"
"100","100","635.875","635.875","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Sat Oct 24 14:03:29 2020","The main experiment item","yes","Sterbergtask.osexp","C:\Users\Colton\OneDrive\Desktop","no","mono","no","18","no","white","no","no","768","legacy","7","7","C:/Users/Colton/OneDrive/Desktop/CS-subject-3-LAB 3.1.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","left","right","NA","left","NA","426","168421","NA","426","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","238917","235297","236688","22303","NA","236699","NA","22330","NA","240921","241349","237704","190772","240921","NA","Sterberg task","8","5087","8","yes","1024"
"100","100","632.5555555555555","632.5555555555555","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Sat Oct 24 14:03:29 2020","The main experiment item","yes","Sterbergtask.osexp","C:\Users\Colton\OneDrive\Desktop","no","mono","no","18","no","white","no","no","768","legacy","8","8","C:/Users/Colton/OneDrive/Desktop/CS-subject-3-LAB 3.1.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","606","168421","NA","606","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","245102","241458","242881","22303","NA","242890","NA","22330","NA","247107","247715","243895","190772","247107","NA","Sterberg task","9","5693","9","yes","1024"
"100","100","610.7","610.7","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Sat Oct 24 14:03:29 2020","The main experiment item","yes","Sterbergtask.osexp","C:\Users\Colton\OneDrive\Desktop","no","mono","no","18","no","white","no","no","768","legacy","9","9","C:/Users/Colton/OneDrive/Desktop/CS-subject-3-LAB 3.1.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","414","168421","NA","414","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","251335","247812","249119","22303","NA","249125","NA","22330","NA","253341","253757","250129","190772","253341","NA","Sterberg task","10","6107","10","yes","1024"
