"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_Fixation","count_IncorrectFeedback","count_Instructions2","count_MemSet","count_ThankYou","count_correctfeedback","count_expLoop","count_expSequence","count_experiment","count_instruction1","count_isi","count_keyboard_response","count_logger","count_practiceLoop","count_probe","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instructions2","response_ThankYou","response_instruction1","response_keyboard_response","response_time","response_time_Instructions2","response_time_ThankYou","response_time_instruction1","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_Fixation","time_IncorrectFeedback","time_Instructions2","time_MemSet","time_ThankYou","time_correctfeedback","time_expLoop","time_expSequence","time_experiment","time_instruction1","time_isi","time_keyboard_response","time_logger","time_practiceLoop","time_probe","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","819","819","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Oct 18 15:49:11 2020","The main experiment item","yes","Sternbergtask.osexp","C:\Users\chris\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/chris/OneDrive/Desktop/CM-subject-1.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","NA","NA","right","left","819","NA","NA","20956","819","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","23648","NA","NA","24653","NA","NA","NA","23646","2176","2181","25860","27867","28686","23138","27866","Sternberg task","1","819","1","yes","1024"
"100","100","710.5","710.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","1","1","0","1","0","1","0","1","0","0","1","1","1","0","1","Sun Oct 18 15:49:11 2020","The main experiment item","yes","Sternbergtask.osexp","C:\Users\chris\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/chris/OneDrive/Desktop/CM-subject-1.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","NA","right","right","602","NA","NA","20956","602","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","29868","NA","NA","30874","NA","28737","NA","29866","2176","2181","32079","34085","34687","23138","34084","Sternberg task","2","1421","2","yes","1024"
"100","100","593.6666666666666","593.6666666666666","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","2","0","2","0","2","0","2","0","0","2","2","2","0","2","Sun Oct 18 15:49:11 2020","The main experiment item","yes","Sternbergtask.osexp","C:\Users\chris\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/chris/OneDrive/Desktop/CM-subject-1.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","left","NA","NA","right","left","360","NA","NA","20956","360","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","35815","NA","NA","36817","NA","34696","NA","35813","2176","2181","38022","40027","40387","23138","40027","Sternberg task","3","1781","3","yes","1024"
"100","100","576.25","576.25","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","3","3","0","3","0","3","0","3","0","0","3","3","3","0","3","Sun Oct 18 15:49:11 2020","The main experiment item","yes","Sternbergtask.osexp","C:\Users\chris\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/chris/OneDrive/Desktop/CM-subject-1.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","NA","NA","right","left","524","NA","NA","20956","524","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","41529","NA","NA","42534","NA","40396","NA","41527","2176","2181","43739","45745","46270","23138","45744","Sternberg task","4","2305","4","yes","1024"
"100","100","565.8","565.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","0","4","0","4","0","4","0","0","4","4","4","0","4","Sun Oct 18 15:49:11 2020","The main experiment item","yes","Sternbergtask.osexp","C:\Users\chris\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/chris/OneDrive/Desktop/CM-subject-1.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","NA","right","right","524","NA","NA","20956","524","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","47410","NA","NA","48416","NA","46279","NA","47408","2176","2181","49621","51626","52151","23138","51626","Sternberg task","5","2829","5","yes","1024"
"100","100","575","575","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","0","5","0","5","0","5","0","0","5","5","5","0","5","Sun Oct 18 15:49:11 2020","The main experiment item","yes","Sternbergtask.osexp","C:\Users\chris\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/chris/OneDrive/Desktop/CM-subject-1.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","NA","right","right","621","NA","NA","20956","621","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","53285","NA","NA","54290","NA","52159","NA","53283","2176","2181","55495","57500","58121","23138","57500","Sternberg task","6","3450","6","yes","1024"
"100","100","585.2857142857143","585.2857142857143","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","0","6","0","6","0","6","0","0","6","6","6","0","6","Sun Oct 18 15:49:11 2020","The main experiment item","yes","Sternbergtask.osexp","C:\Users\chris\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/chris/OneDrive/Desktop/CM-subject-1.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","NA","right","right","647","NA","NA","20956","647","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","59275","NA","NA","60280","NA","58130","NA","59273","2176","2181","61486","63491","64139","23138","63491","Sternberg task","7","4097","7","yes","1024"
"87.5","87.5","612.125","612.125","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","7","7","0","7","0","7","0","7","0","0","7","7","7","0","7","Sun Oct 18 15:49:11 2020","The main experiment item","yes","Sternbergtask.osexp","C:\Users\chris\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/chris/OneDrive/Desktop/CM-subject-1.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","left","NA","NA","right","left","800","NA","NA","20956","800","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","65268","NA","NA","66274","NA","64148","NA","65266","2176","2181","67479","69485","70286","23138","69484","Sternberg task","7","4897","8","yes","1024"
"88.88888888888889","88.88888888888889","673.7777777777778","673.7777777777778","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","0","8","0","8","0","8","0","0","8","8","8","0","8","Sun Oct 18 15:49:11 2020","The main experiment item","yes","Sternbergtask.osexp","C:\Users\chris\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/chris/OneDrive/Desktop/CM-subject-1.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","NA","right","right","1167","NA","NA","20956","1167","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","71429","70295","NA","72434","NA","64148","NA","71427","2176","2181","73639","75645","76812","23138","75644","Sternberg task","8","6064","9","yes","1024"
"90","90","674.6","674.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","9","0","9","0","9","0","9","0","0","9","9","9","0","9","Sun Oct 18 15:49:11 2020","The main experiment item","yes","Sternbergtask.osexp","C:\Users\chris\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/chris/OneDrive/Desktop/CM-subject-1.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","left","NA","NA","right","left","682","NA","NA","20956","682","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","77951","70295","NA","78954","NA","76821","NA","77949","2176","2181","80159","82165","82847","23138","82164","Sternberg task","9","6746","10","yes","1024"
