"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_1","correct_Keyboard_Response","correct_response","count_Correct_Feedback","count_Experimental_Loop","count_Fixation","count_ISI","count_Incorrect_Feedback","count_Instruction_1","count_Instructions_2","count_Instructions_3_Thanks","count_Keyboard_Response","count_Logger","count_Memory_Set","count_Practice_Loop","count_Probe","count_expSequence","count_experiment","count_new_sketchpad","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Practice_Loop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Incorrect_Feedback","response_Instruction_1","response_Instructions_2","response_Instructions_3_Thanks","response_Keyboard_Response","response_new_sketchpad","response_time","response_time_Incorrect_Feedback","response_time_Instruction_1","response_time_Instructions_2","response_time_Instructions_3_Thanks","response_time_Keyboard_Response","response_time_new_sketchpad","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_Correct_Feedback","time_Experimental_Loop","time_Fixation","time_ISI","time_Incorrect_Feedback","time_Instruction_1","time_Instructions_2","time_Instructions_3_Thanks","time_Keyboard_Response","time_Logger","time_Memory_Set","time_Practice_Loop","time_Probe","time_expSequence","time_experiment","time_new_sketchpad","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","476","476","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","Sun Oct 25 20:38:15 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/jacobspurling/Desktop/TP-subject-4.csv","legacy","6","Lentiform Loewenfeld","3.3.5","1","y","0","right","NA","right","NA","NA","right","NA","476","NA","2856","NA","NA","476","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","6","NA","NA","7798","10035","NA","4466","NA","NA","12056","12534","8815","7345","12056","7786","4447","NA","Sternberg Task","0","476","1","yes","1024"
"50","50","393","393","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","1","0","1","1","1","0","0","0","1","1","1","0","1","1","0","NA","Sun Oct 25 20:38:15 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/jacobspurling/Desktop/TP-subject-4.csv","legacy","5","Lentiform Loewenfeld","3.3.5","0","n","0","right","right","right","NA","NA","right","NA","310","662","2856","NA","NA","310","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","3","NA","NA","13433","15671","12601","4466","NA","NA","17691","18002","14451","7345","17691","13419","4447","NA","Sternberg Task","1","786","2","yes","1024"
"66.66666666666667","66.66666666666667","328.6666666666667","328.6666666666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","0","2","2","2","0","0","0","2","2","2","0","2","2","0","NA","Sun Oct 25 20:38:15 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/jacobspurling/Desktop/TP-subject-4.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.5","0","n","0","right","right","right","NA","NA","right","NA","200","662","2856","NA","NA","200","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","18029","NA","19146","21383","12601","4466","NA","NA","23404","23605","20163","7345","23404","19126","4447","NA","Sternberg Task","2","986","3","yes","1024"
"75","75","292","292","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","0","3","3","3","0","0","0","3","3","3","0","3","3","0","NA","Sun Oct 25 20:38:15 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/jacobspurling/Desktop/TP-subject-4.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.5","0","n","0","right","right","right","NA","NA","right","NA","182","662","2856","NA","NA","182","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","6","23632","NA","24742","26982","12601","4466","NA","NA","29000","29183","25760","7345","29000","24725","4447","NA","Sternberg Task","3","1168","4","yes","1024"
"60","60","251.4","251.4","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","4","0","4","4","4","0","0","0","4","4","4","0","4","4","0","NA","Sun Oct 25 20:38:15 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/jacobspurling/Desktop/TP-subject-4.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.5","1","y","0","right","right","right","NA","NA","right","NA","89","662","2856","NA","NA","89","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","4","29209","NA","30320","32560","12601","4466","NA","NA","34579","34670","31340","7345","34579","30303","4447","NA","Sternberg Task","3","1257","5","yes","1024"
"50","50","212","212","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","5","0","5","5","5","0","0","0","5","5","5","0","5","5","0","NA","Sun Oct 25 20:38:15 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/jacobspurling/Desktop/TP-subject-4.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.5","2","y","0","right","right","right","NA","NA","right","NA","15","201","2856","NA","NA","15","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","5","29209","NA","35005","37243","34695","4466","NA","NA","39265","39281","36022","7345","39265","34994","4447","NA","Sternberg Task","3","1272","6","yes","1024"
"42.857142857142854","42.857142857142854","199","199","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","6","0","6","6","6","0","0","0","6","6","6","0","6","6","0","NA","Sun Oct 25 20:38:15 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/jacobspurling/Desktop/TP-subject-4.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.5","4","y","0","right","right","right","NA","NA","right","NA","121","243","2856","NA","NA","121","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","8","29209","NA","39656","41896","39295","4466","NA","NA","43915","44037","40675","7345","43915","39641","4447","NA","Sternberg Task","3","1393","7","yes","1024"
"50","50","178.75","178.75","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","0","7","7","7","0","0","0","7","7","7","0","7","7","0","NA","Sun Oct 25 20:38:15 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/jacobspurling/Desktop/TP-subject-4.csv","legacy","2 1","Lentiform Loewenfeld","3.3.5","0","n","0","right","right","right","NA","NA","right","NA","37","255","2856","NA","NA","37","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","5","29209","NA","44429","46667","44063","4466","NA","NA","48686","48725","45447","7345","48686","44416","4447","NA","Sternberg Task","4","1430","8","yes","1024"
"55.55555555555556","55.55555555555556","181.77777777777777","181.77777777777777","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","0","8","8","8","0","0","0","8","8","8","0","8","8","0","NA","Sun Oct 25 20:38:15 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/jacobspurling/Desktop/TP-subject-4.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.5","0","n","0","right","right","right","NA","NA","right","NA","206","255","2856","NA","NA","206","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","48751","NA","49860","52098","44063","4466","NA","NA","54117","54324","50878","7345","54117","49843","4447","NA","Sternberg Task","5","1636","9","yes","1024"
"50","50","176.6","176.6","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","9","0","9","9","9","0","0","0","9","9","9","0","9","9","0","NA","Sun Oct 25 20:38:15 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/jacobspurling/Desktop/TP-subject-4.csv","legacy","4 8","Lentiform Loewenfeld","3.3.5","1","y","0","right","right","right","NA","NA","right","NA","130","255","2856","NA","NA","130","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","4","54350","NA","55473","57714","44063","4466","NA","NA","59737","59869","56492","7345","59737","55457","4447","NA","Sternberg Task","5","1766","10","yes","1024"
"45.45454545454545","45.45454545454545","173.8181818181818","173.8181818181818","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","10","0","10","10","10","0","0","0","10","10","10","0","10","10","0","NA","Sun Oct 25 20:38:15 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","10","10","/Users/jacobspurling/Desktop/TP-subject-4.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.5","3","y","0","right","right","right","NA","NA","right","NA","146","219","2856","NA","NA","146","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","4","54350","NA","60223","62469","59896","4466","NA","NA","64494","64641","61242","7345","64493","60211","4447","NA","Sternberg Task","5","1912","11","yes","1024"
