"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_new_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_logger","count_memorySet","count_new_keyboard_response","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_new_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_new_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_logger","time_memorySet","time_new_keyboard_response","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","814","814","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Oct 25 16:56:41 2020","The main experiment item","yes","Sternbergtask oct 19.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/shelia/Desktop/ST-subject-2 Oct 25.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","right","return","NA","right","NA","814","8496","NA","814","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","8","13697","NA","11438","2646","NA","11452","NA","2661","NA","16531","12474","15717","11171","15717","NA","Sternberg task","0","814","1","yes","1024"
"50","50","962.5","962.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Sun Oct 25 16:56:41 2020","The main experiment item","yes","Sternbergtask oct 19.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/shelia/Desktop/ST-subject-2 Oct 25.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","return","NA","left","NA","1111","8496","NA","1111","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","4","19913","NA","17653","2646","NA","17670","16570","2661","NA","23044","18690","21932","11171","21931","NA","Sternberg task","1","1925","2","yes","1024"
"66.66666666666667","66.66666666666667","898.3333333333334","898.3333333333334","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Sun Oct 25 16:56:41 2020","The main experiment item","yes","Sternbergtask oct 19.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/shelia/Desktop/ST-subject-2 Oct 25.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","left","return","NA","left","NA","770","8496","NA","770","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","4","26377","23058","24122","2646","NA","24135","16570","2661","NA","29167","25155","28396","11171","28396","NA","Sternberg task","2","2695","3","yes","1024"
"75","75","886.5","886.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Sun Oct 25 16:56:41 2020","The main experiment item","yes","Sternbergtask oct 19.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/shelia/Desktop/ST-subject-2 Oct 25.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","return","NA","right","NA","851","8496","NA","851","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","32502","29182","30244","2646","NA","30256","16570","2661","NA","35374","31278","34523","11171","34523","NA","Sternberg task","3","3546","4","yes","1024"
"80","80","747.6","747.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Sun Oct 25 16:56:41 2020","The main experiment item","yes","Sternbergtask oct 19.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/shelia/Desktop/ST-subject-2 Oct 25.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","left","return","NA","left","NA","192","8496","NA","192","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","38707","35390","36451","2646","NA","36465","16570","2661","NA","40918","37484","40726","11171","40726","NA","Sternberg task","4","3738","5","yes","1024"
"83.33333333333333","83.33333333333333","733.5","733.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Sun Oct 25 16:56:41 2020","The main experiment item","yes","Sternbergtask oct 19.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/shelia/Desktop/ST-subject-2 Oct 25.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","right","return","NA","right","NA","663","8496","NA","663","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","44251","40933","41995","2646","NA","42007","16570","2661","NA","46934","43029","46270","11171","46270","NA","Sternberg task","5","4401","6","yes","1024"
"71.42857142857143","71.42857142857143","696.5714285714286","696.5714285714286","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Sun Oct 25 16:56:41 2020","The main experiment item","yes","Sternbergtask oct 19.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/shelia/Desktop/ST-subject-2 Oct 25.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","left","return","NA","left","NA","475","8496","NA","475","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","50268","46950","48012","2646","NA","48025","16570","2661","NA","52762","49046","52287","11171","52287","NA","Sternberg task","5","4876","7","yes","1024"
"75","75","700.5","700.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Sun Oct 25 16:56:41 2020","The main experiment item","yes","Sternbergtask oct 19.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/shelia/Desktop/ST-subject-2 Oct 25.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","right","return","NA","right","NA","728","8496","NA","728","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","3","56097","46950","53841","2646","NA","53854","52778","2661","NA","58846","54875","58117","11171","58117","NA","Sternberg task","6","5604","8","yes","1024"
"77.77777777777777","77.77777777777777","688.7777777777778","688.7777777777778","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Sun Oct 25 16:56:41 2020","The main experiment item","yes","Sternbergtask oct 19.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/shelia/Desktop/ST-subject-2 Oct 25.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","return","NA","right","NA","595","8496","NA","595","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","2","62182","58861","59925","2646","NA","59938","52778","2661","NA","64796","60959","64201","11171","64201","NA","Sternberg task","7","6199","9","yes","1024"
"80","80","746.6","746.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Sun Oct 25 16:56:41 2020","The main experiment item","yes","Sternbergtask oct 19.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/shelia/Desktop/ST-subject-2 Oct 25.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","left","return","NA","left","NA","1267","8496","NA","1267","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","6","68131","64811","65875","2646","NA","65888","52778","2661","NA","71419","66909","70151","11171","70151","NA","Sternberg task","8","7466","10","yes","1024"
