"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1182","1182","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Oct 22 17:54:39 2022","The main experiment item","yes","Sternbergtask.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/Lab 3","no","mono","no","18","no","white","no","no","768","legacy","0","0","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/Lab 3/KH-subject-4.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.12","2","y","0","left","right","NA","left","NA","1182","14677","NA","1182","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","5","19019","NA","16796","1865","NA","16802","NA","1990","NA","21029","22211","17812","16721","21029","NA","Sternberg task","1","1182","1","yes","1024"
"100","100","1068","1068","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Sat Oct 22 17:54:39 2022","The main experiment item","yes","Sternbergtask.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/Lab 3","no","mono","no","18","no","white","no","no","768","legacy","1","1","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/Lab 3/KH-subject-4.csv","legacy","6","Lentiform Loewenfeld","3.3.12","1","y","0","left","right","NA","left","NA","954","14677","NA","954","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","6","25580","22232","23352","1865","NA","23355","NA","1990","NA","27591","28556","24367","16721","27590","NA","Sternberg task","2","2136","2","yes","1024"
"100","100","1053.3333333333333","1053.3333333333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Sat Oct 22 17:54:39 2022","The main experiment item","yes","Sternbergtask.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/Lab 3","no","mono","no","18","no","white","no","no","768","legacy","2","2","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/Lab 3/KH-subject-4.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","1024","14677","NA","1024","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","31892","28564","29663","1865","NA","29669","NA","1990","NA","33902","34926","30679","16721","33902","NA","Sternberg task","3","3160","3","yes","1024"
"100","100","1110.25","1110.25","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Sat Oct 22 17:54:39 2022","The main experiment item","yes","Sternbergtask.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/Lab 3","no","mono","no","18","no","white","no","no","768","legacy","3","3","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/Lab 3/KH-subject-4.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.12","3","y","0","left","right","NA","left","NA","1281","14677","NA","1281","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","4","38233","34931","36009","1865","NA","36013","NA","1990","NA","40238","41520","37020","16721","40238","NA","Sternberg task","4","4441","4","yes","1024"
"100","100","1088.6","1088.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Sat Oct 22 17:54:39 2022","The main experiment item","yes","Sternbergtask.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/Lab 3","no","mono","no","18","no","white","no","no","768","legacy","4","4","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/Lab 3/KH-subject-4.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.12","1","y","0","left","right","NA","left","NA","1002","14677","NA","1002","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","4","44837","41525","42610","1865","NA","42614","NA","1990","NA","46845","47847","43624","16721","46845","NA","Sternberg task","5","5443","5","yes","1024"
"100","100","1105.5","1105.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Sat Oct 22 17:54:39 2022","The main experiment item","yes","Sternbergtask.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/Lab 3","no","mono","no","18","no","white","no","no","768","legacy","5","5","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/Lab 3/KH-subject-4.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","1190","14677","NA","1190","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","51134","47851","48916","1865","NA","48920","NA","1990","NA","53140","54330","49924","16721","53140","NA","Sternberg task","6","6633","6","yes","1024"
"100","100","1127.2857142857142","1127.2857142857142","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Sat Oct 22 17:54:39 2022","The main experiment item","yes","Sternbergtask.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/Lab 3","no","mono","no","18","no","white","no","no","768","legacy","6","6","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/Lab 3/KH-subject-4.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","1258","14677","NA","1258","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","3","57641","54335","55411","1865","NA","55415","NA","1990","NA","59649","60907","56425","16721","59649","NA","Sternberg task","7","7891","7","yes","1024"
"100","100","1066.75","1066.75","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Sat Oct 22 17:54:39 2022","The main experiment item","yes","Sternbergtask.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/Lab 3","no","mono","no","18","no","white","no","no","768","legacy","7","7","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/Lab 3/KH-subject-4.csv","legacy","2 1","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","643","14677","NA","643","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","5","64180","60912","61967","1865","NA","61971","NA","1990","NA","66188","66831","62974","16721","66188","NA","Sternberg task","8","8534","8","yes","1024"
"88.88888888888889","88.88888888888889","1054","1054","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Sat Oct 22 17:54:39 2022","The main experiment item","yes","Sternbergtask.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/Lab 3","no","mono","no","18","no","white","no","no","768","legacy","8","8","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/Lab 3/KH-subject-4.csv","legacy","4 8","Lentiform Loewenfeld","3.3.12","1","y","0","right","right","NA","right","NA","952","14677","NA","952","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","4","70157","66839","67931","1865","NA","67935","NA","1990","NA","72167","73119","68949","16721","72167","NA","Sternberg task","8","9486","9","yes","1024"
"90","90","1052.8","1052.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Sat Oct 22 17:54:39 2022","The main experiment item","yes","Sternbergtask.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/Lab 3","no","mono","no","18","no","white","no","no","768","legacy","9","9","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/Lab 3/KH-subject-4.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","1042","14677","NA","1042","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","6","76386","66839","74176","1865","NA","74179","73124","1990","NA","78395","79438","75182","16721","78395","NA","Sternberg task","9","10528","10","yes","1024"
