"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_experiment","count_experimentalLoop","count_expsequence","count_fixation","count_incorrectFeedback","count_instruction1","count_instruction2","count_instruction3","count_keyboard_response","count_logger","count_memoryset","count_practiceloop","count_probe","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceloop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instruction2","response_instruction3","response_keyboard_response","response_time","response_time_instruction1","response_time_instruction2","response_time_instruction3","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_experiment","time_experimentalLoop","time_expsequence","time_fixation","time_incorrectFeedback","time_instruction1","time_instruction2","time_instruction3","time_keyboard_response","time_logger","time_memoryset","time_practiceloop","time_probe","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","517","517","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.12","4","y","0","right","left","NA","NA","right","517","2702","NA","NA","517","2","legacy","5","1024","2","48000","-16","experiment","4","even","8","7900","NA","2253","NA","5693","5695","NA","2255","NA","NA","9906","10423","6697","4959","9903","Sternberg Task","0","517","1","yes","1024"
"0","0","1258.5","1258.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","1","1","0","0","1","1","1","0","0","0","1","1","1","0","1","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.12","0","n","0","None","left","NA","NA","None","2000","2702","NA","NA","2000","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","13758","NA","2253","NA","11550","11552","10473","2255","NA","NA","15762","17762","12555","4959","15762","Sternberg Task","0","2517","2","yes","1024"
"33.3333333333","33.3333333333","1227.33333333","1227.33333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","0","0","2","2","2","0","0","0","2","2","2","0","2","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","NA","right","1165","2702","NA","NA","1165","2","legacy","4","1024","2","48000","-16","experiment","4","even","6","21078","NA","2253","NA","18871","18873","17767","2255","NA","NA","23079","24244","19875","4959","23079","Sternberg Task","1","3682","3","yes","1024"
"50","50","1121.75","1121.75","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","3","3","0","0","3","3","3","0","0","0","3","3","3","0","3","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.12","2","y","0","left","left","NA","NA","left","805","2702","NA","NA","805","2","legacy","4","1024","2","48000","-16","experiment","4","even","5","27536","24250","2253","NA","25329","25331","17767","2255","NA","NA","29538","30343","26333","4959","29538","Sternberg Task","2","4487","4","yes","1024"
"60","60","1066.2","1066.2","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","0","0","4","4","4","0","0","0","4","4","4","0","4","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","NA","right","844","2702","NA","NA","844","2","legacy","5","1024","2","48000","-16","experiment","4","even","3","33631","30349","2253","NA","31426","31427","17767","2255","NA","NA","35632","36477","32429","4959","35632","Sternberg Task","3","5331","5","yes","1024"
"66.6666666667","66.6666666667","1013","1013","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","0","0","5","5","5","0","0","0","5","5","5","0","5","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","5","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","NA","right","747","2702","NA","NA","747","2","legacy","1","1024","2","48000","-16","experiment","4","even","3","39753","36482","2253","NA","37548","37549","17767","2255","NA","NA","41754","42501","38551","4959","41754","Sternberg Task","4","6078","6","yes","1024"
"71.4285714286","71.4285714286","944.857142857","944.857142857","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","0","0","6","6","6","0","0","0","6","6","6","0","6","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","NA","right","536","2702","NA","NA","536","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","45792","42508","2253","NA","43586","43588","17767","2255","NA","NA","47795","48332","44590","4959","47794","Sternberg Task","5","6614","7","yes","1024"
"75","75","923","923","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","0","0","7","7","7","0","0","0","7","7","7","0","7","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","6","Lentiform Loewenfeld","3.3.12","1","y","0","left","left","NA","NA","left","770","2702","NA","NA","770","2","legacy","1","1024","2","48000","-16","experiment","4","even","6","51604","48338","2253","NA","49398","49400","17767","2255","NA","NA","53607","54377","50402","4959","53606","Sternberg Task","6","7384","8","yes","1024"
"77.7777777778","77.7777777778","998.777777778","998.777777778","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","8","0","0","8","8","8","0","0","0","8","8","8","0","8","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.12","3","y","0","left","left","NA","NA","left","1605","2702","NA","NA","1605","2","legacy","3","1024","2","48000","-16","experiment","4","even","4","57667","54383","2253","NA","55460","55462","17767","2255","NA","NA","59670","61275","56464","4959","59670","Sternberg Task","7","8989","9","yes","1024"
"70","70","1015.8","1015.8","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","9","9","0","0","9","9","9","0","0","0","9","9","9","0","9","10/23/22 20:15:33","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-4.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.12","1","y","0","right","left","NA","NA","right","1169","2702","NA","NA","1169","2","legacy","6","1024","2","48000","-16","experiment","4","even","4","64563","61280","2253","NA","62357","62359","17767","2255","NA","NA","66566","67735","63361","4959","66566","Sternberg Task","7","10158","10","yes","1024"
