"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Keyboard_response","correct_instructions1","correct_response","count_Fixation","count_ISI","count_Keyboard_response","count_Logger","count_Probe","count_Thankyou","count_correctFeedback","count_expSequence","count_experiment","count_experimentalLoop","count_incorrectFeedback","count_instructions1","count_instructions2","count_memorySet","count_practiceLoop","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Keyboard_response","response_Thankyou","response_instructions1","response_instructions2","response_time","response_time_Keyboard_response","response_time_Thankyou","response_time_instructions1","response_time_instructions2","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_Fixation","time_ISI","time_Keyboard_response","time_Logger","time_Probe","time_Thankyou","time_correctFeedback","time_expSequence","time_experiment","time_experimentalLoop","time_incorrectFeedback","time_instructions1","time_instructions2","time_memorySet","time_practiceLoop","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2000","2000","black","practice","legacy","legacy","legacy","0","uniform","0","0","undefined","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.12","1","y","0","None","None","NA","return","NA","2000","2000","NA","52389","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","4","59766","61970","63971","65971","63971","NA","NA","59763","6688","NA","NA","6692","NA","60767","59081","Sternberg task ","0","2000","1","yes","1024"
"0","0","1663","1663","black","practice","legacy","legacy","legacy","0","uniform","0","0","undefined","left","1","1","1","1","1","0","1","1","0","0","1","0","0","1","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.12","4","y","0","right","right","NA","return","NA","1326","1326","NA","52389","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","8","67195","69401","71403","72729","71403","NA","NA","67194","6688","NA","66113","6692","NA","68197","59081","Sternberg task ","0","3326","2","yes","1024"
"0","0","1480","1480","black","practice","legacy","legacy","legacy","0","uniform","0","0","undefined","left","2","2","2","2","2","0","2","2","0","0","2","0","0","2","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.12","3","y","0","right","right","NA","return","NA","1114","1114","NA","52389","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","4","73808","76013","78014","79128","78014","NA","NA","73807","6688","NA","72734","6692","NA","74809","59081","Sternberg task ","0","4440","3","yes","1024"
"0","0","1499","1499","black","practice","legacy","legacy","legacy","0","uniform","0","0","undefined","right","3","3","3","3","3","0","3","3","0","0","3","0","0","3","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.12","0","n","0","left","left","NA","return","NA","1556","1556","NA","52389","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","80206","82411","84412","85969","84412","NA","NA","80205","6688","NA","79132","6692","NA","81207","59081","Sternberg task ","0","5996","4","yes","1024"
"0","0","1556.2","1556.2","black","practice","legacy","legacy","legacy","0","uniform","0","0","undefined","left","4","4","4","4","4","0","4","4","0","0","4","0","0","4","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","4 8","Lentiform Loewenfeld","3.3.12","1","y","0","right","right","NA","return","NA","1785","1785","NA","52389","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","4","87057","89262","91263","93049","91263","NA","NA","87055","6688","NA","85984","6692","NA","88058","59081","Sternberg task ","0","7781","5","yes","1024"
"0","0","1630.16666667","1630.16666667","black","practice","legacy","legacy","legacy","0","uniform","0","0","undefined","right","5","5","5","5","5","0","5","5","0","0","5","0","0","5","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","5","Lentiform Loewenfeld","3.3.12","0","n","0","None","None","NA","return","NA","2000","2000","NA","52389","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","3","94130","96335","98337","100337","98337","NA","NA","94128","6688","NA","93057","6692","NA","95131","59081","Sternberg task ","0","9781","6","yes","1024"
"0","0","1597.57142857","1597.57142857","black","practice","legacy","legacy","legacy","0","uniform","0","0","undefined","right","6","6","6","6","6","0","6","6","0","0","6","0","0","6","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.12","0","n","0","left","left","NA","return","NA","1402","1402","NA","52389","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","101414","103619","105622","107025","105621","NA","NA","101413","6688","NA","100341","6692","NA","102415","59081","Sternberg task ","0","11183","7","yes","1024"
"0","0","1540.875","1540.875","black","practice","legacy","legacy","legacy","0","uniform","0","0","undefined","right","7","7","7","7","7","0","7","7","0","0","7","0","0","7","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","2 1","Lentiform Loewenfeld","3.3.12","0","n","0","left","left","NA","return","NA","1144","1144","NA","52389","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","5","108122","110327","112329","113473","112328","NA","NA","108120","6688","NA","107028","6692","NA","109123","59081","Sternberg task ","0","12327","8","yes","1024"
"0","0","1435.77777778","1435.77777778","black","practice","legacy","legacy","legacy","0","uniform","0","0","undefined","left","8","8","8","8","8","0","8","8","0","0","8","0","0","8","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.12","2","y","0","right","right","NA","return","NA","595","595","NA","52389","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","5","114551","116756","118757","119353","118757","NA","NA","114548","6688","NA","113477","6692","NA","115551","59081","Sternberg task ","0","12922","9","yes","1024"
"10","10","1369.4","1369.4","black","practice","legacy","legacy","legacy","0","uniform","1","1","undefined","right","9","9","9","9","9","0","9","9","0","0","9","0","0","9","0","10/23/22 19:28:13","The main experiment item","yes","Sternbergtask.osexp","C:\Users\ayesh\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/ayesh/OneDrive/Desktop/MK-subject-4.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","return","NA","772","772","NA","52389","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","6","120430","122636","124637","125409","124637","NA","NA","120428","6688","NA","119358","6692","NA","121432","59081","Sternberg task ","1","13694","10","yes","1024"
