"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_Practice_loop","count_correctFeedback","count_expSequence","count_experiment","count_experiment_loop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Practice_loop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_Practice_loop","time_correctFeedback","time_expSequence","time_experiment","time_experiment_loop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2000","2000","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Wed Oct 19 14:58:44 2022","The main experiment item","yes","Sternbergtask.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/cici_/OneDrive/Documents/R/26F-subject-2.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.12","0","n","0","None","left","NA","None","NA","2000","31050","NA","2000","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","38336","34733","NA","36132","3677","NA","36134","NA","3682","NA","40347","42348","37134","40346","NA","Sternberg task","0","2000","1","yes","1024"
"0","0","2000","2000","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","1","0","1","1","0","0","1","1","0","0","1","1","1","1","0","Wed Oct 19 14:58:44 2022","The main experiment item","yes","Sternbergtask.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/cici_/OneDrive/Documents/R/26F-subject-2.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.12","0","n","0","None","left","NA","None","NA","2000","31050","NA","2000","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","46405","34733","NA","44175","3677","NA","44185","42703","3682","NA","48419","50420","45195","48414","NA","Sternberg task","0","4000","2","yes","1024"
"0","0","2000","2000","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","2","0","2","2","0","0","2","2","0","0","2","2","2","2","0","Wed Oct 19 14:58:44 2022","The main experiment item","yes","Sternbergtask.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/cici_/OneDrive/Documents/R/26F-subject-2.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.12","2","y","0","None","left","NA","None","NA","2000","31050","NA","2000","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","54146","34733","NA","51915","3677","NA","51925","50451","3682","NA","56157","58158","52936","56156","NA","Sternberg task","0","6000","3","yes","1024"
"25","25","1790","1790","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","3","0","3","3","0","0","3","3","0","0","3","3","3","3","0","Wed Oct 19 14:58:44 2022","The main experiment item","yes","Sternbergtask.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/cici_/OneDrive/Documents/R/26F-subject-2.csv","legacy","6","Lentiform Loewenfeld","3.3.12","1","y","0","left","left","NA","left","NA","1160","31050","NA","1160","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","6","61858","34733","NA","59627","3677","NA","59637","58178","3682","NA","63868","65031","60648","63868","NA","Sternberg task","1","7160","4","yes","1024"
"40","40","1646.6","1646.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","0","4","4","0","0","4","4","0","0","4","4","4","4","0","Wed Oct 19 14:58:44 2022","The main experiment item","yes","Sternbergtask.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/cici_/OneDrive/Documents/R/26F-subject-2.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","right","NA","1073","31050","NA","1073","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","2","68760","34733","65053","66528","3677","NA","66540","58178","3682","NA","70774","71850","67550","70770","NA","Sternberg task","2","8233","5","yes","1024"
"50","50","1513.8333333333333","1513.8333333333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","Wed Oct 19 14:58:44 2022","The main experiment item","yes","Sternbergtask.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/cici_/OneDrive/Documents/R/26F-subject-2.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.12","1","y","0","left","left","NA","left","NA","850","31050","NA","850","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","4","75562","34733","71871","73338","3677","NA","73351","58178","3682","NA","77564","78415","74361","77563","NA","Sternberg task","3","9083","6","yes","1024"
"57.142857142857146","57.142857142857146","1399.857142857143","1399.857142857143","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","0","6","6","0","0","6","6","0","0","6","6","6","6","0","Wed Oct 19 14:58:44 2022","The main experiment item","yes","Sternbergtask.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/cici_/OneDrive/Documents/R/26F-subject-2.csv","legacy","2 1","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","right","NA","716","31050","NA","716","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","81694","34733","78429","79491","3677","NA","79492","58178","3682","NA","83695","84411","80493","83695","NA","Sternberg task","4","9799","7","yes","1024"
"62.5","62.5","1321","1321","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","0","7","7","0","0","7","7","0","0","7","7","7","7","0","Wed Oct 19 14:58:44 2022","The main experiment item","yes","Sternbergtask.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/cici_/OneDrive/Documents/R/26F-subject-2.csv","legacy","5","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","right","NA","769","31050","NA","769","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","3","87690","34733","84426","85487","3677","NA","85488","58178","3682","NA","89691","90461","86489","89691","NA","Sternberg task","5","10568","8","yes","1024"
"66.66666666666667","66.66666666666667","1245.4444444444443","1245.4444444444443","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","0","8","8","0","0","8","8","0","0","8","8","8","8","0","Wed Oct 19 14:58:44 2022","The main experiment item","yes","Sternbergtask.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/cici_/OneDrive/Documents/R/26F-subject-2.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","right","NA","641","31050","NA","641","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","93732","34733","90467","91529","3677","NA","91530","58178","3682","NA","95733","96374","92531","95733","NA","Sternberg task","6","11209","9","yes","1024"
"70","70","1191.9","1191.9","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","0","9","9","0","0","9","9","0","0","9","9","9","9","0","Wed Oct 19 14:58:44 2022","The main experiment item","yes","Sternbergtask.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/cici_/OneDrive/Documents/R/26F-subject-2.csv","legacy","4 8","Lentiform Loewenfeld","3.3.12","1","y","0","left","left","NA","left","NA","710","31050","NA","710","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","4","99645","34733","96380","97442","3677","NA","97443","58178","3682","NA","101646","102357","98443","101646","NA","Sternberg task","7","11919","10","yes","1024"
