"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction1","correct_keyboard_response","correct_response","count_CorrectFeedback","count_ExpSequence","count_ExperimentLoop","count_Fixation","count_ISI","count_IncorrectFeedback","count_Instruction1","count_Instructions2","count_MemorySet","count_PracticeLoop","count_Probe","count_ThankYou","count_experiment","count_keyboard_response","count_logger","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instruction1","response_Instructions2","response_ThankYou","response_keyboard_response","response_time","response_time_Instruction1","response_time_Instructions2","response_time_ThankYou","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_CorrectFeedback","time_ExpSequence","time_ExperimentLoop","time_Fixation","time_ISI","time_IncorrectFeedback","time_Instruction1","time_Instructions2","time_MemorySet","time_PracticeLoop","time_Probe","time_ThankYou","time_experiment","time_keyboard_response","time_logger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","713","713","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mon Oct 17 19:52:44 2022","The main experiment item","yes","SternbergTask.osexp","C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT\LAB 3.1","no","mono","no","18","no","white","no","no","768","legacy","0","0","C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/LAB 3.2/MM-subject-2.1.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.12","4","y","0","left","left","NA","NA","left","713","14830","NA","NA","713","2","legacy","5","1024","2","48000","-16","experiment","2","even","8","NA","18288","NA","18291","20493","NA","2410","NA","19292","17241","22494","NA","2406","22494","23207","Sternberg Task","1","713","1","yes","1024"
"100","100","571","571","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","0","1","1","1","0","0","1","0","1","0","0","1","1","Mon Oct 17 19:52:44 2022","The main experiment item","yes","SternbergTask.osexp","C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT\LAB 3.1","no","mono","no","18","no","white","no","no","768","legacy","1","1","C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/LAB 3.2/MM-subject-2.1.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.12","2","y","0","left","left","NA","NA","left","429","14830","NA","NA","429","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","23304","24416","NA","24418","26620","NA","2410","NA","25419","17241","28621","NA","2406","28622","29051","Sternberg Task","2","1142","2","yes","1024"
"100","100","555.3333333333334","555.3333333333334","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","0","2","2","2","0","0","2","0","2","0","0","2","2","Mon Oct 17 19:52:44 2022","The main experiment item","yes","SternbergTask.osexp","C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT\LAB 3.1","no","mono","no","18","no","white","no","no","768","legacy","2","2","C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/LAB 3.2/MM-subject-2.1.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","NA","right","524","14830","NA","NA","524","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","29056","30166","NA","30167","32369","NA","2410","NA","31168","17241","34370","NA","2406","34370","34895","Sternberg Task","3","1666","3","yes","1024"
"100","100","540.5","540.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","0","3","3","3","0","0","3","0","3","0","0","3","3","Mon Oct 17 19:52:44 2022","The main experiment item","yes","SternbergTask.osexp","C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT\LAB 3.1","no","mono","no","18","no","white","no","no","768","legacy","3","3","C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/LAB 3.2/MM-subject-2.1.csv","legacy","5","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","NA","right","496","14830","NA","NA","496","2","legacy","1","1024","2","48000","-16","experiment","2","even","3","34901","36019","NA","36021","38223","NA","2410","NA","37022","17241","40224","NA","2406","40224","40721","Sternberg Task","4","2162","4","yes","1024"
"100","100","522","522","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","0","4","4","4","0","0","4","0","4","0","0","4","4","Mon Oct 17 19:52:44 2022","The main experiment item","yes","SternbergTask.osexp","C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT\LAB 3.1","no","mono","no","18","no","white","no","no","768","legacy","4","4","C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/LAB 3.2/MM-subject-2.1.csv","legacy","4 8","Lentiform Loewenfeld","3.3.12","1","y","0","left","left","NA","NA","left","448","14830","NA","NA","448","2","legacy","2","1024","2","48000","-16","experiment","2","even","4","40726","41835","NA","41836","44038","NA","2410","NA","42837","17241","46039","NA","2406","46039","46488","Sternberg Task","5","2610","5","yes","1024"
"100","100","519.3333333333334","519.3333333333334","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","5","0","5","5","5","0","0","5","0","5","0","0","5","5","Mon Oct 17 19:52:44 2022","The main experiment item","yes","SternbergTask.osexp","C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT\LAB 3.1","no","mono","no","18","no","white","no","no","768","legacy","5","5","C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/LAB 3.2/MM-subject-2.1.csv","legacy","6","Lentiform Loewenfeld","3.3.12","1","y","0","left","left","NA","NA","left","506","14830","NA","NA","506","2","legacy","1","1024","2","48000","-16","experiment","2","even","6","46493","47602","NA","47605","49807","NA","2410","NA","48606","17241","51808","NA","2406","51808","52314","Sternberg Task","6","3116","6","yes","1024"
"100","100","542.8571428571429","542.8571428571429","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","0","6","6","6","0","0","6","0","6","0","0","6","6","Mon Oct 17 19:52:44 2022","The main experiment item","yes","SternbergTask.osexp","C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT\LAB 3.1","no","mono","no","18","no","white","no","no","768","legacy","6","6","C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/LAB 3.2/MM-subject-2.1.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","NA","right","684","14830","NA","NA","684","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","52320","53425","NA","53426","55629","NA","2410","NA","54428","17241","57630","NA","2406","57630","58314","Sternberg Task","7","3800","7","yes","1024"
"100","100","554.75","554.75","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","0","7","7","7","0","0","7","0","7","0","0","7","7","Mon Oct 17 19:52:44 2022","The main experiment item","yes","SternbergTask.osexp","C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT\LAB 3.1","no","mono","no","18","no","white","no","no","768","legacy","7","7","C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/LAB 3.2/MM-subject-2.1.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.12","1","y","0","left","left","NA","NA","left","638","14830","NA","NA","638","2","legacy","6","1024","2","48000","-16","experiment","2","even","4","58323","59425","NA","59427","61629","NA","2410","NA","60428","17241","63630","NA","2406","63630","64269","Sternberg Task","8","4438","8","yes","1024"
"100","100","542.8888888888889","542.8888888888889","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","0","8","8","8","0","0","8","0","8","0","0","8","8","Mon Oct 17 19:52:44 2022","The main experiment item","yes","SternbergTask.osexp","C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT\LAB 3.1","no","mono","no","18","no","white","no","no","768","legacy","8","8","C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/LAB 3.2/MM-subject-2.1.csv","legacy","2 1","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","NA","right","448","14830","NA","NA","448","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","64283","65383","NA","65385","67587","NA","2410","NA","66386","17241","69588","NA","2406","69588","70037","Sternberg Task","9","4886","9","yes","1024"
"100","100","544.1","544.1","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","0","9","9","9","0","0","9","0","9","0","0","9","9","Mon Oct 17 19:52:44 2022","The main experiment item","yes","SternbergTask.osexp","C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT\LAB 3.1","no","mono","no","18","no","white","no","no","768","legacy","9","9","C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/LAB 3.2/MM-subject-2.1.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","NA","right","555","14830","NA","NA","555","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","70044","71144","NA","71146","73348","NA","2410","NA","72147","17241","75349","NA","2406","75349","75904","Sternberg Task","10","5441","10","yes","1024"
