"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ExpSequence","count_Fixation","count_ISI","count_MemorySet","count_PracticeLoop","count_Probe","count_correctFeedback","count_experiment","count_experimentLoop","count_getting_started","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_logger","count_thankYou","count_welcome","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","response_time_welcome","response_welcome","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ExpSequence","time_Fixation","time_ISI","time_MemorySet","time_PracticeLoop","time_Probe","time_correctFeedback","time_experiment","time_experimentLoop","time_getting_started","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_logger","time_thankYou","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","539","539","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","NA","Mon Oct 17 19:31:52 2022","The main experiment item","yes","Lab 3.1.osexp","C:\Users\joey.knofczynski\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/joey.knofczynski/Downloads/MC-subject-3.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","539","5037","NA","539","NA","NA","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","7442","7445","9650","8446","7051","11651","NA","2007","NA","NA","NA","2014","NA","11652","12192","NA","NA","Sternberg Task","1","539","1","yes","1024"
"100","100","487.5","487.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","1","1","1","1","0","1","1","0","0","NA","1","0","0","1","1","0","NA","Mon Oct 17 19:31:52 2022","The main experiment item","yes","Lab 3.1.osexp","C:\Users\joey.knofczynski\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/joey.knofczynski/Downloads/MC-subject-3.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","436","5037","NA","436","NA","NA","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","2","13297","13299","15503","14301","7051","17505","12219","2007","NA","NA","NA","2014","NA","17505","17942","NA","NA","Sternberg Task","2","975","2","yes","1024"
"100","100","468.3333333333333","468.3333333333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","2","2","0","2","2","0","0","NA","2","0","0","2","2","0","NA","Mon Oct 17 19:31:52 2022","The main experiment item","yes","Lab 3.1.osexp","C:\Users\joey.knofczynski\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/joey.knofczynski/Downloads/MC-subject-3.csv","legacy","2 1","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","430","5037","NA","430","NA","NA","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","5","19012","19016","21223","20020","7051","23226","17947","2007","NA","NA","NA","2014","NA","23226","23658","NA","NA","Sternberg Task","3","1405","3","yes","1024"
"100","100","483.25","483.25","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","3","3","3","3","0","3","3","0","0","NA","3","0","0","3","3","0","NA","Mon Oct 17 19:31:52 2022","The main experiment item","yes","Lab 3.1.osexp","C:\Users\joey.knofczynski\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/joey.knofczynski/Downloads/MC-subject-3.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.12","4","y","0","left","right","NA","left","NA","528","5037","NA","528","NA","NA","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","24727","24730","26936","25730","7051","28938","23663","2007","NA","NA","NA","2014","NA","28938","29467","NA","NA","Sternberg Task","4","1933","4","yes","1024"
"100","100","475.8","475.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","4","4","0","4","4","0","0","NA","4","0","0","4","4","0","NA","Mon Oct 17 19:31:52 2022","The main experiment item","yes","Lab 3.1.osexp","C:\Users\joey.knofczynski\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/joey.knofczynski/Downloads/MC-subject-3.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","446","5037","NA","446","NA","NA","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","30532","30535","32742","31537","7051","34743","29472","2007","NA","NA","NA","2014","NA","34743","35190","NA","NA","Sternberg Task","5","2379","5","yes","1024"
"100","100","453","453","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","5","5","5","0","5","5","0","0","NA","5","0","0","5","5","0","NA","Mon Oct 17 19:31:52 2022","The main experiment item","yes","Lab 3.1.osexp","C:\Users\joey.knofczynski\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/joey.knofczynski/Downloads/MC-subject-3.csv","legacy","4 8","Lentiform Loewenfeld","3.3.12","1","y","0","left","right","NA","left","NA","339","5037","NA","339","NA","NA","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","4","36257","36260","38467","37264","7051","40471","35195","2007","NA","NA","NA","2014","NA","40471","40812","NA","NA","Sternberg Task","6","2718","6","yes","1024"
"100","100","445.7142857142857","445.7142857142857","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","6","6","0","6","6","0","0","NA","6","0","0","6","6","0","NA","Mon Oct 17 19:31:52 2022","The main experiment item","yes","Lab 3.1.osexp","C:\Users\joey.knofczynski\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/joey.knofczynski/Downloads/MC-subject-3.csv","legacy","5","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","402","5037","NA","402","NA","NA","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","41878","41880","44088","42883","7051","46091","40817","2007","NA","NA","NA","2014","NA","46091","46494","NA","NA","Sternberg Task","7","3120","7","yes","1024"
"100","100","436.75","436.75","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","7","7","0","7","7","0","0","NA","7","0","0","7","7","0","NA","Mon Oct 17 19:31:52 2022","The main experiment item","yes","Lab 3.1.osexp","C:\Users\joey.knofczynski\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/joey.knofczynski/Downloads/MC-subject-3.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.12","2","y","0","left","right","NA","left","NA","374","5037","NA","374","NA","NA","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","5","47562","47564","49770","48565","7051","51772","46498","2007","NA","NA","NA","2014","NA","51772","52147","NA","NA","Sternberg Task","8","3494","8","yes","1024"
"100","100","437","437","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","8","8","8","0","8","8","0","0","NA","8","0","0","8","8","0","NA","Mon Oct 17 19:31:52 2022","The main experiment item","yes","Lab 3.1.osexp","C:\Users\joey.knofczynski\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/joey.knofczynski/Downloads/MC-subject-3.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.12","1","y","0","left","right","NA","left","NA","439","5037","NA","439","NA","NA","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","53214","53217","55423","54221","7051","57425","52152","2007","NA","NA","NA","2014","NA","57425","57866","NA","NA","Sternberg Task","9","3933","9","yes","1024"
"100","100","428.8","428.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","9","9","9","0","9","9","0","0","NA","9","0","0","9","9","0","NA","Mon Oct 17 19:31:52 2022","The main experiment item","yes","Lab 3.1.osexp","C:\Users\joey.knofczynski\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/joey.knofczynski/Downloads/MC-subject-3.csv","legacy","6","Lentiform Loewenfeld","3.3.12","1","y","0","left","right","NA","left","NA","355","5037","NA","355","NA","NA","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","58942","58944","61150","59946","7051","63152","57871","2007","NA","NA","NA","2014","NA","63152","63508","NA","NA","Sternberg Task","10","4288","10","yes","1024"
