acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instruction1,correct_keyboard_response,correct_response,count_CorrectFeedback,count_ExpSequence,count_ExperimentLoop,count_Fixation,count_ISI,count_Instruction1,count_Instructions2,count_MemorySet,count_PracticeLoop,count_Probe,count_ThankYou,count_experiment,count_incorrectFeedback,count_keyboard_response,count_logger,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_PracticeLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Instruction1,response_Instructions2,response_ThankYou,response_keyboard_response,response_time,response_time_Instruction1,response_time_Instructions2,response_time_ThankYou,response_time_keyboard_response,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_CorrectFeedback,time_ExpSequence,time_ExperimentLoop,time_Fixation,time_ISI,time_Instruction1,time_Instructions2,time_MemorySet,time_PracticeLoop,time_Probe,time_ThankYou,time_experiment,time_incorrectFeedback,time_keyboard_response,time_logger,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,902,902,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,0,0,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,left,left,NA,NA,left,902,350743,NA,NA,902,2,legacy,3,1024,2,48000,-16,experiment,4,even,4,NA,353863,NA,353866,356072,2426,NA,354868,353171,358077,NA,2424,NA,358077,358979,Sternberg Task,1,902,1,yes,1024
100,100,748,748,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,1,1,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,NA,left,594,350743,NA,NA,594,2,legacy,2,1024,2,48000,-16,experiment,4,even,4,359046,360162,NA,360164,362374,2426,NA,361168,353171,364379,NA,2424,NA,364379,364973,Sternberg Task,2,1496,2,yes,1024
100,100,715,715,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,2,2,0,2,2,0,0,2,0,2,0,0,2,2,2,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,2,2,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,NA,left,649,350743,NA,NA,649,2,legacy,1,1024,2,48000,-16,experiment,4,even,6,364985,366082,NA,366084,368294,2426,NA,367088,353171,370300,NA,2424,NA,370301,370950,Sternberg Task,3,2145,3,yes,1024
100,100,699.5,699.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,3,3,0,3,3,0,0,3,0,3,0,0,3,3,3,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,3,3,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,NA,right,653,350743,NA,NA,653,2,legacy,1,1024,2,48000,-16,experiment,4,even,3,370954,372050,NA,372052,374261,2426,NA,373056,353171,376266,NA,2424,NA,376266,376920,Sternberg Task,4,2798,4,yes,1024
100,100,790.6,790.6,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,4,4,0,4,4,0,0,4,0,4,0,0,4,4,4,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,4,4,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,NA,right,1155,350743,NA,NA,1155,2,legacy,2,1024,2,48000,-16,experiment,4,even,5,376929,378028,NA,378030,380240,2426,NA,379034,353171,382245,NA,2424,NA,382245,383400,Sternberg Task,5,3953,5,yes,1024
100,100,890.5,890.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,5,5,0,5,5,0,0,5,0,5,0,0,5,5,5,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,5,5,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,NA,right,1390,350743,NA,NA,1390,2,legacy,3,1024,2,48000,-16,experiment,4,even,2,383405,384520,NA,384522,386732,2426,NA,385527,353171,388736,NA,2424,NA,388736,390127,Sternberg Task,6,5343,6,yes,1024
100,100,868.7142857,868.7142857,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,6,6,0,6,6,0,0,6,0,6,0,0,6,6,6,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,6,6,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,NA,right,738,350743,NA,NA,738,2,legacy,5,1024,2,48000,-16,experiment,4,even,3,390131,391226,NA,391228,393438,2426,NA,392232,353171,395443,NA,2424,NA,395443,396181,Sternberg Task,7,6081,7,yes,1024
100,100,866.75,866.75,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,7,7,0,7,7,0,0,7,0,7,0,0,7,7,7,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,7,7,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,NA,left,853,350743,NA,NA,853,2,legacy,6,1024,2,48000,-16,experiment,4,even,4,396187,397265,NA,397267,399477,2426,NA,398272,353171,401482,NA,2424,NA,401482,402335,Sternberg Task,8,6934,8,yes,1024
100,100,871.1111111,871.1111111,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,8,8,0,8,8,0,0,8,0,8,0,0,8,8,8,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,8,8,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,left,NA,NA,left,906,350743,NA,NA,906,2,legacy,5,1024,2,48000,-16,experiment,4,even,8,402341,403448,NA,403450,405660,2426,NA,404455,353171,407665,NA,2424,NA,407665,408572,Sternberg Task,9,7840,9,yes,1024
100,100,841.6,841.6,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,9,9,0,9,9,0,0,9,0,9,0,0,9,9,9,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,9,9,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,NA,right,576,350743,NA,NA,576,2,legacy,4,1024,2,48000,-16,experiment,4,even,6,408577,409676,NA,409678,411888,2426,NA,410683,353171,413894,NA,2424,NA,413894,414470,Sternberg Task,10,8416,10,yes,1024
