"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expLoop","count_expSequence","count_experiment","count_fixation","count_incorrectFeedback","count_instruction1","count_instruction2","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instruction2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instruction2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expLoop","time_expSequence","time_experiment","time_fixation","time_incorrectFeedback","time_instruction1","time_instruction2","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","467","467","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Wed Oct 12 13:21:33 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/Austin/Documents/PSYC 5316/Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Austin/Documents/PSYC 5316/Lab 3/AH-subject-1.csv","legacy","2 1","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","467","29356","NA","467","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","36913","NA","NA","34700","4302","34706","NA","4310","NA","38918","39386","35709","33668","38918","NA","Sternberg Task","1","467","1","yes","1024"
"50","50","623.5","623.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","1","1","0","1","0","1","1","0","0","1","1","1","0","1","0","Wed Oct 12 13:21:33 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/Austin/Documents/PSYC 5316/Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Austin/Documents/PSYC 5316/Lab 3/AH-subject-1.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.12","4","y","0","right","right","NA","right","NA","780","29356","NA","780","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","42821","39461","NA","40609","4302","40613","NA","4310","NA","44827","45608","41618","33668","44826","NA","Sternberg Task","1","1247","2","yes","1024"
"66.66666666666667","66.66666666666667","587.6666666666666","587.6666666666666","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","2","0","2","0","2","2","0","0","2","2","2","0","2","0","Wed Oct 12 13:21:33 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/Austin/Documents/PSYC 5316/Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Austin/Documents/PSYC 5316/Lab 3/AH-subject-1.csv","legacy","4 8","Lentiform Loewenfeld","3.3.12","1","y","0","left","right","NA","left","NA","516","29356","NA","516","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","48996","39461","NA","46782","4302","46787","45615","4310","NA","51000","51517","47792","33668","51000","NA","Sternberg Task","2","1763","3","yes","1024"
"50","50","603","603","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","3","3","0","3","0","3","3","0","0","3","3","3","0","3","0","Wed Oct 12 13:21:33 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/Austin/Documents/PSYC 5316/Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Austin/Documents/PSYC 5316/Lab 3/AH-subject-1.csv","legacy","5","Lentiform Loewenfeld","3.3.12","0","n","0","left","right","NA","left","NA","649","29356","NA","649","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","54897","51526","NA","52682","4302","52686","45615","4310","NA","56903","57553","53691","33668","56901","NA","Sternberg Task","2","2412","4","yes","1024"
"60","60","670","670","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","0","4","0","4","4","0","0","4","4","4","0","4","0","Wed Oct 12 13:21:33 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/Austin/Documents/PSYC 5316/Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Austin/Documents/PSYC 5316/Lab 3/AH-subject-1.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","938","29356","NA","938","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","60946","51526","NA","58734","4302","58738","57562","4310","NA","62950","63889","59742","33668","62950","NA","Sternberg Task","3","3350","5","yes","1024"
"66.66666666666667","66.66666666666667","664.1666666666666","664.1666666666666","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","5","0","5","0","5","5","0","0","5","5","5","0","5","0","Wed Oct 12 13:21:33 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/Austin/Documents/PSYC 5316/Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Austin/Documents/PSYC 5316/Lab 3/AH-subject-1.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.12","2","y","0","left","right","NA","left","NA","635","29356","NA","635","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","67275","63898","NA","65062","4302","65066","57562","4310","NA","69279","69915","66070","33668","69279","NA","Sternberg Task","4","3985","6","yes","1024"
"71.42857142857143","71.42857142857143","656.4285714285714","656.4285714285714","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","0","6","0","6","6","0","0","6","6","6","0","6","0","Wed Oct 12 13:21:33 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/Austin/Documents/PSYC 5316/Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Austin/Documents/PSYC 5316/Lab 3/AH-subject-1.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.12","1","y","0","left","right","NA","left","NA","610","29356","NA","610","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","73298","69924","NA","71086","4302","71090","57562","4310","NA","75304","75915","72093","33668","75304","NA","Sternberg Task","5","4595","7","yes","1024"
"75","75","686.875","686.875","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","7","0","7","0","7","7","0","0","7","7","7","0","7","0","Wed Oct 12 13:21:33 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/Austin/Documents/PSYC 5316/Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Austin/Documents/PSYC 5316/Lab 3/AH-subject-1.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","900","29356","NA","900","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","79288","75924","NA","77076","4302","77080","57562","4310","NA","81292","82193","78084","33668","81292","NA","Sternberg Task","6","5495","8","yes","1024"
"77.77777777777777","77.77777777777777","680.4444444444445","680.4444444444445","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","8","0","8","0","8","8","0","0","8","8","8","0","8","0","Wed Oct 12 13:21:33 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/Austin/Documents/PSYC 5316/Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Austin/Documents/PSYC 5316/Lab 3/AH-subject-1.csv","legacy","6","Lentiform Loewenfeld","3.3.12","1","y","0","left","right","NA","left","NA","629","29356","NA","629","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","85558","82203","NA","83346","4302","83350","57562","4310","NA","87562","88192","84354","33668","87562","NA","Sternberg Task","7","6124","9","yes","1024"
"80","80","759.3","759.3","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","0","9","0","9","9","0","0","9","9","9","0","9","0","Wed Oct 12 13:21:33 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/Austin/Documents/PSYC 5316/Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Austin/Documents/PSYC 5316/Lab 3/AH-subject-1.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","1469","29356","NA","1469","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","91576","88200","NA","89362","4302","89366","57562","4310","NA","93582","95052","90371","33668","93581","NA","Sternberg Task","8","7593","10","yes","1024"
