"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","width"
"100","100","1548","1548","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Oct 15 17:13:35 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\juzal\OneDrive\Documents\Masters of Equine Science\Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","0","0","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/Ch-subject-3.csv","legacy","2 9 4","Melodramatic Milgram","4.0.5","3","y","0","left","right","NA","left","NA","1548.0","42862","NA","1548","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","4","47682","NA","45480","2087","NA","45481","NA","2097","NA","49682","51231","46481","44961","49682","NA","Sternberg Task","1","1548.0","1","1024"
"50","50","1304","1304","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Sun Oct 15 17:13:35 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\juzal\OneDrive\Documents\Masters of Equine Science\Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","1","1","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/Ch-subject-3.csv","legacy","5","Melodramatic Milgram","4.0.5","0","n","0","left","right","NA","left","NA","1061.0","42862","NA","1061","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","54527","51295","52325","2087","NA","52325","NA","2097","NA","56528","57590","53326","44961","56527","NA","Sternberg Task","1","2609.0","2","1024"
"66","66","1370","1370","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Sun Oct 15 17:13:35 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\juzal\OneDrive\Documents\Masters of Equine Science\Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","2","2","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/Ch-subject-3.csv","legacy","1 5 2 9","Melodramatic Milgram","4.0.5","2","y","0","left","right","NA","left","NA","1502.0","42862","NA","1502","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","5","60850","51295","58648","2087","NA","58648","57622","2097","NA","62850","64353","59648","44961","62850","NA","Sternberg Task","2","4111.0","3","1024"
"75","75","1261","1261","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Sun Oct 15 17:13:35 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\juzal\OneDrive\Documents\Masters of Equine Science\Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","3","3","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/Ch-subject-3.csv","legacy","5 7 8 4 1 2","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","935.0","42862","NA","935","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","67611","64379","65409","2087","NA","65410","57622","2097","NA","69611","70546","66410","44961","69611","NA","Sternberg Task","3","5046.0","4","1024"
"80","80","1247","1247","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Sun Oct 15 17:13:35 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\juzal\OneDrive\Documents\Masters of Equine Science\Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","4","4","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/Ch-subject-3.csv","legacy","4 3 1 7 9 8","Melodramatic Milgram","4.0.5","1","y","0","left","right","NA","left","NA","1191.0","42862","NA","1191","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","73807","70578","71605","2087","NA","71606","57622","2097","NA","75807","76999","72607","44961","75807","NA","Sternberg Task","4","6237.0","5","1024"
"83","83","1167","1167","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Sun Oct 15 17:13:35 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\juzal\OneDrive\Documents\Masters of Equine Science\Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","5","5","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/Ch-subject-3.csv","legacy","9 6 7 4 5","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","765.0","42862","NA","765","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","80234","77005","78033","2087","NA","78033","57622","2097","NA","82234","83000","79034","44961","82234","NA","Sternberg Task","5","7002.0","6","1024"
"85","85","1019","1019","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Sun Oct 15 17:13:35 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\juzal\OneDrive\Documents\Masters of Equine Science\Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","6","6","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/Ch-subject-3.csv","legacy","6","Melodramatic Milgram","4.0.5","1","y","0","left","right","NA","left","NA","132.0","42862","NA","132","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","86255","83025","84052","2087","NA","84053","57622","2097","NA","88256","88388","85054","44961","88255","NA","Sternberg Task","6","7134.0","7","1024"
"75","75","906","906","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Sun Oct 15 17:13:35 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\juzal\OneDrive\Documents\Masters of Equine Science\Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","7","7","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/Ch-subject-3.csv","legacy","2 1","Melodramatic Milgram","4.0.5","0","n","0","left","right","NA","left","NA","118.0","42862","NA","118","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","5","91648","88413","89447","2087","NA","89448","57622","2097","NA","93649","93767","90448","44961","93648","NA","Sternberg Task","6","7252.0","8","1024"
"66","66","902","902","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Sun Oct 15 17:13:35 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\juzal\OneDrive\Documents\Masters of Equine Science\Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","8","8","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/Ch-subject-3.csv","legacy","3 1 9 4","Melodramatic Milgram","4.0.5","0","n","0","left","right","NA","left","NA","869.0","42862","NA","869","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","97027","88413","94825","2087","NA","94825","93798","2097","NA","99027","99897","95826","44961","99027","NA","Sternberg Task","6","8121.0","9","1024"
"60","60","885","885","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Sun Oct 15 17:13:35 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\juzal\OneDrive\Documents\Masters of Equine Science\Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","9","9","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/Ch-subject-3.csv","legacy","4 8","Melodramatic Milgram","4.0.5","1","y","0","right","right","NA","right","NA","737.0","42862","NA","737","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","4","103164","88413","100962","2087","NA","100962","99934","2097","NA","105164","105901","101963","44961","105164","NA","Sternberg Task","6","8858.0","10","1024"
"63","63","895","895","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","10","10","10","0","0","10","10","0","0","10","10","10","0","10","0","Sun Oct 15 17:13:35 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\juzal\OneDrive\Documents\Masters of Equine Science\Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","10","10","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/Ch-subject-3.csv","legacy","1 7 9 8 5","Melodramatic Milgram","4.0.5","4","y","0","left","right","NA","left","NA","992.0","42862","NA","992","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","109169","88413","106968","2087","NA","106968","105941","2097","NA","111169","112162","107968","44961","111169","NA","Sternberg Task","7","9850.0","11","1024"
"66","66","862","862","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","11","11","11","0","0","11","11","0","0","11","11","11","0","11","0","Sun Oct 15 17:13:35 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\juzal\OneDrive\Documents\Masters of Equine Science\Advanced Quantitative Methods and Experiment Design","False","mono","False","18","no","white","no","yes","768","legacy","11","11","C:/Users/juzal/OneDrive/Documents/Masters of Equine Science/Advanced Quantitative Methods and Experiment Design/Ch-subject-3.csv","legacy","4 1 5","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","504.0","42862","NA","504","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","2","115421","112187","113219","2087","NA","113220","105941","2097","NA","117421","117925","114221","44961","117421","NA","Sternberg Task","8","10354.0","12","1024"
