acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_PracticeLoop,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_keyboard_response,count_logger,count_memorySet,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_PracticeLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_PracticeLoop,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_keyboard_response,time_logger,time_memorySet,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1472,1472,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fri Oct 25 19:54:30 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,0,0,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.2/CB-subject-4.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,1472,30858,NA,1472,NA,2,legacy,6,1024,2,48000,-16,experiment,4,even,4,36954,34562,NA,34717,3632,NA,34729,NA,3686,NA,38968,40441,35741,38968,NA,Sternberg Task,1,1472,1,yes,1024
100,100,1612.5,1612.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,Fri Oct 25 19:54:30 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,1,1,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.2/CB-subject-4.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,1753,30858,NA,1753,NA,2,legacy,2,1024,2,48000,-16,experiment,4,even,4,43968,34562,40584,41725,3632,NA,41736,NA,3686,NA,45981,47735,42751,45981,NA,Sternberg Task,2,3225,2,yes,1024
66.66666667,66.66666667,1741.666667,1741.666667,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,2,0,2,2,0,0,2,2,0,0,2,2,2,2,0,Fri Oct 25 19:54:30 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,2,2,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.2/CB-subject-4.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,None,right,NA,None,NA,2000,30858,NA,2000,NA,2,legacy,1,1024,2,48000,-16,experiment,4,even,3,51156,34562,47756,48916,3632,NA,48928,NA,3686,NA,53172,55172,49944,53172,NA,Sternberg Task,2,5225,3,yes,1024
50,50,1806.25,1806.25,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,3,0,3,3,0,0,3,3,0,0,3,3,3,3,0,Fri Oct 25 19:54:30 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,3,3,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.2/CB-subject-4.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,None,right,NA,None,NA,2000,30858,NA,2000,NA,2,legacy,3,1024,2,48000,-16,experiment,4,even,4,58577,34562,47756,56336,3632,NA,56349,55188,3686,NA,60592,62592,57364,60591,NA,Sternberg Task,2,7225,4,yes,1024
40,40,1845,1845,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,4,0,4,4,0,0,4,4,0,0,4,4,4,4,0,Fri Oct 25 19:54:30 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,4,4,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.2/CB-subject-4.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,None,right,NA,None,NA,2000,30858,NA,2000,NA,2,legacy,5,1024,2,48000,-16,experiment,4,even,8,65997,34562,47756,63758,3632,NA,63770,62611,3686,NA,68010,70010,64786,68010,NA,Sternberg Task,2,9225,5,yes,1024
33.33333333,33.33333333,1870.833333,1870.833333,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,5,0,5,5,0,0,5,5,0,0,5,5,5,5,0,Fri Oct 25 19:54:30 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,5,5,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.2/CB-subject-4.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,None,right,NA,None,NA,2000,30858,NA,2000,NA,2,legacy,4,1024,2,48000,-16,experiment,4,even,5,73425,34562,47756,71180,3632,NA,71192,70029,3686,NA,75438,77438,72211,75438,NA,Sternberg Task,2,11225,6,yes,1024
28.57142857,28.57142857,1889.285714,1889.285714,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,6,0,6,6,0,0,6,6,0,0,6,6,6,6,0,Fri Oct 25 19:54:30 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,6,6,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.2/CB-subject-4.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,None,right,NA,None,NA,2000,30858,NA,2000,NA,2,legacy,1,1024,2,48000,-16,experiment,4,even,6,80839,34562,47756,78598,3632,NA,78614,77457,3686,NA,82852,84852,79625,82852,NA,Sternberg Task,2,13225,7,yes,1024
25,25,1774.375,1774.375,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,7,0,7,7,0,0,7,7,0,0,7,7,7,7,0,Fri Oct 25 19:54:30 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,7,7,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.2/CB-subject-4.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,left,right,NA,left,NA,970,30858,NA,970,NA,2,legacy,2,1024,2,48000,-16,experiment,4,even,5,88257,34562,47756,86016,3632,NA,86029,84869,3686,NA,90272,91244,87045,90272,NA,Sternberg Task,2,14195,8,yes,1024
33.33333333,33.33333333,1701.333333,1701.333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,8,0,8,8,0,0,8,8,0,0,8,8,8,8,0,Fri Oct 25 19:54:30 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,8,8,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.2/CB-subject-4.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,1117,30858,NA,1117,NA,2,legacy,5,1024,2,48000,-16,experiment,4,even,3,94653,34562,47756,92411,3632,NA,92424,91263,3686,NA,96666,97784,93440,96666,NA,Sternberg Task,3,15312,9,yes,1024
40,40,1615.1,1615.1,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,9,0,9,9,0,0,9,9,0,0,9,9,9,9,0,Fri Oct 25 19:54:30 2019,The main experiment item,yes,SternbergTask.osexp,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.1,no,mono,no,18,no,white,no,no,768,legacy,9,9,/Users/cristianbotello/Desktop/Advanced Quant/Lab 3.2/CB-subject-4.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,839,30858,NA,839,NA,2,legacy,4,1024,2,48000,-16,experiment,4,even,6,101206,34562,97802,98960,3632,NA,98975,91263,3686,NA,103219,104059,99988,103219,NA,Sternberg Task,4,16151,10,yes,1024
