"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response_1","correct_response","count_ISI_1","count_PracticeLoop","count_correctFeedback_1","count_expSequence_1","count_experiment","count_experimentLoop","count_fixation_1","count_incorrectFeedback_1","count_instruction1","count_instruction2","count_keyboard_response_1","count_logger_1","count_memorySet_1","count_probe_1","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","psychopy_waitblanking","repeat_cycle","response","response_instruction1","response_instruction2","response_keyboard_response_1","response_thankYou","response_time","response_time_instruction1","response_time_instruction2","response_time_keyboard_response_1","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI_1","time_PracticeLoop","time_correctFeedback_1","time_expSequence_1","time_experiment","time_experimentLoop","time_fixation_1","time_incorrectFeedback_1","time_instruction1","time_instruction2","time_keyboard_response_1","time_logger_1","time_memorySet_1","time_probe_1","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","501","501","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Thu Oct 13 22:33:42 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1/AP-subject-1.csv","legacy","6","Lentiform Loewenfeld","3.3.12","1","y","yes","0","left","left","NA","left","NA","501","18023","NA","501","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","24902","21892","NA","22697","3806","NA","22699","NA","3868","NA","26903","27405","23700","26903","NA","Sternberg Task","1","501","1","yes","1024"
"100","100","812.5","812.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","1","0","1","1","0","0","1","1","0","0","1","1","1","1","0","Thu Oct 13 22:33:42 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1/AP-subject-1.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.12","0","n","yes","0","right","left","NA","right","NA","1124","18023","NA","1124","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","30800","21892","27476","28595","3806","NA","28598","NA","3868","NA","32803","33928","29599","32803","NA","Sternberg Task","2","1625","2","yes","1024"
"100","100","1008.6666666666666","1008.6666666666666","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","0","2","2","0","0","2","2","0","0","2","2","2","2","0","Thu Oct 13 22:33:42 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1/AP-subject-1.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.12","0","n","yes","0","right","left","NA","right","NA","1401","18023","NA","1401","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","37267","21892","33934","35062","3806","NA","35065","NA","3868","NA","39269","40671","36066","39269","NA","Sternberg Task","3","3026","3","yes","1024"
"100","100","1133","1133","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","3","0","3","3","0","0","3","3","0","0","3","3","3","3","0","Thu Oct 13 22:33:42 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1/AP-subject-1.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.12","4","y","yes","0","left","left","NA","left","NA","1506","18023","NA","1506","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","44009","21892","40678","41804","3806","NA","41806","NA","3868","NA","46012","47518","42808","46011","NA","Sternberg Task","4","4532","4","yes","1024"
"100","100","1089.4","1089.4","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","0","4","4","0","0","4","4","0","0","4","4","4","4","0","Thu Oct 13 22:33:42 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1/AP-subject-1.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.12","0","n","yes","0","right","left","NA","right","NA","915","18023","NA","915","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","50899","21892","47527","48692","3806","NA","48695","NA","3868","NA","52904","53820","49697","52903","NA","Sternberg Task","5","5447","5","yes","1024"
"83.33333333333333","83.33333333333333","1241.1666666666667","1241.1666666666667","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","Thu Oct 13 22:33:42 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1/AP-subject-1.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.12","2","y","yes","0","None","left","NA","None","NA","2000","18023","NA","2000","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","57144","21892","53826","54939","3806","NA","54942","NA","3868","NA","59145","61145","55943","59145","NA","Sternberg Task","5","7447","6","yes","1024"
"85.71428571428571","85.71428571428571","1143.2857142857142","1143.2857142857142","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","0","6","6","0","0","6","6","0","0","6","6","6","6","0","Thu Oct 13 22:33:42 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1/AP-subject-1.csv","legacy","2 1","Lentiform Loewenfeld","3.3.12","0","n","yes","0","right","left","NA","right","NA","556","18023","NA","556","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","64471","21892","53826","62265","3806","NA","62268","61150","3868","NA","66472","67028","63269","66472","NA","Sternberg Task","6","8003","7","yes","1024"
"75","75","1250.375","1250.375","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","7","0","7","7","0","0","7","7","0","0","7","7","7","7","0","Thu Oct 13 22:33:42 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1/AP-subject-1.csv","legacy","5","Lentiform Loewenfeld","3.3.12","0","n","yes","0","None","left","NA","None","NA","2000","18023","NA","2000","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","70355","21892","67035","68150","3806","NA","68152","61150","3868","NA","72357","74357","69153","72357","NA","Sternberg Task","6","10003","8","yes","1024"
"77.77777777777777","77.77777777777777","1211.3333333333333","1211.3333333333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","0","8","8","0","0","8","8","0","0","8","8","8","8","0","Thu Oct 13 22:33:42 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1/AP-subject-1.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.12","3","y","yes","0","left","left","NA","left","NA","899","18023","NA","899","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","77692","21892","67035","75489","3806","NA","75490","74363","3868","NA","79694","80594","76491","79694","NA","Sternberg Task","7","10902","9","yes","1024"
"80","80","1153.5","1153.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","0","9","9","0","0","9","9","0","0","9","9","9","9","0","Thu Oct 13 22:33:42 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1/AP-subject-1.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.12","1","y","yes","0","left","left","NA","left","NA","633","18023","NA","633","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","83938","21892","80600","81733","3806","NA","81736","74363","3868","NA","85939","86573","82737","85939","NA","Sternberg Task","8","11535","10","yes","1024"
