"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_IncorrectFeedback","count_PracticeLoop","count_correctFeedback","count_expSequence","count_experiment","count_experimentloop","count_fixation","count_instructions1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_probe","count_thankyou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","psychopy_waitblanking","repeat_cycle","response","response_instructions1","response_instructions2","response_keyboard_response","response_thankyou","response_time","response_time_instructions1","response_time_instructions2","response_time_keyboard_response","response_time_thankyou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_IncorrectFeedback","time_PracticeLoop","time_correctFeedback","time_expSequence","time_experiment","time_experimentloop","time_fixation","time_instructions1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_probe","time_thankyou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","666","666","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mon Oct 12 12:55:14 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Owner/SMPsubject-2.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","NA","right","NA","666","1546","NA","666","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","7844","NA","4467","NA","5634","2917","NA","5636","2920","NA","9849","10516","6640","9849","NA","Sternberg Task ","1","666","1","yes","1024"
"100","100","568.5","568.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","0","1","1","0","0","1","0","0","1","1","1","1","0","Mon Oct 12 12:55:14 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Owner/SMPsubject-2.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","yes","0","left","right","NA","left","NA","471","1546","NA","471","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","4","13871","NA","4467","10545","11661","2917","NA","11662","2920","NA","15875","16347","12666","15875","NA","Sternberg Task ","2","1137","2","yes","1024"
"100","100","631.3333333333334","631.3333333333334","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","0","2","2","0","0","2","0","0","2","2","2","2","0","Mon Oct 12 12:55:14 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Owner/SMPsubject-2.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","NA","right","NA","757","1546","NA","757","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","19658","NA","4467","16350","17448","2917","NA","17450","2920","NA","21662","22421","18454","21662","NA","Sternberg Task ","3","1894","3","yes","1024"
"100","100","642","642","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","0","3","3","0","0","3","0","0","3","3","3","3","0","Mon Oct 12 12:55:14 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Owner/SMPsubject-2.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","NA","right","NA","674","1546","NA","674","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","2","25695","NA","4467","22424","23485","2917","NA","23487","2920","NA","27696","28372","24491","27696","NA","Sternberg Task ","4","2568","4","yes","1024"
"100","100","665.4","665.4","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","0","4","4","0","0","4","0","0","4","4","4","4","0","Mon Oct 12 12:55:14 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Owner/SMPsubject-2.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","NA","right","NA","759","1546","NA","759","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","3","31662","NA","4467","28375","29455","2917","NA","29456","2920","NA","33667","34427","30459","33667","NA","Sternberg Task ","5","3327","5","yes","1024"
"100","100","683","683","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","5","0","5","5","0","0","5","0","0","5","5","5","5","0","Mon Oct 12 12:55:14 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Owner/SMPsubject-2.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","yes","0","left","right","NA","left","NA","771","1546","NA","771","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","8","37697","NA","4467","34431","35493","2917","NA","35494","2920","NA","39701","40473","36495","39701","NA","Sternberg Task ","6","4098","6","yes","1024"
"100","100","697","697","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","0","6","6","0","0","6","0","0","6","6","6","6","0","Mon Oct 12 12:55:14 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Owner/SMPsubject-2.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","NA","right","NA","781","1546","NA","781","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","43747","NA","4467","40476","41540","2917","NA","41541","2920","NA","45748","46532","42542","45748","NA","Sternberg Task ","7","4879","7","yes","1024"
"100","100","669.375","669.375","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","0","7","7","0","0","7","0","0","7","7","7","7","0","Mon Oct 12 12:55:14 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Owner/SMPsubject-2.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","yes","0","left","right","NA","left","NA","476","1546","NA","476","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","6","49806","NA","4467","46536","47599","2917","NA","47601","2920","NA","51810","52287","48602","51810","NA","Sternberg Task ","8","5355","8","yes","1024"
"100","100","703.6666666666666","703.6666666666666","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","8","0","8","8","0","0","8","0","0","8","8","8","8","0","Mon Oct 12 12:55:14 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Owner/SMPsubject-2.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","yes","0","left","right","NA","left","NA","978","1546","NA","978","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","4","55606","NA","4467","52290","53399","2917","NA","53400","2920","NA","57607","58586","54404","57607","NA","Sternberg Task ","9","6333","9","yes","1024"
"100","100","694.5","694.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","9","0","9","9","0","0","9","0","0","9","9","9","9","0","Mon Oct 12 12:55:14 2020","The main experiment item","yes","SternbergTask.osexp","C:\Users\Owner","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Owner/SMPsubject-2.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","yes","0","left","right","NA","left","NA","612","1546","NA","612","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","4","61950","NA","4467","58597","59740","2917","NA","59742","2920","NA","63954","64567","60746","63954","NA","Sternberg Task ","10","6945","10","yes","1024"
