"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_memorySet","count_new_logger","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_memorySet","time_new_logger","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","793","793","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/23/21 17:58:37","The main experiment item","yes","SternbergExperiment.osexp","C:\Users\katie\Documents\School\Quant Methods\Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/katie/Documents/School/Quant Methods/Lab 3/KH-subject-4.csv","legacy","2 1","Lentiform Loewenfeld","3.3.9","0","n","0","right","right","NA","right","NA","793","103392","NA","793","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","108722","NA","106513","2214","NA","106516","NA","2226","NA","110728","107519","111521","105620","110727","NA","Sternberg task","1","793","1","yes","1024"
"50","50","774","774","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","10/23/21 17:58:37","The main experiment item","yes","SternbergExperiment.osexp","C:\Users\katie\Documents\School\Quant Methods\Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/katie/Documents/School/Quant Methods/Lab 3/KH-subject-4.csv","legacy","4 8","Lentiform Loewenfeld","3.3.9","1","y","0","right","right","NA","right","NA","755","103392","NA","755","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","114872","111579","112664","2214","NA","112667","NA","2226","NA","116876","113670","117631","105620","116875","NA","Sternberg task","1","1548","2","yes","1024"
"33.3333333333","33.3333333333","790.666666667","790.666666667","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","10/23/21 17:58:37","The main experiment item","yes","SternbergExperiment.osexp","C:\Users\katie\Documents\School\Quant Methods\Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/katie/Documents/School/Quant Methods/Lab 3/KH-subject-4.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.9","0","n","0","left","right","NA","left","NA","824","103392","NA","824","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","120928","111579","118722","2214","NA","118724","117644","2226","NA","122930","119725","123755","105620","122930","NA","Sternberg task","1","2372","3","yes","1024"
"25","25","767","767","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","10/23/21 17:58:37","The main experiment item","yes","SternbergExperiment.osexp","C:\Users\katie\Documents\School\Quant Methods\Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/katie/Documents/School/Quant Methods/Lab 3/KH-subject-4.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.9","2","y","0","right","right","NA","right","NA","696","103392","NA","696","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","127059","111579","124851","2214","NA","124853","123760","2226","NA","129063","125856","129759","105620","129062","NA","Sternberg task","1","3068","4","yes","1024"
"40","40","936.8","936.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","10/23/21 17:58:37","The main experiment item","yes","SternbergExperiment.osexp","C:\Users\katie\Documents\School\Quant Methods\Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/katie/Documents/School/Quant Methods/Lab 3/KH-subject-4.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.9","3","y","0","left","right","NA","left","NA","1616","103392","NA","1616","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","133062","111579","130855","2214","NA","130857","129772","2226","NA","135065","131859","136682","105620","135065","NA","Sternberg task","2","4684","5","yes","1024"
"33.3333333333","33.3333333333","880.5","880.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","10/23/21 17:58:37","The main experiment item","yes","SternbergExperiment.osexp","C:\Users\katie\Documents\School\Quant Methods\Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/katie/Documents/School/Quant Methods/Lab 3/KH-subject-4.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.9","0","n","0","left","right","NA","left","NA","599","103392","NA","599","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","140002","136694","137793","2214","NA","137796","129772","2226","NA","142006","138799","142606","105620","142006","NA","Sternberg task","2","5283","6","yes","1024"
"42.8571428571","42.8571428571","845.428571429","845.428571429","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","10/23/21 17:58:37","The main experiment item","yes","SternbergExperiment.osexp","C:\Users\katie\Documents\School\Quant Methods\Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/katie/Documents/School/Quant Methods/Lab 3/KH-subject-4.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.9","0","n","0","right","right","NA","right","NA","635","103392","NA","635","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","145919","136694","143710","2214","NA","143712","142618","2226","NA","147923","144716","148558","105620","147922","NA","Sternberg task","3","5918","7","yes","1024"
"50","50","872.125","872.125","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","10/23/21 17:58:37","The main experiment item","yes","SternbergExperiment.osexp","C:\Users\katie\Documents\School\Quant Methods\Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/katie/Documents/School/Quant Methods/Lab 3/KH-subject-4.csv","legacy","5","Lentiform Loewenfeld","3.3.9","0","n","0","right","right","NA","right","NA","1059","103392","NA","1059","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","151872","148572","149664","2214","NA","149667","142618","2226","NA","153875","150670","154934","105620","153875","NA","Sternberg task","4","6977","8","yes","1024"
"44.4444444444","44.4444444444","865.555555556","865.555555556","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","10/23/21 17:58:37","The main experiment item","yes","SternbergExperiment.osexp","C:\Users\katie\Documents\School\Quant Methods\Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/katie/Documents/School/Quant Methods/Lab 3/KH-subject-4.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.9","0","n","0","left","right","NA","left","NA","813","103392","NA","813","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","158221","154945","156014","2214","NA","156015","142618","2226","NA","160224","157018","161038","105620","160223","NA","Sternberg task","4","7790","9","yes","1024"
"50","50","911.4","911.4","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","10/23/21 17:58:37","The main experiment item","yes","SternbergExperiment.osexp","C:\Users\katie\Documents\School\Quant Methods\Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/katie/Documents/School/Quant Methods/Lab 3/KH-subject-4.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.9","4","y","0","left","right","NA","left","NA","1324","103392","NA","1324","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","164331","154945","162127","2214","NA","162129","161042","2226","NA","166335","163130","167659","105620","166334","NA","Sternberg task","5","9114","10","yes","1024"
