acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_iSi,count_incorrectFeedback,count_instruction1,count_instructions2,count_keyboard_response,count_logger,count_memorySet,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_iSi,time_incorrectFeedback,time_instruction1,time_instructions2,time_keyboard_response,time_logger,time_memorySet,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1071,1071,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/rayra/Documents/subject-1.csv,legacy,5 7 8 4 1 2,Lentiform Loewenfeld,3.3.9,0,n,0,right,left,NA,right,NA,1071,38208,NA,1071,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,6,NA,42719,3549,NA,42722,44928,NA,3554,NA,46932,48003,43724,41763,46931,NA,Sternberg task,1,1071,1,yes,1024
100,100,955.5,955.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/rayra/Documents/subject-1.csv,legacy,3 1 9 4,Lentiform Loewenfeld,3.3.9,0,n,0,right,left,NA,right,NA,840,38208,NA,840,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,6,48080,49304,3549,NA,49306,51514,NA,3554,NA,53518,54359,50310,41763,53517,NA,Sternberg task,2,1911,2,yes,1024
100,100,791.3333333,791.3333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,2,2,0,0,2,2,2,0,0,2,2,2,0,2,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/rayra/Documents/subject-1.csv,legacy,1 5 2 9,Lentiform Loewenfeld,3.3.9,2,y,0,left,left,NA,left,NA,463,38208,NA,463,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,5,54381,55673,3549,NA,55676,57885,NA,3554,NA,59891,60355,56681,41763,59890,NA,Sternberg task,3,2374,3,yes,1024
100,100,845.75,845.75,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,3,3,0,0,3,3,3,0,0,3,3,3,0,3,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/rayra/Documents/subject-1.csv,legacy,2 9 4,Lentiform Loewenfeld,3.3.9,3,y,0,left,left,NA,left,NA,1009,38208,NA,1009,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,4,60369,61637,3549,NA,61639,63845,NA,3554,NA,65851,66861,62641,41763,65850,NA,Sternberg task,4,3383,4,yes,1024
80,80,883.4,883.4,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,4,4,0,0,4,4,4,0,0,4,4,4,0,4,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/rayra/Documents/subject-1.csv,legacy,1 7 9 8 5,Lentiform Loewenfeld,3.3.9,4,y,0,right,left,NA,right,NA,1034,38208,NA,1034,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,8,66868,68088,3549,NA,68090,70299,NA,3554,NA,72303,73338,69093,41763,72303,NA,Sternberg task,4,4417,5,yes,1024
83.33333333,83.33333333,889.8333333,889.8333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,5,5,0,0,5,5,5,0,0,5,5,5,0,5,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/rayra/Documents/subject-1.csv,legacy,2 1,Lentiform Loewenfeld,3.3.9,0,n,0,right,left,NA,right,NA,922,38208,NA,922,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,5,66868,74568,3549,NA,74571,76781,73345,3554,NA,78786,79708,75576,41763,78785,NA,Sternberg task,5,5339,6,yes,1024
85.71428571,85.71428571,861.1428571,861.1428571,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,6,6,0,0,6,6,6,0,0,6,6,6,0,6,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/rayra/Documents/subject-1.csv,legacy,4 8,Lentiform Loewenfeld,3.3.9,1,y,0,left,left,NA,left,NA,689,38208,NA,689,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,4,79731,80961,3549,NA,80962,83171,73345,3554,NA,85175,85865,81966,41763,85174,NA,Sternberg task,6,6028,7,yes,1024
87.5,87.5,871,871,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,7,7,0,0,7,7,7,0,0,7,7,7,0,7,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/rayra/Documents/subject-1.csv,legacy,9 6 7 4 5,Lentiform Loewenfeld,3.3.9,0,n,0,right,left,NA,right,NA,940,38208,NA,940,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,3,85874,87140,3549,NA,87142,89352,73345,3554,NA,91357,92298,88146,41763,91357,NA,Sternberg task,7,6968,8,yes,1024
88.88888889,88.88888889,904.8888889,904.8888889,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,8,8,0,0,8,8,8,0,0,8,8,8,0,8,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/rayra/Documents/subject-1.csv,legacy,4 3 1 7 9 8,Lentiform Loewenfeld,3.3.9,1,y,0,left,left,NA,left,NA,1176,38208,NA,1176,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,4,92305,93520,3549,NA,93522,95730,73345,3554,NA,97735,98911,94526,41763,97735,NA,Sternberg task,8,8144,9,yes,1024
90,90,886.3,886.3,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,9,9,0,0,9,9,9,0,0,9,9,9,0,9,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/rayra/Documents/subject-1.csv,legacy,4 1 5,Lentiform Loewenfeld,3.3.9,0,n,0,right,left,NA,right,NA,719,38208,NA,719,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,2,98918,100182,3549,NA,100186,102393,73345,3554,NA,104398,105117,101190,41763,104398,NA,Sternberg task,9,8863,10,yes,1024
