"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_PracticeLoop","count_correctFeedback","count_exSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_PracticeLoop","time_correctFeedback","time_exSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","width"
"0","0","987","987","black","practice","legacy","legacy","legacy","0","undefined","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mon Oct 16 19:33:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","0","0","/Users/baileymcwhirter/BMsubject-3.csv","legacy","4 8","Melodramatic Milgram","4.0.5","1","y","0","right","right","NA","right","NA","987.0","27833","NA","987","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","4","31326","28971","NA","29110","1070","NA","29114","NA","1122","NA","33330","34322","30119","33329","NA","Sternberg Task","0","987.0","1","1024"
"50","50","833","833","black","practice","legacy","legacy","legacy","1","undefined","1","left","1","0","1","1","0","0","1","1","0","0","1","1","1","1","0","Mon Oct 16 19:33:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","1","1","/Users/baileymcwhirter/BMsubject-3.csv","legacy","4 3 1 7 9 8","Melodramatic Milgram","4.0.5","1","y","0","left","right","NA","left","NA","680.0","27833","NA","680","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","37605","28971","NA","35391","1070","NA","35393","34347","1122","NA","39608","40289","36399","39608","NA","Sternberg Task","1","1667.0","2","1024"
"66","66","747","747","black","practice","legacy","legacy","legacy","1","undefined","1","left","2","0","2","2","0","0","2","2","0","0","2","2","2","2","0","Mon Oct 16 19:33:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","2","2","/Users/baileymcwhirter/BMsubject-3.csv","legacy","1 7 9 8 5","Melodramatic Milgram","4.0.5","4","y","0","left","right","NA","left","NA","575.0","27833","NA","575","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","43557","28971","40292","41343","1070","NA","41346","34347","1122","NA","45560","46136","42351","45560","NA","Sternberg Task","2","2242.0","3","1024"
"75","75","691","691","black","practice","legacy","legacy","legacy","1","undefined","1","right","3","0","3","3","0","0","3","3","0","0","3","3","3","3","0","Mon Oct 16 19:33:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","3","3","/Users/baileymcwhirter/BMsubject-3.csv","legacy","3 1 9 4","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","523.0","27833","NA","523","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","49394","28971","46139","47180","1070","NA","47183","34347","1122","NA","51396","51920","48187","51396","NA","Sternberg Task","3","2765.0","4","1024"
"80","80","653","653","black","practice","legacy","legacy","legacy","1","undefined","1","right","4","0","4","4","0","0","4","4","0","0","4","4","4","4","0","Mon Oct 16 19:33:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","4","4","/Users/baileymcwhirter/BMsubject-3.csv","legacy","5","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","503.0","27833","NA","503","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","55175","28971","51923","52964","1070","NA","52966","34347","1122","NA","57177","57681","53969","57177","NA","Sternberg Task","4","3268.0","5","1024"
"83","83","613","613","black","practice","legacy","legacy","legacy","1","undefined","1","left","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","Mon Oct 16 19:33:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","5","5","/Users/baileymcwhirter/BMsubject-3.csv","legacy","6","Melodramatic Milgram","4.0.5","1","y","0","left","right","NA","left","NA","411.0","27833","NA","411","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","60928","28971","57684","58715","1070","NA","58718","34347","1122","NA","62931","63342","59722","62931","NA","Sternberg Task","5","3679.0","6","1024"
"85","85","593","593","black","practice","legacy","legacy","legacy","1","undefined","1","right","6","0","6","6","0","0","6","6","0","0","6","6","6","6","0","Mon Oct 16 19:33:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","6","6","/Users/baileymcwhirter/BMsubject-3.csv","legacy","4 1 5","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","478.0","27833","NA","478","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","2","66589","28971","63345","64378","1070","NA","64381","34347","1122","NA","68591","69069","65384","68591","NA","Sternberg Task","6","4157.0","7","1024"
"87","87","603","603","black","practice","legacy","legacy","legacy","1","undefined","1","right","7","0","7","7","0","0","7","7","0","0","7","7","7","7","0","Mon Oct 16 19:33:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","7","7","/Users/baileymcwhirter/BMsubject-3.csv","legacy","5 7 8 4 1 2","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","672.0","27833","NA","672","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","72317","28971","69072","70107","1070","NA","70109","34347","1122","NA","74319","74991","71112","74319","NA","Sternberg Task","7","4829.0","8","1024"
"88","88","591","591","black","practice","legacy","legacy","legacy","1","undefined","1","right","8","0","8","8","0","0","8","8","0","0","8","8","8","8","0","Mon Oct 16 19:33:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","8","8","/Users/baileymcwhirter/BMsubject-3.csv","legacy","2 1","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","493.0","27833","NA","493","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","5","78247","28971","74995","76033","1070","NA","76036","34347","1122","NA","80250","80744","77042","80250","NA","Sternberg Task","8","5322.0","9","1024"
"90","90","593","593","black","practice","legacy","legacy","legacy","1","undefined","1","right","9","0","9","9","0","0","9","9","0","0","9","9","9","9","0","Mon Oct 16 19:33:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","9","9","/Users/baileymcwhirter/BMsubject-3.csv","legacy","9 6 7 4 5","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","617.0","27833","NA","617","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","84006","28971","80747","81791","1070","NA","81793","34347","1122","NA","86010","86627","82799","86010","NA","Sternberg Task","9","5939.0","10","1024"
