acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instruction1,correct_keyboard_response,correct_response,count_ISI,count_Instruction1,count_Instructions2,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_keyboard_response,count_logger,count_memorySet,count_practiceloop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceloop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Instruction1,response_Instructions2,response_keyboard_response,response_thankYou,response_time,response_time_Instruction1,response_time_Instructions2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_Instruction1,time_Instructions2,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_keyboard_response,time_logger,time_memorySet,time_practiceloop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,710,710,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Oct 20 21:00:39 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,no,768,legacy,0,0,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-1.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,710,9273,NA,710,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,3,14268,2498,NA,NA,11955,2377,NA,11992,NA,16306,17018,13032,11780,16306,NA,Sternberg Task,1,710,1,yes,1024
100,100,749,749,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,Sun Oct 20 21:00:39 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,no,768,legacy,1,1,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-1.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,788,9273,NA,788,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,6,20704,2498,NA,17238,18390,2377,NA,18431,NA,22738,23528,19469,11780,22738,NA,Sternberg Task,2,1498,2,yes,1024
100,100,781.3333333,781.3333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,2,0,0,2,2,0,0,2,2,2,2,2,0,2,0,Sun Oct 20 21:00:39 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,no,768,legacy,2,2,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-1.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,846,9273,NA,846,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,6,26984,2498,NA,23565,24682,2377,NA,24715,NA,29019,29867,25749,11780,29019,NA,Sternberg Task,3,2344,3,yes,1024
100,100,762.5,762.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,3,0,0,3,3,0,0,3,3,3,3,3,0,3,0,Sun Oct 20 21:00:39 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,no,768,legacy,3,3,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-1.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,706,9273,NA,706,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,4,33371,2498,NA,29909,31058,2377,NA,31096,NA,35407,36115,32134,11780,35406,NA,Sternberg Task,4,3050,4,yes,1024
100,100,775.6,775.6,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,4,0,0,4,4,0,0,4,4,4,4,4,0,4,0,Sun Oct 20 21:00:39 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,no,768,legacy,4,4,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-1.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,828,9273,NA,828,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,2,39578,2498,NA,36155,37274,2377,NA,37308,NA,41612,42442,38343,11780,41612,NA,Sternberg Task,5,3878,5,yes,1024
100,100,746.8333333,746.8333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,5,0,0,5,5,0,0,5,5,5,5,5,0,5,0,Sun Oct 20 21:00:39 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,no,768,legacy,5,5,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-1.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,603,9273,NA,603,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,3,45960,2498,NA,42485,43655,2377,NA,43690,NA,47994,48599,44724,11780,47994,NA,Sternberg Task,6,4481,6,yes,1024
85.71428571,85.71428571,755.2857143,755.2857143,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,6,0,0,6,6,0,0,6,6,6,6,6,0,6,0,Sun Oct 20 21:00:39 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,no,768,legacy,6,6,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-1.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,right,left,NA,right,NA,806,9273,NA,806,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,4,52107,2498,NA,48642,49762,2377,NA,49796,NA,54141,54948,50830,11780,54141,NA,Sternberg Task,6,5287,7,yes,1024
87.5,87.5,749.125,749.125,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,7,0,0,7,7,0,0,7,7,7,7,7,0,7,0,Sun Oct 20 21:00:39 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,no,768,legacy,7,7,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-1.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,left,NA,left,NA,706,9273,NA,706,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,5,58448,2498,NA,48642,56142,2377,NA,56176,54987,60485,61192,57213,11780,60485,NA,Sternberg Task,7,5993,8,yes,1024
88.88888889,88.88888889,787.3333333,787.3333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,8,0,0,8,8,0,0,8,8,8,8,8,0,8,0,Sun Oct 20 21:00:39 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,no,768,legacy,8,8,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-1.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,1093,9273,NA,1093,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,6,64656,2498,NA,61231,62352,2377,NA,62385,54987,66690,67785,63420,11780,66690,NA,Sternberg Task,8,7086,9,yes,1024
90,90,785.2,785.2,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,9,0,0,9,9,0,0,9,9,9,9,9,0,9,0,Sun Oct 20 21:00:39 2019,The main experiment item,yes,SternnbergTask.osexp,/Users/kaylicolpitts/Desktop/adv quant/lab 3,no,mono,no,18,no,white,no,no,768,legacy,9,9,/Users/kaylicolpitts/Desktop/adv quant/lab 3/KC-subject-1.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,left,NA,left,NA,766,9273,NA,766,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,8,71346,2498,NA,67824,68983,2377,NA,69017,54987,73381,74149,70112,11780,73380,NA,Sternberg Task,9,7852,10,yes,1024
