acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,correct,correct_instruction1,correct_new_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_memorySet,count_new_keyboard_response,count_new_logger,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_new_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_new_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_memorySet,time_new_keyboard_response,time_new_logger,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,width
100,100,712,712,black,practice,legacy,legacy,legacy,1,undefined,1,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,0,0,/Users/test/Desktop/at-subject-2.csv,legacy,1 7 9 8 5,Melodramatic Milgram,4.0.5,4,y,0,left,right,NA,left,NA,712,19945,NA,712,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,8,31932,NA,29720,8105,NA,29727,NA,8225,NA,30730,33935,34648,28234,33935,NA,Sternberg Task,1,712,1,1024
100,100,815,815,black,practice,legacy,legacy,legacy,1,undefined,1,left,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,1,1,/Users/test/Desktop/at-subject-2.csv,legacy,4 8,Melodramatic Milgram,4.0.5,1,y,0,left,right,NA,left,NA,918,19945,NA,918,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,4,37954,34688,35743,8105,NA,35748,NA,8225,NA,36751,39957,40882,28234,39956,NA,Sternberg Task,2,1630,2,1024
100,100,770,770,black,practice,legacy,legacy,legacy,1,undefined,1,left,2,2,2,0,0,2,2,0,0,2,2,2,0,2,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,2,2,/Users/test/Desktop/at-subject-2.csv,legacy,2 9 4,Melodramatic Milgram,4.0.5,3,y,0,left,right,NA,left,NA,680,19945,NA,680,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,4,44161,40886,41953,8105,NA,41956,NA,8225,NA,42958,46165,46846,28234,46164,NA,Sternberg Task,3,2310,3,1024
100,100,761,761,black,practice,legacy,legacy,legacy,1,undefined,1,left,3,3,3,0,0,3,3,0,0,3,3,3,0,3,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,3,3,/Users/test/Desktop/at-subject-2.csv,legacy,6,Melodramatic Milgram,4.0.5,1,y,0,left,right,NA,left,NA,736,19945,NA,736,NA,2,legacy,1,1024,2,48000,-16,experiment,2,even,6,50144,46870,47933,8105,NA,47937,NA,8225,NA,48939,52147,52884,28234,52147,NA,Sternberg Task,4,3046,4,1024
100,100,756,756,black,practice,legacy,legacy,legacy,1,undefined,1,right,4,4,4,0,0,4,4,0,0,4,4,4,0,4,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,4,4,/Users/test/Desktop/at-subject-2.csv,legacy,3 1 9 4,Melodramatic Milgram,4.0.5,0,n,0,right,right,NA,right,NA,737,19945,NA,737,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,6,56191,52909,53981,8105,NA,53985,NA,8225,NA,54987,58194,58932,28234,58193,NA,Sternberg Task,5,3783,5,1024
100,100,752,752,black,practice,legacy,legacy,legacy,1,undefined,1,right,5,5,5,0,0,5,5,0,0,5,5,5,0,5,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,5,5,/Users/test/Desktop/at-subject-2.csv,legacy,4 1 5,Melodramatic Milgram,4.0.5,0,n,0,right,right,NA,right,NA,732,19945,NA,732,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,2,62204,58936,59995,8105,NA,59998,NA,8225,NA,61000,64207,64940,28234,64206,NA,Sternberg Task,6,4515,6,1024
100,100,754,754,black,practice,legacy,legacy,legacy,1,undefined,1,left,6,6,6,0,0,6,6,0,0,6,6,6,0,6,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,6,6,/Users/test/Desktop/at-subject-2.csv,legacy,1 5 2 9,Melodramatic Milgram,4.0.5,2,y,0,left,right,NA,left,NA,766,19945,NA,766,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,5,68251,64944,66031,8105,NA,66034,NA,8225,NA,67039,70254,71021,28234,70254,NA,Sternberg Task,7,5281,7,1024
100,100,796,796,black,practice,legacy,legacy,legacy,1,undefined,1,right,7,7,7,0,0,7,7,0,0,7,7,7,0,7,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,7,7,/Users/test/Desktop/at-subject-2.csv,legacy,5 7 8 4 1 2,Melodramatic Milgram,4.0.5,0,n,0,right,right,NA,right,NA,1093,19945,NA,1093,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,6,74273,71025,72063,8105,NA,72066,NA,8225,NA,73070,76276,77369,28234,76275,NA,Sternberg Task,8,6374,8,1024
100,100,856,856,black,practice,legacy,legacy,legacy,1,undefined,1,left,8,8,8,0,0,8,8,0,0,8,8,8,0,8,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,8,8,/Users/test/Desktop/at-subject-2.csv,legacy,4 3 1 7 9 8,Melodramatic Milgram,4.0.5,1,y,0,left,right,NA,left,NA,1337,19945,NA,1337,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,4,80626,77373,78418,8105,NA,78421,NA,8225,NA,79423,82629,83967,28234,82628,NA,Sternberg Task,9,7711,9,1024
100,100,825,825,black,practice,legacy,legacy,legacy,1,undefined,1,right,9,9,9,0,0,9,9,0,0,9,9,9,0,9,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,9,9,/Users/test/Desktop/at-subject-2.csv,legacy,5,Melodramatic Milgram,4.0.5,0,n,0,right,right,NA,right,NA,544,19945,NA,544,NA,2,legacy,1,1024,2,48000,-16,experiment,2,even,3,87232,83970,85023,8105,NA,85026,NA,8225,NA,86030,89237,89782,28234,89236,NA,Sternberg Task,10,8255,10,1024
100,100,800,800,black,practice,legacy,legacy,legacy,1,undefined,1,right,10,10,10,0,0,10,10,0,0,10,10,10,0,10,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,10,10,/Users/test/Desktop/at-subject-2.csv,legacy,2 1,Melodramatic Milgram,4.0.5,0,n,0,right,right,NA,right,NA,553,19945,NA,553,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,5,93047,89785,90838,8105,NA,90841,NA,8225,NA,91844,95049,95603,28234,95049,NA,Sternberg Task,11,8808,11,1024
100,100,821,821,black,practice,legacy,legacy,legacy,1,undefined,1,right,11,11,11,0,0,11,11,0,0,11,11,11,0,11,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,11,11,/Users/test/Desktop/at-subject-2.csv,legacy,9 6 7 4 5,Melodramatic Milgram,4.0.5,0,n,0,right,right,NA,right,NA,1053,19945,NA,1053,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,3,98866,95607,96656,8105,NA,96659,NA,8225,NA,97662,100869,101923,28234,100869,NA,Sternberg Task,12,9861,12,1024
100,100,807,807,black,experiment,legacy,legacy,legacy,1,undefined,1,right,12,12,12,0,0,12,12,0,0,12,12,12,0,12,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,0,11,/Users/test/Desktop/at-subject-2.csv,legacy,2 8 7 9 5 3,Melodramatic Milgram,4.0.5,0,n,0,right,right,right,right,NA,641,19945,5575,641,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,6,110791,101927,108578,8105,108507,108582,NA,8225,102932,109587,112794,113436,28234,112793,NA,Sternberg Task,13,10502,13,1024
100,100,829,829,black,experiment,legacy,legacy,legacy,1,undefined,1,left,13,13,13,0,0,13,13,0,0,13,13,13,0,13,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,1,11,/Users/test/Desktop/at-subject-2.csv,legacy,7 8 4 6 9 5,Melodramatic Milgram,4.0.5,4,y,0,left,right,right,left,NA,1109,19945,5575,1109,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,6,116688,113439,114479,8105,108507,114482,NA,8225,102932,115485,118691,119801,28234,118691,NA,Sternberg Task,14,11611,14,1024
100,100,824,824,black,experiment,legacy,legacy,legacy,1,undefined,1,right,14,14,14,0,0,14,14,0,0,14,14,14,0,14,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,2,11,/Users/test/Desktop/at-subject-2.csv,legacy,9,Melodramatic Milgram,4.0.5,0,n,0,right,right,right,right,NA,750,19945,5575,750,NA,2,legacy,1,1024,2,48000,-16,experiment,2,even,6,123060,119804,120850,8105,108507,120854,NA,8225,102932,121857,125063,125814,28234,125062,NA,Sternberg Task,15,12361,15,1024
100,100,817,817,black,experiment,legacy,legacy,legacy,1,undefined,1,right,15,15,15,0,0,15,15,0,0,15,15,15,0,15,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,3,11,/Users/test/Desktop/at-subject-2.csv,legacy,7 9 1 6,Melodramatic Milgram,4.0.5,0,n,0,right,right,right,right,NA,717,19945,5575,717,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,4,129129,125857,126920,8105,108507,126923,NA,8225,102932,127925,131132,131850,28234,131132,NA,Sternberg Task,16,13078,16,1024
100,100,823,823,black,experiment,legacy,legacy,legacy,1,undefined,1,right,16,16,16,0,0,16,16,0,0,16,16,16,0,16,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,4,11,/Users/test/Desktop/at-subject-2.csv,legacy,1 6 4,Melodramatic Milgram,4.0.5,0,n,0,right,right,right,right,NA,925,19945,5575,925,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,7,135149,131892,132940,8105,108507,132943,NA,8225,102932,133946,137152,138078,28234,137151,NA,Sternberg Task,17,14003,17,1024
100,100,819,819,black,experiment,legacy,legacy,legacy,1,undefined,1,left,17,17,17,0,0,17,17,0,0,17,17,17,0,17,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,5,11,/Users/test/Desktop/at-subject-2.csv,legacy,4 6 5 8,Melodramatic Milgram,4.0.5,1,y,0,left,right,right,left,NA,740,19945,5575,740,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,4,141334,138081,139125,8105,108507,139127,NA,8225,102932,140131,143337,144077,28234,143337,NA,Sternberg Task,18,14743,18,1024
100,100,830,830,black,experiment,legacy,legacy,legacy,1,undefined,1,right,18,18,18,0,0,18,18,0,0,18,18,18,0,18,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,6,11,/Users/test/Desktop/at-subject-2.csv,legacy,5 3 2 6 9 8,Melodramatic Milgram,4.0.5,0,n,0,right,right,right,right,NA,1038,19945,5575,1038,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,4,147339,144081,145130,8105,108507,145133,NA,8225,102932,146136,149344,150383,28234,149343,NA,Sternberg Task,19,15781,19,1024
100,100,821,821,black,experiment,legacy,legacy,legacy,1,undefined,1,right,19,19,19,0,0,19,19,0,0,19,19,19,0,19,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,7,11,/Users/test/Desktop/at-subject-2.csv,legacy,7 9,Melodramatic Milgram,4.0.5,0,n,0,right,right,right,right,NA,652,19945,5575,652,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,1,153669,150391,151460,8105,108507,151463,NA,8225,102932,152466,155677,156330,28234,155676,NA,Sternberg Task,20,16433,20,1024
100,100,843,843,black,experiment,legacy,legacy,legacy,1,undefined,1,left,20,20,20,0,0,20,20,0,0,20,20,20,0,20,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,8,11,/Users/test/Desktop/at-subject-2.csv,legacy,6 7 8 5,Melodramatic Milgram,4.0.5,3,y,0,left,right,right,left,NA,1274,19945,5575,1274,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,8,159597,156334,157387,8105,108507,157390,NA,8225,102932,158393,161601,162876,28234,161601,NA,Sternberg Task,21,17707,21,1024
100,100,832,832,black,experiment,legacy,legacy,legacy,1,undefined,1,left,21,21,21,0,0,21,21,0,0,21,21,21,0,21,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,9,11,/Users/test/Desktop/at-subject-2.csv,legacy,3 5 4 7,Melodramatic Milgram,4.0.5,1,y,0,left,right,right,left,NA,618,19945,5575,618,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,3,166160,162879,163952,8105,108507,163955,NA,8225,102932,164957,168164,168783,28234,168163,NA,Sternberg Task,22,18325,22,1024
100,100,820,820,black,experiment,legacy,legacy,legacy,1,undefined,1,right,22,22,22,0,0,22,22,0,0,22,22,22,0,22,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,10,11,/Users/test/Desktop/at-subject-2.csv,legacy,5 2,Melodramatic Milgram,4.0.5,0,n,0,right,right,right,right,NA,537,19945,5575,537,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,7,172036,168786,169825,8105,108507,169828,NA,8225,102932,170832,174038,174576,28234,174038,NA,Sternberg Task,23,18862,23,1024
100,100,836,836,black,experiment,legacy,legacy,legacy,1,undefined,1,right,23,23,23,0,0,23,23,0,0,23,23,23,0,23,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,11,11,/Users/test/Desktop/at-subject-2.csv,legacy,9 5 3 2 8 6,Melodramatic Milgram,4.0.5,0,n,0,right,right,right,right,NA,1223,19945,5575,1223,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,7,177833,174579,175624,8105,108507,175627,NA,8225,102932,176630,179836,181059,28234,179836,NA,Sternberg Task,24,20085,24,1024
100,100,843,843,black,experiment,legacy,legacy,legacy,1,undefined,1,left,24,24,24,0,0,24,24,0,0,24,24,24,0,24,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,12,11,/Users/test/Desktop/at-subject-2.csv,legacy,9 1 7 2,Melodramatic Milgram,4.0.5,2,y,0,left,right,right,left,NA,1008,19945,5575,1008,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,1,184320,181063,182111,8105,108507,182114,NA,8225,102932,183117,186323,187332,28234,186323,NA,Sternberg Task,25,21093,25,1024
100,100,839,839,black,experiment,legacy,legacy,legacy,1,undefined,1,right,25,25,25,0,0,25,25,0,0,25,25,25,0,25,0,Tue Oct 17 10:10:47 2023,The main experiment item,TRUE,SternbergTask.osexp,/Users/test/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,13,11,/Users/test/Desktop/at-subject-2.csv,legacy,8 6 3 4 7,Melodramatic Milgram,4.0.5,0,n,0,right,right,right,right,NA,732,19945,5575,732,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,1,190594,187337,188385,8105,108507,188388,NA,8225,102932,189391,192597,193330,28234,192597,NA,Sternberg Task,26,21825,26,1024
