"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1","correct_new_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_memorySet","count_new_keyboard_response","count_new_logger","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_new_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_new_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_memorySet","time_new_keyboard_response","time_new_logger","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","width"
"100","100","1531","1531","black","practice","legacy","legacy","legacy","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Wed Oct 18 09:21:28 2023","The main experiment item","True","SternbergTask.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","0","0","/Users/test/Desktop/AT-subject-4.csv","legacy","4 3 1 7 9 8","Melodramatic Milgram","4.0.5","1","y","0","left","right","NA","left","NA","1531.0","31509","NA","1531","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","4","41594","NA","39367","5670","NA","39383","NA","5848","NA","40391","43598","45129","37429","43598","NA","Sternberg Task","1","1531.0","1","1024"
"100","100","1331","1331","black","practice","legacy","legacy","legacy","1","undefined","1","right","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Wed Oct 18 09:21:28 2023","The main experiment item","True","SternbergTask.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","1","1","/Users/test/Desktop/AT-subject-4.csv","legacy","4 1 5","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","1132.0","31509","NA","1132","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","48428","45164","46216","5670","NA","46220","NA","5848","NA","47224","50437","51570","37429","50437","NA","Sternberg Task","2","2663.0","2","1024"
"100","100","1211","1211","black","practice","legacy","legacy","legacy","1","undefined","1","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Wed Oct 18 09:21:28 2023","The main experiment item","True","SternbergTask.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","2","2","/Users/test/Desktop/AT-subject-4.csv","legacy","5 7 8 4 1 2","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","971.0","31509","NA","971","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","54834","51573","52624","5670","NA","52627","NA","5848","NA","53630","56839","57811","37429","56839","NA","Sternberg Task","3","3634.0","3","1024"
"100","100","1115","1115","black","practice","legacy","legacy","legacy","1","undefined","1","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Wed Oct 18 09:21:28 2023","The main experiment item","True","SternbergTask.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","3","3","/Users/test/Desktop/AT-subject-4.csv","legacy","3 1 9 4","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","828.0","31509","NA","828","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","6","61090","57816","58881","5670","NA","58884","NA","5848","NA","59888","63094","63923","37429","63093","NA","Sternberg Task","4","4462.0","4","1024"
"80","80","1096","1096","black","practice","legacy","legacy","legacy","0","undefined","0","right","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Wed Oct 18 09:21:28 2023","The main experiment item","True","SternbergTask.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","4","4","/Users/test/Desktop/AT-subject-4.csv","legacy","9 6 7 4 5","Melodramatic Milgram","4.0.5","0","n","0","left","right","NA","left","NA","1021.0","31509","NA","1021","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","3","67199","63927","64990","5670","NA","64993","NA","5848","NA","65996","69202","70224","37429","69202","NA","Sternberg Task","4","5483.0","5","1024"
"66","66","1168","1168","black","practice","legacy","legacy","legacy","0","undefined","0","left","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Wed Oct 18 09:21:28 2023","The main experiment item","True","SternbergTask.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","5","5","/Users/test/Desktop/AT-subject-4.csv","legacy","6","Melodramatic Milgram","4.0.5","1","y","0","right","right","NA","right","NA","1527.0","31509","NA","1527","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","6","73504","63927","71295","5670","NA","71299","70228","5848","NA","72302","75509","77037","37429","75509","NA","Sternberg Task","4","7010.0","6","1024"
"71","71","1090","1090","black","practice","legacy","legacy","legacy","1","undefined","1","left","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Wed Oct 18 09:21:28 2023","The main experiment item","True","SternbergTask.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","6","6","/Users/test/Desktop/AT-subject-4.csv","legacy","4 8","Melodramatic Milgram","4.0.5","1","y","0","left","right","NA","left","NA","625.0","31509","NA","625","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","4","80308","63927","78098","5670","NA","78101","77041","5848","NA","79104","82311","82937","37429","82311","NA","Sternberg Task","5","7635.0","7","1024"
"62","62","1204","1204","black","practice","legacy","legacy","legacy","0","undefined","0","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Wed Oct 18 09:21:28 2023","The main experiment item","True","SternbergTask.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","7","7","/Users/test/Desktop/AT-subject-4.csv","legacy","5","Melodramatic Milgram","4.0.5","0","n","0","None","right","NA","None","NA","2000.0","31509","NA","2000","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","3","86198","82941","83989","5670","NA","83992","77041","5848","NA","84994","88200","90200","37429","88200","NA","Sternberg Task","5","9635.0","8","1024"
"55","55","1292","1292","black","practice","legacy","legacy","legacy","0","undefined","0","left","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Wed Oct 18 09:21:28 2023","The main experiment item","True","SternbergTask.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","8","8","/Users/test/Desktop/AT-subject-4.csv","legacy","2 9 4","Melodramatic Milgram","4.0.5","3","y","0","None","right","NA","None","NA","2000.0","31509","NA","2000","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","4","93467","82941","91256","5670","NA","91260","90203","5848","NA","92264","95470","97470","37429","95469","NA","Sternberg Task","5","11635.0","9","1024"
"50","50","1265","1265","black","practice","legacy","legacy","legacy","0","undefined","0","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Wed Oct 18 09:21:28 2023","The main experiment item","True","SternbergTask.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","9","9","/Users/test/Desktop/AT-subject-4.csv","legacy","1 7 9 8 5","Melodramatic Milgram","4.0.5","4","y","0","right","right","NA","right","NA","1017.0","31509","NA","1017","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","8","100736","82941","98527","5670","NA","98530","97473","5848","NA","99533","102739","103757","37429","102738","NA","Sternberg Task","5","12652.0","10","1024"
