"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_experiment","count_experimentalLoop","count_expsequence","count_fixation","count_incorrectFeedback","count_instruction1","count_instruction2","count_instruction3","count_keyboard_response","count_logger","count_memoryset","count_practiceloop","count_probe","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceloop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instruction2","response_instruction3","response_keyboard_response","response_time","response_time_instruction1","response_time_instruction2","response_time_instruction3","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_experiment","time_experimentalLoop","time_expsequence","time_fixation","time_incorrectFeedback","time_instruction1","time_instruction2","time_instruction3","time_keyboard_response","time_logger","time_memoryset","time_practiceloop","time_probe","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","687","687","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/15/22 17:05:43","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-1.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","NA","right","687","29376","NA","NA","687","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","34961","NA","2618","NA","32751","32755","NA","2621","NA","NA","36965","37653","33756","31998","36965","Sternberg Task","1","687","1","yes","1024"
"100","100","811","811","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","0","0","1","1","1","0","0","0","1","1","1","0","1","10/15/22 17:05:43","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-1.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.12","4","y","0","left","left","NA","NA","left","935","29376","NA","NA","935","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","40992","37694","2618","NA","38782","38784","NA","2621","NA","NA","42997","43932","39788","31998","42996","Sternberg Task","2","1622","2","yes","1024"
"100","100","1017.33333333","1017.33333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","2","0","0","2","2","2","0","0","0","2","2","2","0","2","10/15/22 17:05:43","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-1.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.12","2","y","0","left","left","NA","NA","left","1430","29376","NA","NA","1430","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","47210","43938","2618","NA","45000","45002","NA","2621","NA","NA","49213","50644","46006","31998","49213","Sternberg Task","3","3052","3","yes","1024"
"100","100","995.25","995.25","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","3","3","0","0","3","3","3","0","0","0","3","3","3","0","3","10/15/22 17:05:43","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-1.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.12","3","y","0","left","left","NA","NA","left","929","29376","NA","NA","929","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","53940","50650","2618","NA","51733","51734","NA","2621","NA","NA","55945","56875","52736","31998","55944","Sternberg Task","4","3981","4","yes","1024"
"100","100","919","919","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","0","0","4","4","4","0","0","0","4","4","4","0","4","10/15/22 17:05:43","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-1.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","NA","right","614","29376","NA","NA","614","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","60173","56881","2618","NA","57962","57964","NA","2621","NA","NA","62177","62791","58968","31998","62177","Sternberg Task","5","4595","5","yes","1024"
"100","100","1046.83333333","1046.83333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","0","0","5","5","5","0","0","0","5","5","5","0","5","10/15/22 17:05:43","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-1.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","NA","right","1686","29376","NA","NA","1686","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","66090","62798","2618","NA","63881","63882","NA","2621","NA","NA","68093","69780","64886","31998","68092","Sternberg Task","6","6281","6","yes","1024"
"100","100","1012.42857143","1012.42857143","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","0","0","6","6","6","0","0","0","6","6","6","0","6","10/15/22 17:05:43","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-1.csv","legacy","2 1","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","NA","right","806","29376","NA","NA","806","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","73067","69788","2618","NA","70858","70859","NA","2621","NA","NA","75070","75877","71863","31998","75070","Sternberg Task","7","7087","7","yes","1024"
"100","100","1125.625","1125.625","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","7","0","0","7","7","7","0","0","0","7","7","7","0","7","10/15/22 17:05:43","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-1.csv","legacy","5","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","NA","right","1918","29376","NA","NA","1918","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","79178","75883","2618","NA","76968","76969","NA","2621","NA","NA","81182","83100","77973","31998","81182","Sternberg Task","8","9005","8","yes","1024"
"100","100","1054.44444444","1054.44444444","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","8","0","0","8","8","8","0","0","0","8","8","8","0","8","10/15/22 17:05:43","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-1.csv","legacy","6","Lentiform Loewenfeld","3.3.12","1","y","0","left","left","NA","NA","left","485","29376","NA","NA","485","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","86399","83107","2618","NA","84189","84191","NA","2621","NA","NA","88404","88889","85195","31998","88404","Sternberg Task","9","9490","9","yes","1024"
"100","100","995.2","995.2","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","9","0","0","9","9","9","0","0","0","9","9","9","0","9","10/15/22 17:05:43","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-1.csv","legacy","4 8","Lentiform Loewenfeld","3.3.12","1","y","0","left","left","NA","NA","left","462","29376","NA","NA","462","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","92192","88896","2618","NA","89982","89984","NA","2621","NA","NA","94198","94660","90988","31998","94196","Sternberg Task","10","9952","10","yes","1024"
