"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_memorySet","count_new_logger","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_memorySet","time_new_logger","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","773","773","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","6","Kafkaesque Koffka","3.2.8","1","y","0","right","right","NA","right","NA","773","15800","NA","773","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","20469","NA","18261","1938","NA","18263","NA","1948","NA","22471","19266","23245","17749","22470","NA","Sternberg task","0","773","1","yes","1024"
"0","0","964.5","964.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","2 9 4","Kafkaesque Koffka","3.2.8","3","y","0","right","right","NA","right","NA","1156","15800","NA","1156","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","26607","NA","24399","1938","NA","24401","23307","1948","NA","28608","25404","29764","17749","28608","NA","Sternberg task","0","1929","2","yes","1024"
"33.3333333333","33.3333333333","840.666666667","840.666666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","1 5 2 9","Kafkaesque Koffka","3.2.8","2","y","0","left","right","NA","left","NA","593","15800","NA","593","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","33063","NA","30856","1938","NA","30858","29768","1948","NA","35066","31859","35659","17749","35066","NA","Sternberg task","1","2522","3","yes","1024"
"50","50","763","763","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","4 1 5","Kafkaesque Koffka","3.2.8","0","n","0","right","right","NA","right","NA","530","15800","NA","530","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","38957","35664","36751","1938","NA","36752","29768","1948","NA","40960","37754","41490","17749","40960","NA","Sternberg task","2","3052","4","yes","1024"
"60","60","742.6","742.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","9 6 7 4 5","Kafkaesque Koffka","3.2.8","0","n","0","right","right","NA","right","NA","661","15800","NA","661","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","44786","41494","42579","1938","NA","42581","29768","1948","NA","46788","43584","47449","17749","46787","NA","Sternberg task","3","3713","5","yes","1024"
"66.6666666667","66.6666666667","702.333333333","702.333333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","2 1","Kafkaesque Koffka","3.2.8","0","n","0","right","right","NA","right","NA","501","15800","NA","501","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","50751","47458","48543","1938","NA","48545","29768","1948","NA","52753","49548","53255","17749","52753","NA","Sternberg task","4","4214","6","yes","1024"
"71.4285714286","71.4285714286","675","675","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","4 3 1 7 9 8","Kafkaesque Koffka","3.2.8","1","y","0","left","right","NA","left","NA","511","15800","NA","511","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","56558","53263","54350","1938","NA","54352","29768","1948","NA","58560","55355","59071","17749","58559","NA","Sternberg task","5","4725","7","yes","1024"
"75","75","671.625","671.625","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","5","Kafkaesque Koffka","3.2.8","0","n","0","right","right","NA","right","NA","648","15800","NA","648","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","62373","59080","60166","1938","NA","60168","29768","1948","NA","64376","61170","65025","17749","64376","NA","Sternberg task","6","5373","8","yes","1024"
"77.7777777778","77.7777777778","672.555555556","672.555555556","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","5 7 8 4 1 2","Kafkaesque Koffka","3.2.8","0","n","0","right","right","NA","right","NA","680","15800","NA","680","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","68330","65034","66123","1938","NA","66124","29768","1948","NA","70333","67127","71014","17749","70333","NA","Sternberg task","7","6053","9","yes","1024"
"80","80","658","658","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","10/17/21 11:53:32","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","yes","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/subject-1.csv","legacy","4 8","Kafkaesque Koffka","3.2.8","1","y","0","left","right","NA","left","NA","527","15800","NA","527","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","74318","71023","72110","1938","NA","72112","29768","1948","NA","76320","73115","76848","17749","76320","NA","Sternberg task","8","6580","10","yes","1024"
