"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1","correct_keyboard_response","correct_response","count_correctFeedback","count_expSequence","count_experiment","count_experimentalLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_keyboard_response","count_logger","count_memorySet","count_new_1_sketchpad","count_new_sketchpad","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_keyboard_response","response_new_1_sketchpad","response_thankYou","response_time","response_time_instruction1","response_time_keyboard_response","response_time_new_1_sketchpad","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_correctFeedback","time_expSequence","time_experiment","time_experimentalLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_keyboard_response","time_logger","time_memorySet","time_new_1_sketchpad","time_new_sketchpad","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","width"
"0","0","662","662","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","0","0","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","3 1 9 4","Melodramatic Milgram","4.0.5","0","n","0","left","left","left","NA","NA","662.0","50086","662","NA","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","NA","53072","2368","NA","53074","NA","2371","57278","57940","54076","NA","55277","52458","57278","NA","Sternberg task","0","662.0","1","1024"
"50","50","620","620","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","1","1","0","0","1","1","0","1","1","1","0","1","0","1","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","1","1","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","4 1 5","Melodramatic Milgram","4.0.5","0","n","0","right","left","right","NA","NA","579.0","50086","579","NA","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","NA","59041","2368","NA","59042","57999","2371","63245","63824","60043","NA","61244","52458","63245","NA","Sternberg task","1","1241.0","2","1024"
"66","66","572","572","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","2","2","0","0","2","2","0","2","2","2","0","2","0","2","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","2","2","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","1 7 9 8 5","Melodramatic Milgram","4.0.5","4","y","0","left","left","left","NA","NA","475.0","50086","475","NA","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","63836","64878","2368","NA","64880","57999","2371","69083","69558","65881","NA","67082","52458","69083","NA","Sternberg task","2","1716.0","3","1024"
"50","50","497","497","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","3","3","0","0","3","3","0","3","3","3","0","3","0","3","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","3","3","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","1 5 2 9","Melodramatic Milgram","4.0.5","2","y","0","right","left","right","NA","NA","273.0","50086","273","NA","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","69571","70616","2368","NA","70618","57999","2371","74822","75095","71619","NA","72820","52458","74821","NA","Sternberg task","2","1989.0","4","1024"
"40","40","479","479","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","4","4","0","0","4","4","0","4","4","4","0","4","0","4","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","4","4","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","9 6 7 4 5","Melodramatic Milgram","4.0.5","0","n","0","left","left","left","NA","NA","406.0","50086","406","NA","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","69571","76146","2368","NA","76148","75098","2371","80351","80757","77149","NA","78350","52458","80351","NA","Sternberg task","2","2395.0","5","1024"
"33","33","448","448","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","5","5","0","0","5","5","0","5","5","5","0","5","0","5","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","5","5","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","5 7 8 4 1 2","Melodramatic Milgram","4.0.5","0","n","0","left","left","left","NA","NA","293.0","50086","293","NA","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","69571","81806","2368","NA","81807","80760","2371","86010","86303","82808","NA","84008","52458","86010","NA","Sternberg task","2","2688.0","6","1024"
"28","28","446","446","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","6","6","0","0","6","6","0","6","6","6","0","6","0","6","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","6","6","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","2 1","Melodramatic Milgram","4.0.5","0","n","0","left","left","left","NA","NA","439.0","50086","439","NA","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","69571","87363","2368","NA","87365","86315","2371","91568","92007","88366","NA","89567","52458","91568","NA","Sternberg task","2","3127.0","7","1024"
"25","25","466","466","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","7","7","0","0","7","7","0","7","7","7","0","7","0","7","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","7","7","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","6","Melodramatic Milgram","4.0.5","1","y","0","right","left","right","NA","NA","608.0","50086","608","NA","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","69571","93073","2368","NA","93075","92019","2371","97278","97886","94076","NA","95277","52458","97278","NA","Sternberg task","2","3735.0","8","1024"
"33","33","472","472","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","8","8","0","0","8","8","0","8","8","8","0","8","0","8","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","8","8","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","4 3 1 7 9 8","Melodramatic Milgram","4.0.5","1","y","0","left","left","left","NA","NA","517.0","50086","517","NA","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","69571","98943","2368","NA","98945","97898","2371","103148","103665","99946","NA","101147","52458","103148","NA","Sternberg task","3","4252.0","9","1024"
"40","40","487","487","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","9","9","0","0","9","9","0","9","9","9","0","9","0","9","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","9","9","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","2 9 4","Melodramatic Milgram","4.0.5","3","y","0","left","left","left","NA","NA","619.0","50086","619","NA","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","103677","104720","2368","NA","104722","97898","2371","108925","109545","105723","NA","106924","52458","108925","NA","Sternberg task","4","4871.0","10","1024"
"45","45","506","506","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","10","10","0","0","10","10","0","10","10","10","0","10","0","10","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","10","10","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","4 8","Melodramatic Milgram","4.0.5","1","y","0","left","left","left","NA","NA","697.0","50086","697","NA","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","109557","110606","2368","NA","110608","97898","2371","114811","115509","111609","NA","112810","52458","114811","NA","Sternberg task","5","5568.0","11","1024"
"41","41","491","491","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","11","11","0","0","11","11","0","11","11","11","0","11","0","11","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","11","11","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","5","Melodramatic Milgram","4.0.5","0","n","0","left","left","left","NA","NA","334.0","50086","334","NA","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","115511","116559","2368","NA","116561","97898","2371","120764","121098","117562","NA","118763","52458","120764","NA","Sternberg task","5","5902.0","12","1024"
"46","46","525","525","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","12","12","0","0","12","12","0","12","12","12","0","12","0","12","0","Sun Oct 15 15:59:22 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\Edward Banda\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","0","11","C:/Users/Edward Banda/Desktop/subject-1.csv","legacy","2 5 1 4","Melodramatic Milgram","4.0.5","0","n","0","right","left","right","left","NA","926.0","50086","926","3183","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","115511","125417","2368","125294","125418","121110","2371","129621","130548","126419","122111","127619","52458","129621","NA","Sternberg task","6","6828.0","13","1024"
