acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_keyboard_response,count_memorySet,count_new_logger,count_new_sketchpad,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_keyboard_response,response_new_sketchpad,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_new_sketchpad,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_keyboard_response,time_memorySet,time_new_logger,time_new_sketchpad,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,766,766,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,10/27/19 12:50,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-4.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,NA,766,5460,NA,766,NA,NA,2,legacy,1,1024,2,48000,-16,experiment,4,even,3,18018,NA,15804,3947,NA,15808,NA,3953,NA,20024,16813,20790,NA,9414,20023,NA,Sternberg Task,1,766,1,yes,1024
100,100,824,824,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,1,1,1,0,0,1,1,0,0,1,1,1,NA,0,1,0,10/27/19 12:50,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-4.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,left,NA,left,NA,NA,882,5460,NA,882,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,4,even,8,24325,20989,22111,3947,NA,22114,NA,3953,NA,26331,23119,27213,NA,9414,26330,NA,Sternberg Task,2,1648,2,yes,1024
100,100,816,816,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,2,2,2,0,0,2,2,0,0,2,2,2,NA,0,2,0,10/27/19 12:50,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-4.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,left,NA,left,NA,NA,800,5460,NA,800,NA,NA,2,legacy,4,1024,2,48000,-16,experiment,4,even,5,30615,27272,28401,3947,NA,28404,NA,3953,NA,32621,29409,33421,NA,9414,32620,NA,Sternberg Task,3,2448,3,yes,1024
100,100,791,791,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,3,3,3,0,0,3,3,0,0,3,3,3,NA,0,3,0,10/27/19 12:50,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-4.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,NA,716,5460,NA,716,NA,NA,2,legacy,1,1024,2,48000,-16,experiment,4,even,6,36826,33499,34613,3947,NA,34616,NA,3953,NA,38833,35621,39550,NA,9414,38832,NA,Sternberg Task,4,3164,4,yes,1024
100,100,785,785,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,4,4,4,0,0,4,4,0,0,4,4,4,NA,0,4,0,10/27/19 12:50,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-4.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,NA,761,5460,NA,761,NA,NA,2,legacy,3,1024,2,48000,-16,experiment,4,even,2,42926,39604,40710,3947,NA,40712,NA,3953,NA,44932,41719,45694,NA,9414,44931,NA,Sternberg Task,5,3925,5,yes,1024
100,100,784.6666667,784.6666667,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,5,5,5,0,0,5,5,0,0,5,5,5,NA,0,5,0,10/27/19 12:50,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-4.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,NA,783,5460,NA,783,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,4,even,4,49088,45748,46876,3947,NA,46878,NA,3953,NA,51094,47883,51878,NA,9414,51093,NA,Sternberg Task,6,4708,6,yes,1024
100,100,823.5714286,823.5714286,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,6,6,6,0,0,6,6,0,0,6,6,6,NA,0,6,0,10/27/19 12:50,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-4.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,NA,1057,5460,NA,1057,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,4,even,3,55254,51932,53041,3947,NA,53044,NA,3953,NA,57260,54048,58317,NA,9414,57259,NA,Sternberg Task,7,5765,7,yes,1024
100,100,798.875,798.875,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,7,7,7,0,0,7,7,0,0,7,7,7,NA,0,7,0,10/27/19 12:50,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-4.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,NA,626,5460,NA,626,NA,NA,2,legacy,2,1024,2,48000,-16,experiment,4,even,4,61740,58389,59528,3947,NA,59530,NA,3953,NA,63747,60535,64374,NA,9414,63747,NA,Sternberg Task,8,6391,8,yes,1024
100,100,825.7777778,825.7777778,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,8,8,8,0,0,8,8,0,0,8,8,8,NA,0,8,0,10/27/19 12:50,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-4.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,NA,1041,5460,NA,1041,NA,NA,2,legacy,2,1024,2,48000,-16,experiment,4,even,5,67774,64436,65560,3947,NA,65563,NA,3953,NA,69780,66569,70822,NA,9414,69780,NA,Sternberg Task,9,7432,9,yes,1024
100,100,898.2,898.2,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,9,9,9,0,0,9,9,0,0,9,9,9,NA,0,9,0,10/27/19 12:50,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-4.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,left,left,NA,left,NA,NA,1550,5460,NA,1550,NA,NA,2,legacy,3,1024,2,48000,-16,experiment,4,even,4,74217,70878,72003,3947,NA,72006,NA,3953,NA,76223,73011,77773,NA,9414,76223,NA,Sternberg Task,10,8982,10,yes,1024
100,100,893.6363636,893.6363636,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,10,10,10,0,0,10,10,0,0,10,10,10,NA,0,10,0,10/27/19 12:50,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,10,10,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-4.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,NA,848,5460,NA,848,NA,NA,2,legacy,4,1024,2,48000,-16,experiment,4,even,6,81186,77851,78972,3947,NA,78975,NA,3953,NA,83189,79980,84038,NA,9414,83189,NA,Sternberg Task,11,9830,11,yes,1024
100,100,896.4166667,896.4166667,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,11,11,11,0,0,11,11,0,0,11,11,11,NA,0,11,0,10/27/19 12:50,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-4.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,NA,927,5460,NA,927,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,4,even,6,87432,84115,85219,3947,NA,85221,NA,3953,NA,89438,86227,90366,NA,9414,89438,NA,Sternberg Task,12,10757,12,yes,1024
100,100,883.8461538,883.8461538,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,12,12,12,0,0,12,12,0,0,12,12,12,NA,0,12,0,10/27/19 12:50,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,0,11,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-4.csv,legacy,6 9 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,right,NA,NA,733,5460,8197,733,NA,NA,2,legacy,3,1024,2,48000,-16,experiment,4,even,8,101986,90421,99771,3947,99670,99773,NA,3953,91472,103992,100779,104725,NA,9414,103991,NA,Sternberg Task,13,11490,13,yes,1024
100,100,882.0714286,882.0714286,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,13,13,13,0,0,13,13,0,0,13,13,13,NA,0,13,0,10/27/19 12:50,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,1,11,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-4.csv,legacy,3 5 9 6 2 4,Kafkaesque Koffka,3.2.8,1,y,0,left,left,left,left,NA,NA,859,5460,8197,859,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,4,even,3,108163,104805,105950,3947,99670,105952,NA,3953,91472,110170,106958,111030,NA,9414,110169,NA,Sternberg Task,14,12349,14,yes,1024
100,100,883.3333333,883.3333333,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,14,14,14,0,0,14,14,0,0,14,14,14,NA,0,14,0,10/27/19 12:50,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,2,11,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-4.csv,legacy,3 9 1,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,right,NA,NA,901,5460,8197,901,NA,NA,2,legacy,3,1024,2,48000,-16,experiment,4,even,7,114930,111588,112717,3947,99670,112720,NA,3953,91472,116936,113725,117837,NA,9414,116936,NA,Sternberg Task,15,13250,15,yes,1024
100,100,883.0625,883.0625,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,15,15,15,0,0,15,15,0,0,15,15,15,NA,0,15,0,10/27/19 12:50,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,3,11,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-4.csv,legacy,9 6 2 4 1,Kafkaesque Koffka,3.2.8,4,y,0,left,left,left,left,NA,NA,879,5460,8197,879,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,4,even,4,121225,117900,119011,3947,99670,119014,NA,3953,91472,123230,120019,124109,NA,9414,123230,NA,Sternberg Task,16,14129,16,yes,1024
100,100,892.1764706,892.1764706,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,16,16,16,0,0,16,16,0,0,16,16,16,NA,0,16,0,10/27/19 12:50,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,4,11,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-4.csv,legacy,7 8 4 6 9 5,Kafkaesque Koffka,3.2.8,4,y,0,left,left,left,left,NA,NA,1038,5460,8197,1038,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,4,even,6,127514,124189,125301,3947,99670,125304,NA,3953,91472,129519,126309,130558,NA,9414,129519,NA,Sternberg Task,17,15167,17,yes,1024
