"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_instructions2","correct_keyboard_response","correct_response","count_correctfeedback","count_expSequence","count_experementloop","count_experiment","count_getting_started","count_incorrectfeedback","count_instruction1","count_instructions2","count_instructions2_2","count_isi","count_keyboard_response","count_logger","count_memorySet","count_practiceloop","count_probe","count_thankyou","count_welcome","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceloop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_instructions2_2","response_keyboard_response","response_thankyou","response_time","response_time_instruction1","response_time_instructions2","response_time_instructions2_2","response_time_keyboard_response","response_time_thankyou","response_time_welcome","response_welcome","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_correctfeedback","time_expSequence","time_experementloop","time_experiment","time_getting_started","time_incorrectfeedback","time_instruction1","time_instructions2","time_instructions2_2","time_isi","time_keyboard_response","time_logger","time_memorySet","time_practiceloop","time_probe","time_thankyou","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","860.749100102","860.749100102","black","practice","psycho","psycho","psycho","0","uniform","1","undefined","0","1","left","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","NA","10/17/21 18:07:53","","yes","SternbergTask.osexp","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant","no","mono","no","18","no","white","no","yes","768","psycho","0","0","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/sternberg/MM-Subject-1.csv","psycho","1 5 2 9","Lentiform Loewenfeld","3.3.9","2","y","0","left","right","right","NA","left","NA","860.749100102","8776.37300012","9654.45469995","NA","860.749100102","NA","NA","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","NA","23389.3102","NA","10525.9783","NA","NA","10602.3907999","23394.7373999","NA","34256.7435999","36260.9166999","37122.183","33053.2096999","19379.7996999","36260.7040999","NA","NA","Sternberg Task","1","860.749100102","1","yes","1024"
"50","50","763.083550148","763.083550148","black","practice","psycho","psycho","psycho","0","uniform","0","undefined","1","0","right","1","1","0","0","NA","1","0","1","0","1","1","1","1","0","1","0","NA","10/17/21 18:07:53","","yes","SternbergTask.osexp","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant","no","mono","no","18","no","white","no","yes","768","psycho","1","1","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/sternberg/MM-Subject-1.csv","psycho","3 1 9 4","Lentiform Loewenfeld","3.3.9","0","n","0","left","right","right","NA","left","NA","665.418000193","8776.37300012","8485.58390001","NA","665.418000193","NA","NA","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","37224.746","38309.2572","NA","10525.9783","NA","NA","10602.3907999","38312.8318998","NA","48005.3852999","50008.5230998","50674.4734999","46802.1998","19379.7996999","50008.3355999","NA","NA","Sternberg Task","1","1526.1671003","2","yes","1024"
"66.6666666667","66.6666666667","844.639833396","844.639833396","black","practice","psycho","psycho","psycho","0","uniform","1","undefined","0","1","left","2","2","0","0","NA","2","0","2","0","2","2","2","2","0","2","0","NA","10/17/21 18:07:53","","yes","SternbergTask.osexp","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant","no","mono","no","18","no","white","no","yes","768","psycho","2","2","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/sternberg/MM-Subject-1.csv","psycho","4 8","Lentiform Loewenfeld","3.3.9","1","y","0","left","right","right","NA","left","NA","1007.75239989","8776.37300012","2134.8456","NA","1007.75239989","NA","NA","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","37224.746","51801.1743999","NA","10525.9783","NA","50713.9289","10602.3907999","51804.6984999","NA","55147.7116998","57151.387","58159.7193999","53943.5769999","19379.7996999","57151.1919999","NA","NA","Sternberg Task","2","2533.91950019","3","yes","1024"
"75","75","868.376575061","868.376575061","black","practice","psycho","psycho","psycho","0","uniform","1","undefined","1","1","right","3","3","0","0","NA","3","0","3","0","3","3","3","3","0","3","0","NA","10/17/21 18:07:53","","yes","SternbergTask.osexp","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant","no","mono","no","18","no","white","no","yes","768","psycho","3","3","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/sternberg/MM-Subject-1.csv","psycho","4 1 5","Lentiform Loewenfeld","3.3.9","0","n","0","right","right","right","NA","right","NA","939.586800057","8776.37300012","2201.62290009","NA","939.586800057","NA","NA","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","58228.0961","59311.6321999","NA","10525.9783","NA","50713.9289","10602.3907999","59315.1099999","NA","62724.1366","64728.3607998","65668.4395","61520.4449","19379.7996999","64728.1316","NA","NA","Sternberg Task","3","3473.50630024","4","yes","1024"
"80","80","869.743780047","869.743780047","black","practice","psycho","psycho","psycho","0","uniform","1","undefined","0","1","left","4","4","0","0","NA","4","0","4","0","4","4","4","4","0","4","0","NA","10/17/21 18:07:53","","yes","SternbergTask.osexp","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant","no","mono","no","18","no","white","no","yes","768","psycho","4","4","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/sternberg/MM-Subject-1.csv","psycho","2 9 4","Lentiform Loewenfeld","3.3.9","3","y","0","left","right","right","NA","left","NA","875.212599989","8776.37300012","1606.36700015","NA","875.212599989","NA","NA","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","65704.0309","66786.8241998","NA","10525.9783","NA","50713.9289","10602.3907999","66790.3870998","NA","69604.1061999","71608.1431","72483.9134999","68400.564","19379.7996999","71607.9753998","NA","NA","Sternberg Task","4","4348.71890023","5","yes","1024"
"83.3333333333","83.3333333333","964.195766719","964.195766719","black","practice","psycho","psycho","psycho","0","uniform","1","undefined","0","1","right","5","5","0","0","NA","5","0","5","0","5","5","5","5","0","5","0","NA","10/17/21 18:07:53","","yes","SternbergTask.osexp","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant","no","mono","no","18","no","white","no","yes","768","psycho","5","5","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/sternberg/MM-Subject-1.csv","psycho","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.9","0","n","0","right","right","escape","NA","right","NA","1436.45570008","8776.37300012","1780.85380001","NA","1436.45570008","NA","NA","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","72515.5932999","73600.8355999","NA","10525.9783","NA","50713.9289","10602.3907999","73604.2446999","NA","80096.7575999","82100.5712999","83537.5649999","78892.5037999","19379.7996999","82100.3784998","NA","NA","Sternberg Task","5","5785.17460031","6","yes","1024"
"85.7142857143","85.7142857143","962.4592286","962.4592286","black","practice","psycho","psycho","psycho","0","uniform","1","undefined","0","1","left","6","6","0","0","NA","6","0","6","0","6","6","6","6","0","6","0","NA","10/17/21 18:07:53","","yes","SternbergTask.osexp","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant","no","mono","no","18","no","white","no","yes","768","psycho","6","6","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/sternberg/MM-Subject-1.csv","psycho","6","Lentiform Loewenfeld","3.3.9","1","y","0","left","right","right","NA","left","NA","952.039999887","8776.37300012","1818.24349985","NA","952.039999887","NA","NA","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","83595.4968999","84679.1162998","NA","10525.9783","NA","50713.9289","10602.3907999","84682.5989","NA","87708.2958","89711.417","90664.0669999","86504.4704","19379.7996999","89711.2111","NA","NA","Sternberg Task","6","6737.2146002","7","yes","1024"
"87.5","87.5","938.762175007","938.762175007","black","practice","psycho","psycho","psycho","0","uniform","1","undefined","0","1","left","7","7","0","0","NA","7","0","7","0","7","7","7","7","0","7","0","NA","10/17/21 18:07:53","","yes","SternbergTask.osexp","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant","no","mono","no","18","no","white","no","yes","768","psycho","7","7","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/sternberg/MM-Subject-1.csv","psycho","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.9","1","y","0","left","right","right","NA","left","NA","772.882799851","8776.37300012","470.08359991","NA","772.882799851","NA","NA","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","90775.1614","91856.3506","NA","10525.9783","NA","50713.9289","10602.3907999","91859.919","NA","93537.0421999","95540.4395","96313.8633","92333.9626999","19379.7996999","95540.2628998","NA","NA","Sternberg Task","7","7510.09740005","8","yes","1024"
"88.8888888889","88.8888888889","889.95211111","889.95211111","black","practice","psycho","psycho","psycho","0","uniform","1","undefined","1","1","right","8","8","0","0","NA","8","0","8","0","8","8","8","8","0","8","0","NA","10/17/21 18:07:53","","yes","SternbergTask.osexp","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant","no","mono","no","18","no","white","no","yes","768","psycho","8","8","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/sternberg/MM-Subject-1.csv","psycho","5","Lentiform Loewenfeld","3.3.9","0","n","0","right","right","right","NA","right","NA","499.471599935","8776.37300012","1498.64769983","NA","499.471599935","NA","NA","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","96395.4878999","97473.83","NA","10525.9783","NA","50713.9289","10602.3907999","97477.3432","NA","100182.7008","102185.7738","102685.9078","98979.5152","19379.7996999","102185.5959","NA","NA","Sternberg Task","8","8009.56899999","9","yes","1024"
"90","90","864.660639991","864.660639991","black","practice","psycho","psycho","psycho","0","uniform","1","undefined","1","1","right","9","9","0","0","NA","9","0","9","0","9","9","9","9","0","9","0","NA","10/17/21 18:07:53","","yes","SternbergTask.osexp","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant","no","mono","no","18","no","white","no","yes","768","psycho","9","9","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/sternberg/MM-Subject-1.csv","psycho","9 6 7 4 5","Lentiform Loewenfeld","3.3.9","0","n","0","right","right","right","NA","right","NA","637.037399923","8776.37300012","779.969200026","NA","637.037399923","NA","NA","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","102716.6186","103799.789","NA","10525.9783","NA","50713.9289","10602.3907999","103803.2801","NA","105790.9319","107795.2433","108432.8869","104586.9163","19379.7996999","107795.0644","NA","NA","Sternberg Task","9","8646.60639991","10","yes","1024"
