"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1_sketchpad","correct_keyboard_response","correct_response","count_ISI_sketchpad","count_correct_sketchpad","count_exp_sequence","count_experiment","count_experiment_loop","count_fixation_sketchpad","count_incorrect_sketchpad","count_instruction1_sketchpad","count_instructions2_sketchpad","count_keyboard_response","count_memoryset_sketchpad","count_new_logger","count_practice_loop","count_probe_sketchpad","count_thankyou_sketchpad","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1_sketchpad","response_instructions2_sketchpad","response_keyboard_response","response_thankyou_sketchpad","response_time","response_time_instruction1_sketchpad","response_time_instructions2_sketchpad","response_time_keyboard_response","response_time_thankyou_sketchpad","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI_sketchpad","time_correct_sketchpad","time_exp_sequence","time_experiment","time_experiment_loop","time_fixation_sketchpad","time_incorrect_sketchpad","time_instruction1_sketchpad","time_instructions2_sketchpad","time_keyboard_response","time_memoryset_sketchpad","time_new_logger","time_practice_loop","time_probe_sketchpad","time_thankyou_sketchpad","title","total_correct","total_response_time","total_responses","width"
"0","0","2000","2000","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Tue Oct 17 03:10:16 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","0","0","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/JB-subject-3.csv","legacy","2 1","Melodramatic Milgram","4.0.5","0","n","0","None","right","NA","None","NA","2000.0","55134","NA","2000","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","5","63130","NA","60926","4601","NA","60928","NA","4608","NA","65131","61929","67131","59744","65131","NA","Sternberg task ","0","2000.0","1","1024"
"0","0","2000","2000","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Tue Oct 17 03:10:16 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","1","1","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/JB-subject-3.csv","legacy","5","Melodramatic Milgram","4.0.5","0","n","0","None","right","NA","None","NA","2000.0","55134","NA","2000","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","70477","NA","68273","4601","NA","68275","67198","4608","NA","72480","69276","74480","59744","72480","NA","Sternberg task ","0","4000.0","2","1024"
"0","0","2000","2000","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Tue Oct 17 03:10:16 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","2","2","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/JB-subject-3.csv","legacy","3 1 9 4","Melodramatic Milgram","4.0.5","0","n","0","None","right","NA","None","NA","2000.0","55134","NA","2000","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","77793","NA","75586","4601","NA","75589","74487","4608","NA","79796","76591","81796","59744","79796","NA","Sternberg task ","0","6000.0","3","1024"
"0","0","1670","1670","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Tue Oct 17 03:10:16 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","3","3","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/JB-subject-3.csv","legacy","2 9 4","Melodramatic Milgram","4.0.5","3","y","0","right","right","NA","right","NA","680.0","55134","NA","680","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","4","85081","NA","82877","4601","NA","82879","81801","4608","NA","87083","83880","87764","59744","87082","NA","Sternberg task ","0","6680.0","4","1024"
"20","20","1469","1469","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Tue Oct 17 03:10:16 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","4","4","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/JB-subject-3.csv","legacy","4 3 1 7 9 8","Melodramatic Milgram","4.0.5","1","y","0","left","right","NA","left","NA","667.0","55134","NA","667","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","91040","NA","88836","4601","NA","88838","87768","4608","NA","93042","89839","93709","59744","93042","NA","Sternberg task ","1","7347.0","5","1024"
"33","33","1351","1351","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Tue Oct 17 03:10:16 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","5","5","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/JB-subject-3.csv","legacy","1 5 2 9","Melodramatic Milgram","4.0.5","2","y","0","left","right","NA","left","NA","763.0","55134","NA","763","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","5","96993","93715","94789","4601","NA","94791","87768","4608","NA","98994","95792","99758","59744","98994","NA","Sternberg task ","2","8110.0","6","1024"
"42","42","1297","1297","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Tue Oct 17 03:10:16 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","6","6","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/JB-subject-3.csv","legacy","9 6 7 4 5","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","972.0","55134","NA","972","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","103046","99763","100842","4601","NA","100844","87768","4608","NA","105049","101845","106022","59744","105049","NA","Sternberg task ","3","9082.0","7","1024"
"50","50","1217","1217","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Tue Oct 17 03:10:16 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","7","7","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/JB-subject-3.csv","legacy","5 7 8 4 1 2","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","658.0","55134","NA","658","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","109314","106027","107109","4601","NA","107112","87768","4608","NA","111317","108113","111976","59744","111317","NA","Sternberg task ","4","9740.0","8","1024"
"55","55","1154","1154","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Tue Oct 17 03:10:16 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","8","8","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/JB-subject-3.csv","legacy","4 1 5","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","650.0","55134","NA","650","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","2","115263","111982","113059","4601","NA","113061","87768","4608","NA","117265","114062","117915","59744","117264","NA","Sternberg task ","5","10390.0","9","1024"
"60","60","1120","1120","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Tue Oct 17 03:10:16 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","9","9","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/JB-subject-3.csv","legacy","1 7 9 8 5","Melodramatic Milgram","4.0.5","4","y","0","left","right","NA","left","NA","817.0","55134","NA","817","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","121211","117923","119005","4601","NA","119008","87768","4608","NA","123213","120010","124031","59744","123213","NA","Sternberg task ","6","11207.0","10","1024"
