acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instructions1,correct_KeyboardResponse,correct_response,count_CorrectFeedback,count_ExpSequence,count_ExperimentLoop,count_Fixation,count_ISI,count_IncorrectFeedback,count_Instructions1,count_Instructions2,count_KeyboardResponse,count_Logger,count_MemorySet,count_PracticeLoop,count_Probe,count_ThankYou,count_experiment,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_PracticeLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Instructions1,response_Instructions2,response_KeyboardResponse,response_ThankYou,response_time,response_time_Instructions1,response_time_Instructions2,response_time_KeyboardResponse,response_time_ThankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_CorrectFeedback,time_ExpSequence,time_ExperimentLoop,time_Fixation,time_ISI,time_IncorrectFeedback,time_Instructions1,time_Instructions2,time_KeyboardResponse,time_Logger,time_MemorySet,time_PracticeLoop,time_Probe,time_ThankYou,time_experiment,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1121,1121,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat Oct 24 23:10:51 2020,The main experiment item,yes,SternbergTask.osexp,C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-2.csv,legacy,5 7 8 4 1 2,Lentiform Loewenfeld,3.3.3,0,n,0,right,right,NA,right,NA,1121,44112,NA,1121,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,6,NA,47870,NA,47872,50078,NA,3246,NA,52081,53202,48874,47359,52081,NA,3238,Sternberg Task,1,1121,1,yes,1024
100,100,1235.5,1235.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,Sat Oct 24 23:10:51 2020,The main experiment item,yes,SternbergTask.osexp,C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-2.csv,legacy,4 1 5,Lentiform Loewenfeld,3.3.3,0,n,0,right,right,NA,right,NA,1350,44112,NA,1350,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,2,53257,54353,NA,54354,56561,NA,3246,NA,58566,59916,55356,47359,58565,NA,3238,Sternberg Task,2,2471,2,yes,1024
100,100,1415.666667,1415.666667,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,2,2,0,2,2,2,0,0,2,2,2,0,2,0,0,Sat Oct 24 23:10:51 2020,The main experiment item,yes,SternbergTask.osexp,C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-2.csv,legacy,1 7 9 8 5,Lentiform Loewenfeld,3.3.3,4,y,0,left,right,NA,left,NA,1776,44112,NA,1776,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,8,59925,61034,NA,61036,63245,NA,3246,NA,65247,67023,62040,47359,65247,NA,3238,Sternberg Task,3,4247,3,yes,1024
100,100,1268.75,1268.75,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,3,3,0,3,3,3,0,0,3,3,3,0,3,0,0,Sat Oct 24 23:10:51 2020,The main experiment item,yes,SternbergTask.osexp,C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-2.csv,legacy,2 1,Lentiform Loewenfeld,3.3.3,0,n,0,right,right,NA,right,NA,828,44112,NA,828,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,5,67050,68144,NA,68146,70351,NA,3246,NA,72355,73183,69148,47359,72355,NA,3238,Sternberg Task,4,5075,4,yes,1024
100,100,1365.8,1365.8,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,4,4,0,4,4,4,0,0,4,4,4,0,4,0,0,Sat Oct 24 23:10:51 2020,The main experiment item,yes,SternbergTask.osexp,C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-2.csv,legacy,1 5 2 9,Lentiform Loewenfeld,3.3.3,2,y,0,left,right,NA,left,NA,1754,44112,NA,1754,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,5,73192,74298,NA,74300,76508,NA,3246,NA,78511,80265,75304,47359,78511,NA,3238,Sternberg Task,5,6829,5,yes,1024
100,100,1281.5,1281.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,5,5,0,5,5,5,0,0,5,5,5,0,5,0,0,Sat Oct 24 23:10:51 2020,The main experiment item,yes,SternbergTask.osexp,C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-2.csv,legacy,4 8,Lentiform Loewenfeld,3.3.3,1,y,0,left,right,NA,left,NA,860,44112,NA,860,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,4,80273,81350,NA,81352,83558,NA,3246,NA,85561,86421,82354,47359,85561,NA,3238,Sternberg Task,6,7689,6,yes,1024
100,100,1261.428571,1261.428571,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,6,6,0,6,6,6,0,0,6,6,6,0,6,0,0,Sat Oct 24 23:10:51 2020,The main experiment item,yes,SternbergTask.osexp,C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-2.csv,legacy,4 3 1 7 9 8,Lentiform Loewenfeld,3.3.3,1,y,0,left,right,NA,left,NA,1141,44112,NA,1141,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,4,86449,87542,NA,87544,89752,NA,3246,NA,91754,92896,88548,47359,91754,NA,3238,Sternberg Task,7,8830,7,yes,1024
100,100,1202.25,1202.25,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,7,7,0,7,7,7,0,0,7,7,7,0,7,0,0,Sat Oct 24 23:10:51 2020,The main experiment item,yes,SternbergTask.osexp,C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-2.csv,legacy,9 6 7 4 5,Lentiform Loewenfeld,3.3.3,0,n,0,right,right,NA,right,NA,788,44112,NA,788,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,3,92923,94012,NA,94013,96222,NA,3246,NA,98224,99012,95017,47359,98224,NA,3238,Sternberg Task,8,9618,8,yes,1024
100,100,1156.333333,1156.333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,8,8,0,8,8,8,0,0,8,8,8,0,8,0,0,Sat Oct 24 23:10:51 2020,The main experiment item,yes,SternbergTask.osexp,C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-2.csv,legacy,5,Lentiform Loewenfeld,3.3.3,0,n,0,right,right,NA,right,NA,789,44112,NA,789,NA,2,legacy,1,1024,2,48000,-16,experiment,2,even,3,99020,100128,NA,100129,102333,NA,3246,NA,104336,105125,101130,47359,104336,NA,3238,Sternberg Task,9,10407,9,yes,1024
100,100,1150.8,1150.8,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,9,9,0,9,9,9,0,0,9,9,9,0,9,0,0,Sat Oct 24 23:10:51 2020,The main experiment item,yes,SternbergTask.osexp,C:\Users\katri\OneDrive\Documents\Fall 2020\Sternberg Memory Task,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/katri/OneDrive/Documents/Fall 2020/Sternberg Memory Task/subject-2.csv,legacy,3 1 9 4,Lentiform Loewenfeld,3.3.3,0,n,0,right,right,NA,right,NA,1101,44112,NA,1101,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,6,105151,106262,NA,106264,108470,NA,3246,NA,110475,111576,107266,47359,110474,NA,3238,Sternberg Task,10,11508,10,yes,1024
