"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1_sketchpad","correct_keyboard_keyboard_response","correct_response","count__logger","count_correctfeeback_sketchpad","count_exp_sequence","count_experiment","count_experimentloop","count_fixation_sketchpad","count_incorrectfeedback_sketchpad","count_instruction1_sketchpad","count_instruction2_sketchpad","count_isi_sketchpad","count_keyboard_keyboard_response","count_memoryset_sketchpad","count_practice_loop","count_probe_sketchpad","count_thankyou_sketchpad","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1_sketchpad","response_instruction2_sketchpad","response_keyboard_keyboard_response","response_thankyou_sketchpad","response_time","response_time_instruction1_sketchpad","response_time_instruction2_sketchpad","response_time_keyboard_keyboard_response","response_time_thankyou_sketchpad","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time__logger","time_correctfeeback_sketchpad","time_exp_sequence","time_experiment","time_experimentloop","time_fixation_sketchpad","time_incorrectfeedback_sketchpad","time_instruction1_sketchpad","time_instruction2_sketchpad","time_isi_sketchpad","time_keyboard_keyboard_response","time_memoryset_sketchpad","time_practice_loop","time_probe_sketchpad","time_thankyou_sketchpad","title","total_correct","total_response_time","total_responses","width"
"100","100","924","924","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","0","0","C:/Users/User/Desktop/subject-2.csv","legacy","9 6 7 4 5","Melodramatic Milgram","4.0.5","0","n","0","right","space","NA","right","NA","924.0","54491","NA","924","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","65192","NA","60063","2680","NA","60065","NA","2687","NA","62266","64267","61065","57180","64266","NA","Sternberg task","1","924.0","1","1024"
"100","100","664","664","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","1","1","C:/Users/User/Desktop/subject-2.csv","legacy","4 3 1 7 9 8","Melodramatic Milgram","4.0.5","1","y","0","left","space","NA","left","NA","405.0","54491","NA","405","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","4","70886","65232","66274","2680","NA","66275","NA","2687","NA","68475","70476","67275","57180","70475","NA","Sternberg task","2","1329.0","2","1024"
"100","100","590","590","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","2","2","C:/Users/User/Desktop/subject-2.csv","legacy","5 7 8 4 1 2","Melodramatic Milgram","4.0.5","0","n","0","right","space","NA","right","NA","442.0","54491","NA","442","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","76595","70894","71950","2680","NA","71951","NA","2687","NA","74151","76152","72951","57180","76152","NA","Sternberg task","3","1771.0","3","1024"
"100","100","617","617","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","3","3","C:/Users/User/Desktop/subject-2.csv","legacy","1 5 2 9","Melodramatic Milgram","4.0.5","2","y","0","left","space","NA","left","NA","699.0","54491","NA","699","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","82562","76600","77659","2680","NA","77660","NA","2687","NA","79861","81863","78661","57180","81862","NA","Sternberg task","4","2470.0","4","1024"
"80","80","682","682","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","4","4","C:/Users/User/Desktop/subject-2.csv","legacy","4 8","Melodramatic Milgram","4.0.5","1","y","0","right","space","NA","right","NA","943.0","54491","NA","943","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","4","88763","82569","83615","2680","NA","83616","NA","2687","NA","85818","87819","84617","57180","87818","NA","Sternberg task","4","3413.0","5","1024"
"66","66","648","648","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","5","5","C:/Users/User/Desktop/subject-2.csv","legacy","5","Melodramatic Milgram","4.0.5","0","n","0","left","space","NA","left","NA","476.0","54491","NA","476","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","3","94500","82569","89821","2680","NA","89822","88769","2687","NA","92022","94023","90822","57180","94023","NA","Sternberg task","4","3889.0","6","1024"
"71","71","748","748","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","6","6","C:/Users/User/Desktop/subject-2.csv","legacy","3 1 9 4","Melodramatic Milgram","4.0.5","0","n","0","right","space","NA","right","NA","1353.0","54491","NA","1353","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","101108","82569","95551","2680","NA","95552","94506","2687","NA","97753","99754","96552","57180","99753","NA","Sternberg task","5","5242.0","7","1024"
"62","62","816","816","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","7","7","C:/Users/User/Desktop/subject-2.csv","legacy","4 1 5","Melodramatic Milgram","4.0.5","0","n","0","left","space","NA","left","NA","1287.0","54491","NA","1287","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","2","107661","101114","102170","2680","NA","102171","94506","2687","NA","104373","106374","103172","57180","106374","NA","Sternberg task","5","6529.0","8","1024"
"55","55","904","904","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","8","8","C:/Users/User/Desktop/subject-2.csv","legacy","1 7 9 8 5","Melodramatic Milgram","4.0.5","4","y","0","right","space","NA","right","NA","1612.0","54491","NA","1612","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","8","114530","101114","108715","2680","NA","108716","107664","2687","NA","110917","112918","109716","57180","112918","NA","Sternberg task","5","8141.0","9","1024"
"50","50","886","886","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","9","9","C:/Users/User/Desktop/subject-2.csv","legacy","2 1","Melodramatic Milgram","4.0.5","0","n","0","left","space","NA","left","NA","728.0","54491","NA","728","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","120518","101114","115587","2680","NA","115588","114536","2687","NA","117788","119789","116588","57180","119788","NA","Sternberg task","5","8869.0","10","1024"
"45","45","879","879","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","10","10","10","0","0","10","10","0","0","10","10","10","0","10","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","10","10","C:/Users/User/Desktop/subject-2.csv","legacy","2 9 4","Melodramatic Milgram","4.0.5","3","y","0","right","space","NA","right","NA","808.0","54491","NA","808","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","4","126578","101114","121565","2680","NA","121566","120523","2687","NA","123768","125769","122567","57180","125768","NA","Sternberg task","5","9677.0","11","1024"
