"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_Practice_loop","count_correctFeedback","count_expSequence","count_experiment","count_experiment_loop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Practice_loop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_Practice_loop","time_correctFeedback","time_expSequence","time_experiment","time_experiment_loop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","992","992","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Oct 23 22:41:48 2022","The main experiment item","yes","Sternbergtask.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/cici_/OneDrive/Documents/R/cs-subject-4.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.12","2","y","0","left","right","NA","left","NA","992","9495","NA","992","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","5","17392","12803","NA","15184","3301","NA","15187","NA","3306","NA","19395","20388","16190","19394","NA","Sternberg task","1","992","1","yes","1024"
"50","50","798.5","798.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","1","0","1","1","0","0","1","1","0","0","1","1","1","1","0","Sun Oct 23 22:41:48 2022","The main experiment item","yes","Sternbergtask.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/cici_/OneDrive/Documents/R/cs-subject-4.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.12","4","y","0","right","right","NA","right","NA","605","9495","NA","605","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","8","23845","12803","20475","21635","3301","NA","21639","NA","3306","NA","25847","26453","22641","25847","NA","Sternberg task","1","1597","2","yes","1024"
"66.66666666666667","66.66666666666667","713","713","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","0","2","2","0","0","2","2","0","0","2","2","2","2","0","Sun Oct 23 22:41:48 2022","The main experiment item","yes","Sternbergtask.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/cici_/OneDrive/Documents/R/cs-subject-4.csv","legacy","4 8","Lentiform Loewenfeld","3.3.12","1","y","0","left","right","NA","left","NA","542","9495","NA","542","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","4","29791","12803","20475","27583","3301","NA","27586","26460","3306","NA","31794","32337","28588","31793","NA","Sternberg task","2","2139","3","yes","1024"
"75","75","715.75","715.75","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","0","3","3","0","0","3","3","0","0","3","3","3","3","0","Sun Oct 23 22:41:48 2022","The main experiment item","yes","Sternbergtask.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/cici_/OneDrive/Documents/R/cs-subject-4.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","724","9495","NA","724","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","35667","12803","32343","33459","3301","NA","33462","26460","3306","NA","37670","38395","34464","37669","NA","Sternberg task","3","2863","4","yes","1024"
"80","80","716.6","716.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","0","4","4","0","0","4","4","0","0","4","4","4","4","0","Sun Oct 23 22:41:48 2022","The main experiment item","yes","Sternbergtask.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/cici_/OneDrive/Documents/R/cs-subject-4.csv","legacy","2 1","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","720","9495","NA","720","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","5","41726","12803","38401","39519","3301","NA","39522","26460","3306","NA","43728","44449","40524","43728","NA","Sternberg task","4","3583","5","yes","1024"
"83.33333333333333","83.33333333333333","777.5","777.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","Sun Oct 23 22:41:48 2022","The main experiment item","yes","Sternbergtask.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/cici_/OneDrive/Documents/R/cs-subject-4.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","1082","9495","NA","1082","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","47783","12803","44455","45576","3301","NA","45578","26460","3306","NA","49785","50868","46581","49784","NA","Sternberg task","5","4665","6","yes","1024"
"71.42857142857143","71.42857142857143","773","773","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","6","0","6","6","0","0","6","6","0","0","6","6","6","6","0","Sun Oct 23 22:41:48 2022","The main experiment item","yes","Sternbergtask.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/cici_/OneDrive/Documents/R/cs-subject-4.csv","legacy","5","Lentiform Loewenfeld","3.3.12","0","n","0","left","right","NA","left","NA","746","9495","NA","746","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","3","54197","12803","50875","51991","3301","NA","51994","26460","3306","NA","56199","56946","52995","56199","NA","Sternberg task","5","5411","7","yes","1024"
"75","75","772.5","772.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","0","7","7","0","0","7","7","0","0","7","7","7","7","0","Sun Oct 23 22:41:48 2022","The main experiment item","yes","Sternbergtask.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/cici_/OneDrive/Documents/R/cs-subject-4.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","769","9495","NA","769","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","3","60294","12803","50875","58087","3301","NA","58090","56952","3306","NA","62296","63066","59092","62296","NA","Sternberg task","6","6180","8","yes","1024"
"77.77777777777777","77.77777777777777","807.1111111111111","807.1111111111111","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","0","8","8","0","0","8","8","0","0","8","8","8","8","0","Sun Oct 23 22:41:48 2022","The main experiment item","yes","Sternbergtask.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/cici_/OneDrive/Documents/R/cs-subject-4.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.12","0","n","0","right","right","NA","right","NA","1084","9495","NA","1084","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","6","66411","12803","63074","64204","3301","NA","64207","56952","3306","NA","68416","69501","65209","68416","NA","Sternberg task","7","7264","9","yes","1024"
"80","80","788.3","788.3","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","0","9","9","0","0","9","9","0","0","9","9","9","9","0","Sun Oct 23 22:41:48 2022","The main experiment item","yes","Sternbergtask.osexp","C:/Users/cici_/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/cici_/OneDrive/Documents/R/cs-subject-4.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.12","1","y","0","left","right","NA","left","NA","619","9495","NA","619","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","4","72856","12803","69508","70649","3301","NA","70652","56952","3306","NA","74858","75478","71654","74858","NA","Sternberg task","8","7883","10","yes","1024"
