"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instruction2","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instruction2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instruction2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instruction2","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2000","2000","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Oct 24 14:27:07 2020","The main experiment item","yes","Sterbergtask.osexp","C:\Users\Colton\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Colton/OneDrive/Desktop/CS-subject-4-LAB 3.1.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","None","right","NA","None","NA","2000","76239","NA","2000","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","8","86721","NA","84505","5640","NA","84510","NA","5651","NA","88727","90727","85515","81894","88727","NA","Sterberg task","0","2000","1","yes","1024"
"0","0","2000.5","2000.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Sat Oct 24 14:27:07 2020","The main experiment item","yes","Sterbergtask.osexp","C:\Users\Colton\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Colton/OneDrive/Desktop/CS-subject-4-LAB 3.1.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","None","right","NA","None","NA","2001","76239","NA","2001","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","4","94541","NA","92327","5640","NA","92331","91080","5651","NA","96545","98546","93337","81894","96545","NA","Sterberg task","0","4001","2","yes","1024"
"33.333333333333336","33.333333333333336","1668","1668","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Sat Oct 24 14:27:07 2020","The main experiment item","yes","Sterbergtask.osexp","C:\Users\Colton\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Colton/OneDrive/Desktop/CS-subject-4-LAB 3.1.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","1003","76239","NA","1003","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","5","102056","NA","99839","5640","NA","99844","98609","5651","NA","104062","105066","100850","81894","104061","NA","Sterberg task","1","5004","3","yes","1024"
"50","50","1497.5","1497.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Sat Oct 24 14:27:07 2020","The main experiment item","yes","Sterbergtask.osexp","C:\Users\Colton\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Colton/OneDrive/Desktop/CS-subject-4-LAB 3.1.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","986","76239","NA","986","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","4","108578","105118","106354","5640","NA","106359","98609","5651","NA","110582","111570","107364","81894","110582","NA","Sterberg task","2","5990","4","yes","1024"
"60","60","1395.8","1395.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Sat Oct 24 14:27:07 2020","The main experiment item","yes","Sterbergtask.osexp","C:\Users\Colton\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Colton/OneDrive/Desktop/CS-subject-4-LAB 3.1.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","left","right","NA","left","NA","989","76239","NA","989","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","5","115057","111596","112841","5640","NA","112846","98609","5651","NA","117063","118054","113852","81894","117062","NA","Sterberg task","3","6979","5","yes","1024"
"66.66666666666667","66.66666666666667","1361.6666666666667","1361.6666666666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Sat Oct 24 14:27:07 2020","The main experiment item","yes","Sterbergtask.osexp","C:\Users\Colton\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Colton/OneDrive/Desktop/CS-subject-4-LAB 3.1.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","1191","76239","NA","1191","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","121558","118107","119343","5640","NA","119348","98609","5651","NA","123562","124755","120353","81894","123562","NA","Sterberg task","4","8170","6","yes","1024"
"57.142857142857146","57.142857142857146","1452.857142857143","1452.857142857143","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Sat Oct 24 14:27:07 2020","The main experiment item","yes","Sterbergtask.osexp","C:\Users\Colton\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Colton/OneDrive/Desktop/CS-subject-4-LAB 3.1.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","None","right","NA","None","NA","2000","76239","NA","2000","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","3","128262","124808","126044","5640","NA","126049","98609","5651","NA","130270","132270","127055","81894","130269","NA","Sterberg task","4","10170","7","yes","1024"
"62.5","62.5","1385.5","1385.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Sat Oct 24 14:27:07 2020","The main experiment item","yes","Sterbergtask.osexp","C:\Users\Colton\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Colton/OneDrive/Desktop/CS-subject-4-LAB 3.1.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","914","76239","NA","914","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","4","135768","124808","133551","5640","NA","133556","132308","5651","NA","137773","138688","134562","81894","137773","NA","Sterberg task","5","11084","8","yes","1024"
"66.66666666666667","66.66666666666667","1322.3333333333333","1322.3333333333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Sat Oct 24 14:27:07 2020","The main experiment item","yes","Sterbergtask.osexp","C:\Users\Colton\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Colton/OneDrive/Desktop/CS-subject-4-LAB 3.1.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","817","76239","NA","817","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","3","142202","138743","139984","5640","NA","139989","132308","5651","NA","144207","145025","140997","81894","144206","NA","Sterberg task","6","11901","9","yes","1024"
"70","70","1286.9","1286.9","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Sat Oct 24 14:27:07 2020","The main experiment item","yes","Sterbergtask.osexp","C:\Users\Colton\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Colton/OneDrive/Desktop/CS-subject-4-LAB 3.1.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","968","76239","NA","968","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","6","148570","145086","146343","5640","NA","146348","132308","5651","NA","150576","151546","147359","81894","150576","NA","Sterberg task","7","12869","10","yes","1024"
