"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_1","correct_Keyboard_Response","correct_response","count_Correct_Feedback","count_Experimental_Loop","count_Fixation","count_ISI","count_Incorrect_Feedback","count_Instruction_1","count_Instructions_2","count_Instructions_3_Thanks","count_Keyboard_Response","count_Logger","count_Memory_Set","count_Practice_Loop","count_Probe","count_expSequence","count_experiment","count_new_sketchpad","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Practice_Loop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Incorrect_Feedback","response_Instruction_1","response_Instructions_2","response_Instructions_3_Thanks","response_Keyboard_Response","response_new_sketchpad","response_time","response_time_Incorrect_Feedback","response_time_Instruction_1","response_time_Instructions_2","response_time_Instructions_3_Thanks","response_time_Keyboard_Response","response_time_new_sketchpad","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_Correct_Feedback","time_Experimental_Loop","time_Fixation","time_ISI","time_Incorrect_Feedback","time_Instruction_1","time_Instructions_2","time_Instructions_3_Thanks","time_Keyboard_Response","time_Logger","time_Memory_Set","time_Practice_Loop","time_Probe","time_expSequence","time_experiment","time_new_sketchpad","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2001","2001","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","Sun Oct 25 18:38:27 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/jacobspurling/Desktop/RL-subject-2.csv","legacy","6","Lentiform Loewenfeld","3.3.5","1","y","0","None","NA","right","NA","NA","None","NA","2001","NA","254733","NA","NA","2001","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","6","NA","NA","260708","262941","NA","5340","NA","NA","264954","266955","261722","260117","264954","260683","5318","NA","Sternberg Task","0","2001","1","yes","1024"
"0","0","2000.5","2000.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","1","0","1","1","1","0","0","0","1","1","1","0","1","1","0","NA","Sun Oct 25 18:38:27 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/jacobspurling/Desktop/RL-subject-2.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.5","0","n","0","None","right","right","NA","NA","None","NA","2000","7920","254733","NA","NA","2000","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","NA","NA","275184","277415","267018","5340","NA","NA","279429","281429","276198","260117","279429","275170","5318","NA","Sternberg Task","0","4001","2","yes","1024"
"0","0","2000.3333333333333","2000.3333333333333","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","2","0","2","2","2","0","0","0","2","2","2","0","2","2","0","NA","Sun Oct 25 18:38:27 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/jacobspurling/Desktop/RL-subject-2.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.5","0","n","0","None","right","right","NA","NA","None","NA","2000","8992","254733","NA","NA","2000","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","NA","NA","290567","292799","281455","5340","NA","NA","294812","296812","291582","260117","294811","290547","5318","NA","Sternberg Task","0","6001","3","yes","1024"
"0","0","2000.25","2000.25","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","3","0","3","3","3","0","0","0","3","3","3","0","3","3","0","NA","Sun Oct 25 18:38:27 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/jacobspurling/Desktop/RL-subject-2.csv","legacy","4 8","Lentiform Loewenfeld","3.3.5","1","y","0","None","left","right","NA","NA","None","NA","2000","6142","254733","NA","NA","2000","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","4","NA","NA","303089","305317","296837","5340","NA","NA","307330","309330","304101","260117","307329","303076","5318","NA","Sternberg Task","0","8001","4","yes","1024"
"0","0","2000.2","2000.2","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","4","0","4","4","4","0","0","0","4","4","4","0","4","4","0","NA","Sun Oct 25 18:38:27 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/jacobspurling/Desktop/RL-subject-2.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.5","1","y","0","None","right","right","NA","NA","None","NA","2000","46760","254733","NA","NA","2000","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","4","NA","NA","356225","358455","309355","5340","NA","NA","360468","362468","357239","260117","360468","356211","5318","NA","Sternberg Task","0","10001","5","yes","1024"
"16.666666666666668","16.666666666666668","1799.5","1799.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","0","5","5","5","0","0","0","5","5","5","0","5","5","0","NA","Sun Oct 25 18:38:27 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/jacobspurling/Desktop/RL-subject-2.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.5","2","y","0","left","right","right","NA","NA","left","NA","796","19680","254733","NA","NA","796","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","NA","NA","382293","384521","362494","5340","NA","NA","386534","387332","383306","260117","386533","382274","5318","NA","Sternberg Task","1","10797","6","yes","1024"
"28.571428571428573","28.571428571428573","1694.142857142857","1694.142857142857","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","0","6","6","6","0","0","0","6","6","6","0","6","6","0","NA","Sun Oct 25 18:38:27 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/jacobspurling/Desktop/RL-subject-2.csv","legacy","2 1","Lentiform Loewenfeld","3.3.5","0","n","0","right","right","right","NA","NA","right","NA","1062","19680","254733","NA","NA","1062","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","387357","NA","388460","390691","362494","5340","NA","NA","392707","393770","389475","260117","392706","388449","5318","NA","Sternberg Task","2","11859","7","yes","1024"
"25","25","1732.375","1732.375","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","7","0","7","7","7","0","0","0","7","7","7","0","7","7","0","NA","Sun Oct 25 18:38:27 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/jacobspurling/Desktop/RL-subject-2.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.5","0","n","0","None","right","right","NA","NA","None","NA","2000","19680","254733","NA","NA","2000","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","2","393795","NA","394905","397136","362494","5340","NA","NA","399150","401150","395921","260117","399149","394893","5318","NA","Sternberg Task","2","13859","8","yes","1024"
"33.333333333333336","33.333333333333336","1683.888888888889","1683.888888888889","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","0","8","8","8","0","0","0","8","8","8","0","8","8","0","NA","Sun Oct 25 18:38:27 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/jacobspurling/Desktop/RL-subject-2.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.5","3","y","0","left","right","right","NA","NA","left","NA","1296","59365","254733","NA","NA","1296","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","4","393795","NA","460652","462883","401176","5340","NA","NA","464898","466195","461667","260117","464897","460638","5318","NA","Sternberg Task","3","15155","9","yes","1024"
"40","40","1608.5","1608.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","0","9","9","9","0","0","0","9","9","9","0","9","9","0","NA","Sun Oct 25 18:38:27 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/jacobspurling/Desktop/RL-subject-2.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.5","0","n","0","right","right","right","NA","NA","right","NA","930","59365","254733","NA","NA","930","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","466219","NA","467327","469557","401176","5340","NA","NA","471569","472501","468341","260117","471569","467315","5318","NA","Sternberg Task","4","16085","10","yes","1024"
