"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction_1","correct_Keyboard_Response","correct_response","count_Correct_Feedback","count_Experimental_Loop","count_Fixation","count_ISI","count_Incorrect_Feedback","count_Instruction_1","count_Instructions_2","count_Instructions_3_Thanks","count_Keyboard_Response","count_Logger","count_Memory_Set","count_Practice_Loop","count_Probe","count_expSequence","count_experiment","count_new_sketchpad","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Practice_Loop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Incorrect_Feedback","response_Instruction_1","response_Instructions_2","response_Instructions_3_Thanks","response_Keyboard_Response","response_new_sketchpad","response_time","response_time_Incorrect_Feedback","response_time_Instruction_1","response_time_Instructions_2","response_time_Instructions_3_Thanks","response_time_Keyboard_Response","response_time_new_sketchpad","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_Correct_Feedback","time_Experimental_Loop","time_Fixation","time_ISI","time_Incorrect_Feedback","time_Instruction_1","time_Instructions_2","time_Instructions_3_Thanks","time_Keyboard_Response","time_Logger","time_Memory_Set","time_Practice_Loop","time_Probe","time_expSequence","time_experiment","time_new_sketchpad","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","781","781","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","Sun Oct 25 19:04:45 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/jacobspurling/Desktop/KS-subject-3.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.5","0","n","0","right","NA","left","NA","NA","right","NA","781","NA","2922","NA","NA","781","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","NA","NA","7972","10204","NA","4609","NA","NA","12217","13000","8988","7560","12217","7959","4586","NA","Sternberg Task","1","781","1","yes","1024"
"100","100","813","813","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","1","0","1","1","1","0","0","0","1","1","1","0","1","1","0","NA","Sun Oct 25 19:04:45 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/jacobspurling/Desktop/KS-subject-3.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.5","0","n","0","right","NA","left","NA","NA","right","NA","845","NA","2922","NA","NA","845","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","13073","NA","14222","16455","NA","4609","NA","NA","18469","19316","15238","7560","18469","14210","4586","NA","Sternberg Task","2","1626","2","yes","1024"
"100","100","800.6666666666666","800.6666666666666","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","0","2","2","2","0","0","0","2","2","2","0","2","2","0","NA","Sun Oct 25 19:04:45 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/jacobspurling/Desktop/KS-subject-3.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.5","3","y","0","left","NA","left","NA","NA","left","NA","776","NA","2922","NA","NA","776","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","4","19342","NA","20448","22681","NA","4609","NA","NA","24694","25471","21464","7560","24694","20436","4586","NA","Sternberg Task","3","2402","3","yes","1024"
"100","100","744.5","744.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","0","3","3","3","0","0","0","3","3","3","0","3","3","0","NA","Sun Oct 25 19:04:45 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/jacobspurling/Desktop/KS-subject-3.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.5","0","n","0","right","NA","left","NA","NA","right","NA","576","NA","2922","NA","NA","576","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","25497","NA","26607","28838","NA","4609","NA","NA","30851","31428","27621","7560","30851","26595","4586","NA","Sternberg Task","4","2978","4","yes","1024"
"100","100","687.4","687.4","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","0","4","4","4","0","0","0","4","4","4","0","4","4","0","NA","Sun Oct 25 19:04:45 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/jacobspurling/Desktop/KS-subject-3.csv","legacy","6","Lentiform Loewenfeld","3.3.5","1","y","0","left","NA","left","NA","NA","left","NA","459","NA","2922","NA","NA","459","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","31454","NA","32577","34809","NA","4609","NA","NA","36824","37285","33592","7560","36824","32561","4586","NA","Sternberg Task","5","3437","5","yes","1024"
"100","100","663.8333333333334","663.8333333333334","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","0","5","5","5","0","0","0","5","5","5","0","5","5","0","NA","Sun Oct 25 19:04:45 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/jacobspurling/Desktop/KS-subject-3.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.5","0","n","0","right","NA","left","NA","NA","right","NA","546","NA","2922","NA","NA","546","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","2","37312","NA","38430","40662","NA","4609","NA","NA","42677","43225","39444","7560","42676","38413","4586","NA","Sternberg Task","6","3983","6","yes","1024"
"100","100","650.2857142857143","650.2857142857143","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","0","6","6","6","0","0","0","6","6","6","0","6","6","0","NA","Sun Oct 25 19:04:45 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/jacobspurling/Desktop/KS-subject-3.csv","legacy","2 1","Lentiform Loewenfeld","3.3.5","0","n","0","right","NA","left","NA","NA","right","NA","569","NA","2922","NA","NA","569","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","5","43249","NA","44358","46590","NA","4609","NA","NA","48604","49175","45372","7560","48603","44346","4586","NA","Sternberg Task","7","4552","7","yes","1024"
"100","100","646.75","646.75","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","0","7","7","7","0","0","0","7","7","7","0","7","7","0","NA","Sun Oct 25 19:04:45 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/jacobspurling/Desktop/KS-subject-3.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.5","1","y","0","left","NA","left","NA","NA","left","NA","622","NA","2922","NA","NA","622","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","49190","NA","50296","52527","NA","4609","NA","NA","54541","55164","51311","7560","54541","50284","4586","NA","Sternberg Task","8","5174","8","yes","1024"
"100","100","630.7777777777778","630.7777777777778","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","0","8","8","8","0","0","0","8","8","8","0","8","8","0","NA","Sun Oct 25 19:04:45 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/jacobspurling/Desktop/KS-subject-3.csv","legacy","4 8","Lentiform Loewenfeld","3.3.5","1","y","0","left","NA","left","NA","NA","left","NA","503","NA","2922","NA","NA","503","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","4","55192","NA","56297","58528","NA","4609","NA","NA","60542","61047","57312","7560","60542","56284","4586","NA","Sternberg Task","9","5677","9","yes","1024"
"100","100","618.3","618.3","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","0","9","9","9","0","0","0","9","9","9","0","9","9","0","NA","Sun Oct 25 19:04:45 2020","The main experiment item","yes","SternbergTask (1).osexp","/Users/jacobspurling/Downloads","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/jacobspurling/Desktop/KS-subject-3.csv","legacy","5","Lentiform Loewenfeld","3.3.5","0","n","0","right","NA","left","NA","NA","right","NA","506","NA","2922","NA","NA","506","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","61072","NA","62177","64406","NA","4609","NA","NA","66422","66930","63190","7560","66422","62164","4586","NA","Sternberg Task","10","6183","10","yes","1024"
