"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_new_keyboard_response","correct_response","count_ISI","count_PracticeLoop","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instruction2","count_logger","count_memorySet","count_new_keyboard_response","count_new_sketchpad_1","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instruction2","response_new_keyboard_response","response_new_sketchpad_1","response_thankYou","response_time","response_time_instruction1","response_time_instruction2","response_time_new_keyboard_response","response_time_new_sketchpad_1","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_PracticeLoop","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instruction2","time_logger","time_memorySet","time_new_keyboard_response","time_new_sketchpad_1","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","716","716","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","0","Mon Oct 11 20:46:27 2021","The main experiment item","yes","Sternbergtask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AWV-subject-1.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.9","1","y","0","left","left","NA","left","NA","NA","716","27620","NA","716","NA","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","32668","29939","NA","30463","2306","NA","30465","NA","2318","NA","35385","31466","34669","NA","34669","NA","Sternberg task","1","716","1","yes","1024"
"100","100","703.5","703.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","0","1","1","0","0","1","1","0","0","1","1","1","NA","1","0","Mon Oct 11 20:46:27 2021","The main experiment item","yes","Sternbergtask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AWV-subject-1.csv","legacy","4 8","Lentiform Loewenfeld","3.3.9","1","y","0","left","left","NA","left","NA","NA","691","27620","NA","691","NA","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","38690","29939","35419","36486","2306","NA","36487","NA","2318","NA","41385","37488","40694","NA","40694","NA","Sternberg task","2","1407","2","yes","1024"
"100","100","667.3333333333334","667.3333333333334","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","0","2","2","0","0","2","2","0","0","2","2","2","NA","2","0","Mon Oct 11 20:46:27 2021","The main experiment item","yes","Sternbergtask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AWV-subject-1.csv","legacy","6","Lentiform Loewenfeld","3.3.9","1","y","0","left","left","NA","left","NA","NA","595","27620","NA","595","NA","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","44669","29939","41390","42458","2306","NA","42460","NA","2318","NA","47267","43464","46671","NA","46671","NA","Sternberg task","3","2002","3","yes","1024"
"100","100","694","694","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","0","3","3","0","0","3","3","0","0","3","3","3","NA","3","0","Mon Oct 11 20:46:27 2021","The main experiment item","yes","Sternbergtask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AWV-subject-1.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.9","0","n","0","right","left","NA","right","NA","NA","774","27620","NA","774","NA","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","50550","29939","47272","48342","2306","NA","48344","NA","2318","NA","53326","49345","52551","NA","52551","NA","Sternberg task","4","2776","4","yes","1024"
"100","100","811.6","811.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","0","4","4","0","0","4","4","0","0","4","4","4","NA","4","0","Mon Oct 11 20:46:27 2021","The main experiment item","yes","Sternbergtask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AWV-subject-1.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.9","4","y","0","left","left","NA","left","NA","NA","1282","27620","NA","1282","NA","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","56610","29939","53329","54398","2306","NA","54401","NA","2318","NA","59894","55406","58611","NA","58611","NA","Sternberg task","5","4058","5","yes","1024"
"100","100","831.3333333333334","831.3333333333334","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","0","5","5","0","0","5","5","0","0","5","5","5","NA","5","0","Mon Oct 11 20:46:27 2021","The main experiment item","yes","Sternbergtask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AWV-subject-1.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.9","2","y","0","left","left","NA","left","NA","NA","930","27620","NA","930","NA","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","63174","29939","59899","60969","2306","NA","60971","NA","2318","NA","66105","61972","65175","NA","65175","NA","Sternberg task","6","4988","6","yes","1024"
"100","100","789.2857142857143","789.2857142857143","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","0","6","6","0","0","6","6","0","0","6","6","6","NA","6","0","Mon Oct 11 20:46:27 2021","The main experiment item","yes","Sternbergtask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AWV-subject-1.csv","legacy","2 1","Lentiform Loewenfeld","3.3.9","0","n","0","right","left","NA","right","NA","NA","537","27620","NA","537","NA","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","69388","29939","66110","67184","2306","NA","67186","NA","2318","NA","71926","68187","71389","NA","71389","NA","Sternberg task","7","5525","7","yes","1024"
"100","100","803.125","803.125","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","0","7","7","0","0","7","7","0","0","7","7","7","NA","7","0","Mon Oct 11 20:46:27 2021","The main experiment item","yes","Sternbergtask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AWV-subject-1.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.9","3","y","0","left","left","NA","left","NA","NA","900","27620","NA","900","NA","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","75216","29939","71944","73013","2306","NA","73014","NA","2318","NA","78118","74015","77218","NA","77218","NA","Sternberg task","8","6425","8","yes","1024"
"100","100","786.1111111111111","786.1111111111111","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","0","8","8","0","0","8","8","0","0","8","8","8","NA","8","0","Mon Oct 11 20:46:27 2021","The main experiment item","yes","Sternbergtask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AWV-subject-1.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.9","0","n","0","right","left","NA","right","NA","NA","650","27620","NA","650","NA","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","81394","29939","78123","79191","2306","NA","79192","NA","2318","NA","84045","80193","83395","NA","83395","NA","Sternberg task","9","7075","9","yes","1024"
"100","100","785.1","785.1","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","0","9","9","0","0","9","9","0","0","9","9","9","NA","9","0","Mon Oct 11 20:46:27 2021","The main experiment item","yes","Sternbergtask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/AWV-subject-1.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.9","0","n","0","right","left","NA","right","NA","NA","776","27620","NA","776","NA","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","87327","29939","84050","85120","2306","NA","85121","NA","2318","NA","90105","86123","89329","NA","89329","NA","Sternberg task","10","7851","10","yes","1024"
