acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_getting_started,count_incorrectFeedback,count_instruction1,count_instructions2,count_keyboard_response,count_logger,count_memorySet,count_practiceLoop,count_probe,count_thankYou,count_welcome,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_getting_started,time_incorrectFeedback,time_instruction1,time_instructions2,time_keyboard_response,time_logger,time_memorySet,time_practiceLoop,time_probe,time_thankYou,time_welcome,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1644,1644,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,Sun Oct 27 11:21:15 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/danielrazo0311/Desktop/subject-2.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,left,NA,left,NA,1644,7068,NA,1644,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,8,19200,NA,16949,6301,NA,16965,NA,NA,6356,NA,21212,22858,17985,13439,21212,NA,NA,Sternberg task,1,1644,1,yes,1024
100,100,1169.5,1169.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,1,1,1,0,0,1,NA,1,0,0,1,1,1,0,1,0,NA,Sun Oct 27 11:21:15 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/danielrazo0311/Desktop/subject-2.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,695,7068,NA,695,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,4,26371,22970,24129,6301,NA,24142,NA,NA,6356,NA,28385,29082,25154,13439,28385,NA,NA,Sternberg task,2,2339,2,yes,1024
100,100,996,996,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,2,2,2,0,0,2,NA,2,0,0,2,2,2,0,2,0,NA,Sun Oct 27 11:21:15 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/danielrazo0311/Desktop/subject-2.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,649,7068,NA,649,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,5,32490,29097,30247,6301,NA,30261,NA,NA,6356,NA,34503,35154,31275,13439,34502,NA,NA,Sternberg task,3,2988,3,yes,1024
100,100,936.5,936.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,3,3,3,0,0,3,NA,3,0,0,3,3,3,0,3,0,NA,Sun Oct 27 11:21:15 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/danielrazo0311/Desktop/subject-2.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,758,7068,NA,758,NA,2,legacy,1,1024,2,48000,-16,experiment,2,even,3,38558,35169,36314,6301,NA,36327,NA,NA,6356,NA,40570,41330,37343,13439,40570,NA,NA,Sternberg task,4,3746,4,yes,1024
100,100,893.4,893.4,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,4,4,4,0,0,4,NA,4,0,0,4,4,4,0,4,0,NA,Sun Oct 27 11:21:15 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/danielrazo0311/Desktop/subject-2.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,left,NA,left,NA,721,7068,NA,721,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,5,44736,41346,42493,6301,NA,42505,NA,NA,6356,NA,46750,47473,43520,13439,46750,NA,NA,Sternberg task,5,4467,5,yes,1024
100,100,945.3333333,945.3333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,5,5,5,0,0,5,NA,5,0,0,5,5,5,0,5,0,NA,Sun Oct 27 11:21:15 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/danielrazo0311/Desktop/subject-2.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,1205,7068,NA,1205,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,3,50938,47532,48691,6301,NA,48703,NA,NA,6356,NA,52954,54162,49719,13439,52954,NA,NA,Sternberg task,6,5672,6,yes,1024
100,100,962.4285714,962.4285714,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,6,6,6,0,0,6,NA,6,0,0,6,6,6,0,6,0,NA,Sun Oct 27 11:21:15 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/danielrazo0311/Desktop/subject-2.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,1065,7068,NA,1065,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,6,57585,54177,55345,6301,NA,55357,NA,NA,6356,NA,59598,60666,56371,13439,59598,NA,NA,Sternberg task,7,6737,7,yes,1024
100,100,929.5,929.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,7,7,7,0,0,7,NA,7,0,0,7,7,7,0,7,0,NA,Sun Oct 27 11:21:15 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/danielrazo0311/Desktop/subject-2.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,699,7068,NA,699,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,4,64118,60686,61875,6301,NA,61889,NA,NA,6356,NA,66132,66834,62905,13439,66132,NA,NA,Sternberg task,8,7436,8,yes,1024
100,100,898.1111111,898.1111111,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,8,8,8,0,0,8,NA,8,0,0,8,8,8,0,8,0,NA,Sun Oct 27 11:21:15 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/danielrazo0311/Desktop/subject-2.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,left,NA,left,NA,647,7068,NA,647,NA,2,legacy,1,1024,2,48000,-16,experiment,2,even,6,70237,66852,67999,6301,NA,68010,NA,NA,6356,NA,72249,72898,69024,13439,72249,NA,NA,Sternberg task,9,8083,9,yes,1024
100,100,886.5,886.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,9,9,9,0,0,9,NA,9,0,0,9,9,9,0,9,0,NA,Sun Oct 27 11:21:15 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/danielrazo0311/Desktop/subject-2.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,782,7068,NA,782,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,2,76309,72913,74070,6301,NA,74082,NA,NA,6356,NA,78321,79105,75095,13439,78321,NA,NA,Sternberg task,10,8865,10,yes,1024
100,100,860.3636364,860.3636364,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,10,10,10,0,0,10,NA,10,0,0,10,10,10,0,10,0,NA,Sun Oct 27 11:21:15 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,10,10,/Users/danielrazo0311/Desktop/subject-2.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,right,NA,599,7068,NA,599,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,6,82507,79119,80267,6301,NA,80279,NA,NA,6356,NA,84520,85121,81292,13439,84520,NA,NA,Sternberg task,11,9464,11,yes,1024
100,100,904.3333333,904.3333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,11,11,11,0,0,11,NA,11,0,0,11,11,11,0,11,0,NA,Sun Oct 27 11:21:15 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,11,11,/Users/danielrazo0311/Desktop/subject-2.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,left,left,NA,left,NA,1388,7068,NA,1388,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,4,88527,85139,86285,6301,NA,86297,NA,NA,6356,NA,90540,91930,87311,13439,90539,NA,NA,Sternberg task,12,10852,12,yes,1024
100,100,883.6923077,883.6923077,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,12,12,12,0,0,12,NA,12,0,0,12,12,12,0,12,0,NA,Sun Oct 27 11:21:15 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,11,/Users/danielrazo0311/Desktop/subject-2.csv,legacy,4 1 8 7 5,Kafkaesque Koffka,3.2.8,3,y,0,left,left,left,left,NA,636,7068,6072,636,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,8,101493,91951,99253,6301,99073,99265,NA,NA,6356,92998,103506,104144,100279,13439,103506,NA,NA,Sternberg task,13,11488,13,yes,1024
100,100,873,873,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,13,13,13,0,0,13,NA,13,0,0,13,13,13,0,13,0,NA,Sun Oct 27 11:21:15 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,11,/Users/danielrazo0311/Desktop/subject-2.csv,legacy,3 9 8 1 6 4,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,right,NA,734,7068,6072,734,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,7,107546,104159,105305,6301,99073,105318,NA,NA,6356,92998,109560,110296,106330,13439,109559,NA,NA,Sternberg task,14,12222,14,yes,1024
100,100,871.8,871.8,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,14,14,14,0,0,14,NA,14,0,0,14,14,14,0,14,0,NA,Sun Oct 27 11:21:15 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,11,/Users/danielrazo0311/Desktop/subject-2.csv,legacy,5 2 9 6 1 7,Kafkaesque Koffka,3.2.8,3,y,0,left,left,left,left,NA,855,7068,6072,855,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,9,113713,110322,111473,6301,99073,111485,NA,NA,6356,92998,115727,116584,112498,13439,115726,NA,NA,Sternberg task,15,13077,15,yes,1024
100,100,853.0625,853.0625,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,15,15,15,0,0,15,NA,15,0,0,15,15,15,0,15,0,NA,Sun Oct 27 11:21:15 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,11,/Users/danielrazo0311/Desktop/subject-2.csv,legacy,3 4 2,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,right,NA,572,7068,6072,572,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,5,120001,116609,117756,6301,99073,117769,NA,NA,6356,92998,122018,122592,118784,13439,122018,NA,NA,Sternberg task,16,13649,16,yes,1024
100,100,839.1176471,839.1176471,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,16,16,16,0,0,16,NA,16,0,0,16,16,16,0,16,0,NA,Sun Oct 27 11:21:15 2019,The main experiment item,yes,Sternbergtask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,11,/Users/danielrazo0311/Desktop/subject-2.csv,legacy,7 8 4 6 9 5,Kafkaesque Koffka,3.2.8,4,y,0,left,left,left,left,NA,616,7068,6072,616,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,6,126007,122608,123761,6301,99073,123777,NA,NA,6356,92998,128021,128640,124792,13439,128020,NA,NA,Sternberg task,17,14265,17,yes,1024
