"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1","correct_new_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_experiment","count_experimentLoop","count_expsequence","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_memoryset","count_new_keyboard_response","count_new_logger","count_practiceLoop","count_probe","count_thankyou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_new_keyboard_response","response_thankyou","response_time","response_time_instruction1","response_time_instructions2","response_time_new_keyboard_response","response_time_thankyou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_experiment","time_experimentLoop","time_expsequence","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_memoryset","time_new_keyboard_response","time_new_logger","time_practiceLoop","time_probe","time_thankyou","title","total_correct","total_response_time","total_responses","width"
"100","100","461","461","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","0","0","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","6","Melodramatic Milgram","4.0.5","1","y","0","left","left","NA","left","NA","461.0","394","NA","461","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","6","7975","NA","4808","NA","5772","5773","NA","4814","NA","6774","9977","10438","5209","9976","NA","Sternberg Task","1","461.0","1","1024"
"100","100","529","529","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","1","1","0","0","1","1","1","0","0","1","1","1","0","1","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","1","1","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","4 1 5","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","597.0","394","NA","597","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","13728","10482","4808","NA","11526","11527","NA","4814","NA","12527","15728","16325","5209","15728","NA","Sternberg Task","2","1058.0","2","1024"
"100","100","505","505","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","2","2","0","0","2","2","2","0","0","2","2","2","0","2","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","2","2","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","4 8","Melodramatic Milgram","4.0.5","1","y","0","left","left","NA","left","NA","457.0","394","NA","457","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","4","19569","16328","4808","NA","17366","17367","NA","4814","NA","18368","21570","22028","5209","21570","NA","Sternberg Task","3","1515.0","3","1024"
"100","100","636","636","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","3","3","0","0","3","3","3","0","0","3","3","3","0","3","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","3","3","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","1 7 9 8 5","Melodramatic Milgram","4.0.5","4","y","0","left","left","NA","left","NA","1032.0","394","NA","1032","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","8","25295","22037","4808","NA","23093","23094","NA","4814","NA","24094","27297","28329","5209","27296","NA","Sternberg Task","4","2547.0","4","1024"
"100","100","605","605","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","4","4","0","0","4","4","4","0","0","4","4","4","0","4","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","4","4","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","1 5 2 9","Melodramatic Milgram","4.0.5","2","y","0","left","left","NA","left","NA","480.0","394","NA","480","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","5","31578","28337","4808","NA","29375","29377","NA","4814","NA","30377","33579","34059","5209","33579","NA","Sternberg Task","5","3027.0","5","1024"
"100","100","590","590","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","5","5","0","0","5","5","5","0","0","5","5","5","0","5","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","5","5","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","2 1","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","514.0","394","NA","514","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","5","37316","34062","4808","NA","35114","35115","NA","4814","NA","36115","39316","39830","5209","39316","NA","Sternberg Task","6","3541.0","6","1024"
"100","100","589","589","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","6","6","0","0","6","6","6","0","0","6","6","6","0","6","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","6","6","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","2 9 4","Melodramatic Milgram","4.0.5","3","y","0","left","left","NA","left","NA","587.0","394","NA","587","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","4","43103","39838","4808","NA","40900","40901","NA","4814","NA","41902","45104","45691","5209","45104","NA","Sternberg Task","7","4128.0","7","1024"
"100","100","593","593","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","7","7","0","0","7","7","7","0","0","7","7","7","0","7","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","7","7","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","5 7 8 4 1 2","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","622.0","394","NA","622","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","48958","45699","4808","NA","46756","46757","NA","4814","NA","47757","50958","51580","5209","50958","NA","Sternberg Task","8","4750.0","8","1024"
"100","100","635","635","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","8","8","0","0","8","8","8","0","0","8","8","8","0","8","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","8","8","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","9 6 7 4 5","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","965.0","394","NA","965","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","3","54830","51588","4808","NA","52628","52629","NA","4814","NA","53629","56830","57796","5209","56830","NA","Sternberg Task","9","5715.0","9","1024"
"90","90","583","583","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","9","9","0","0","9","9","9","0","0","9","9","9","0","9","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","9","9","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","3 1 9 4","Melodramatic Milgram","4.0.5","0","n","0","left","left","NA","left","NA","121.0","394","NA","121","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","6","61055","57801","4808","NA","58853","58854","NA","4814","NA","59854","63055","63177","5209","63055","NA","Sternberg Task","9","5836.0","10","1024"
