acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instructions1,correct_new_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instructions1,count_instructions2,count_logger,count_memorySet,count_new_keyboard_response,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instructions1,response_instructions2,response_new_keyboard_response,response_thankYou,response_time,response_time_instructions1,response_time_instructions2,response_time_new_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instructions1,time_instructions2,time_logger,time_memorySet,time_new_keyboard_response,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,1080,1080,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/14/19 13:24,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-1.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,right,right,NA,right,NA,1080,24703,NA,1080,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,4,30155,NA,27950,2758,NA,27953,NA,2765,NA,33236,28954,32156,27468,32156,NA,Sternberg task,0,1080,1,yes,1024
50,50,846,846,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,10/14/19 13:24,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-1.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,612,24703,NA,612,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,4,36587,NA,34383,2758,NA,34385,33308,2765,NA,39201,35386,38588,27468,38588,NA,Sternberg task,1,1692,2,yes,1024
66.66666667,66.66666667,795.3333333,795.3333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,2,2,2,0,0,2,2,0,0,2,2,2,0,2,0,10/14/19 13:24,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-1.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,right,NA,left,NA,694,24703,NA,694,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,5,42484,39208,40279,2758,NA,40281,33308,2765,NA,45180,41282,44485,27468,44485,NA,Sternberg task,2,2386,3,yes,1024
50,50,851.25,851.25,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,3,3,3,0,0,3,3,0,0,3,3,3,0,3,0,10/14/19 13:24,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-1.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,right,right,NA,right,NA,1019,24703,NA,1019,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,8,48463,45187,46259,2758,NA,46261,33308,2765,NA,51484,47262,50464,27468,50464,NA,Sternberg task,2,3405,4,yes,1024
60,60,795.4,795.4,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,4,4,4,0,0,4,4,0,0,4,4,4,0,4,0,10/14/19 13:24,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-1.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,572,24703,NA,572,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,4,54769,45187,52565,2758,NA,52567,51490,2765,NA,57343,53568,56770,27468,56770,NA,Sternberg task,3,3977,5,yes,1024
66.66666667,66.66666667,759.3333333,759.3333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,5,5,5,0,0,5,5,0,0,5,5,5,0,5,0,10/14/19 13:24,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-1.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,579,24703,NA,579,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,3,60623,57350,58420,2758,NA,58421,51490,2765,NA,63203,59422,62624,27468,62624,NA,Sternberg task,4,4556,6,yes,1024
71.42857143,71.42857143,733,733,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,6,6,6,0,0,6,6,0,0,6,6,6,0,6,0,10/14/19 13:24,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-1.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,575,24703,NA,575,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,6,66485,63210,64281,2758,NA,64283,51490,2765,NA,69061,65284,68486,27468,68486,NA,Sternberg task,5,5131,7,yes,1024
75,75,700.625,700.625,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,7,7,7,0,0,7,7,0,0,7,7,7,0,7,0,10/14/19 13:24,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-1.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,474,24703,NA,474,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,5,72344,69069,70140,2758,NA,70141,51490,2765,NA,74818,71142,74344,27468,74344,NA,Sternberg task,6,5605,8,yes,1024
77.77777778,77.77777778,673.1111111,673.1111111,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,8,8,8,0,0,8,8,0,0,8,8,8,0,8,0,10/14/19 13:24,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-1.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,453,24703,NA,453,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,6,78100,74826,75897,2758,NA,75898,51490,2765,NA,80554,76899,80101,27468,80101,NA,Sternberg task,7,6058,9,yes,1024
80,80,668.4,668.4,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,9,9,9,0,0,9,9,0,0,9,9,9,0,9,0,10/14/19 13:24,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-1.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,626,24703,NA,626,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,3,83836,80562,81632,2758,NA,81634,51490,2765,NA,86463,82635,85837,27468,85837,NA,Sternberg task,8,6684,10,yes,1024
81.81818182,81.81818182,651.4545455,651.4545455,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,10,10,10,0,0,10,10,0,0,10,10,10,0,10,0,10/14/19 13:24,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,10,10,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-1.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,482,24703,NA,482,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,2,89745,86471,87541,2758,NA,87543,51490,2765,NA,92229,88544,91746,27468,91746,NA,Sternberg task,9,7166,11,yes,1024
83.33333333,83.33333333,660.3333333,660.3333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,11,11,11,0,0,11,11,0,0,11,11,11,0,11,0,10/14/19 13:24,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-1.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,758,24703,NA,758,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,6,95513,92236,93310,2758,NA,93311,51490,2765,NA,98272,94312,97514,27468,97514,NA,Sternberg task,10,7924,12,yes,1024
84.61538462,84.61538462,654.6923077,654.6923077,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,12,12,12,0,0,12,12,0,0,12,12,12,0,12,0,10/14/19 13:24,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,0,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-1.csv,legacy,8 5 7 3 6,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,587,24703,13767,587,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,9,115351,98280,113147,2758,113062,113149,51490,2765,99294,117939,114150,117352,27468,117352,NA,Sternberg task,11,8511,13,yes,1024
85.71428571,85.71428571,651.5714286,651.5714286,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,13,13,13,0,0,13,13,0,0,13,13,13,0,13,0,10/14/19 13:24,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,1,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-1.csv,legacy,2 4 8 5 1 3,Kafkaesque Koffka,3.2.8,1,y,0,left,right,right,left,NA,611,24703,13767,611,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,2,121239,117947,119035,2758,113062,119037,51490,2765,99294,123852,120038,123240,27468,123240,NA,Sternberg task,12,9122,14,yes,1024
86.66666667,86.66666667,644.0666667,644.0666667,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,14,14,14,0,0,14,14,0,0,14,14,14,0,14,0,10/14/19 13:24,The main experiment item,yes,Sternbergtask.osexp,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1,no,mono,no,18,no,white,no,yes,768,legacy,2,11,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/lab 3.1/BR-subject-1.csv,legacy,8 9,Kafkaesque Koffka,3.2.8,0,n,0,right,right,right,right,NA,539,24703,13767,539,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,5,127134,123860,124930,2758,113062,124932,51490,2765,99294,129674,125933,129135,27468,129135,NA,Sternberg task,13,9661,15,yes,1024
