"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_new_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_logger","count_memorySet","count_new_keyboard_response","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_new_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_new_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_logger","time_memorySet","time_new_keyboard_response","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","872","872","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Oct 25 19:22:56 2020","The main experiment item","yes","Sternbergtask oct 19.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/shelia/Desktop/ST subject-4 Oct 25.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","right","right","NA","right","NA","872","25894","NA","872","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","4","31079","NA","28822","2621","NA","28835","NA","2636","NA","33971","29856","33099","28545","33099","NA","Sternberg task","0","872","1","yes","1024"
"50","50","699.5","699.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Sun Oct 25 19:22:56 2020","The main experiment item","yes","Sternbergtask oct 19.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/shelia/Desktop/ST subject-4 Oct 25.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","527","25894","NA","527","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","37354","NA","35090","2621","NA","35103","34012","2636","NA","39900","36126","39373","28545","39373","NA","Sternberg task","1","1399","2","yes","1024"
"66.66666666666667","66.66666666666667","718.3333333333334","718.3333333333334","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Sun Oct 25 19:22:56 2020","The main experiment item","yes","Sternbergtask oct 19.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/shelia/Desktop/ST subject-4 Oct 25.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","left","right","NA","left","NA","756","25894","NA","756","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","8","43234","39916","40978","2621","NA","40991","34012","2636","NA","46014","42011","45258","28545","45258","NA","Sternberg task","2","2155","3","yes","1024"
"75","75","668.25","668.25","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Sun Oct 25 19:22:56 2020","The main experiment item","yes","Sternbergtask oct 19.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/shelia/Desktop/ST subject-4 Oct 25.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","518","25894","NA","518","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","6","49350","46029","47093","2621","NA","47106","34012","2636","NA","51888","48126","51369","28545","51369","NA","Sternberg task","3","2673","4","yes","1024"
"80","80","657.6","657.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Sun Oct 25 19:22:56 2020","The main experiment item","yes","Sternbergtask oct 19.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/shelia/Desktop/ST subject-4 Oct 25.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","615","25894","NA","615","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","55224","51903","52966","2621","NA","52979","34012","2636","NA","57859","53999","57243","28545","57243","NA","Sternberg task","4","3288","5","yes","1024"
"83.33333333333333","83.33333333333333","737.3333333333334","737.3333333333334","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Sun Oct 25 19:22:56 2020","The main experiment item","yes","Sternbergtask oct 19.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/shelia/Desktop/ST subject-4 Oct 25.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","1136","25894","NA","1136","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","3","61196","57876","58937","2621","NA","58952","34012","2636","NA","64352","59974","63216","28545","63216","NA","Sternberg task","5","4424","6","yes","1024"
"85.71428571428571","85.71428571428571","702.2857142857143","702.2857142857143","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Sun Oct 25 19:22:56 2020","The main experiment item","yes","Sternbergtask oct 19.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/shelia/Desktop/ST subject-4 Oct 25.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","492","25894","NA","492","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","4","67686","64367","65429","2621","NA","65442","34012","2636","NA","70199","66462","69706","28545","69706","NA","Sternberg task","6","4916","7","yes","1024"
"87.5","87.5","681.625","681.625","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Sun Oct 25 19:22:56 2020","The main experiment item","yes","Sternbergtask oct 19.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/shelia/Desktop/ST subject-4 Oct 25.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","537","25894","NA","537","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","6","73534","70214","71277","2621","NA","71290","34012","2636","NA","76091","72311","75553","28545","75553","NA","Sternberg task","7","5453","8","yes","1024"
"77.77777777777777","77.77777777777777","692.5555555555555","692.5555555555555","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Sun Oct 25 19:22:56 2020","The main experiment item","yes","Sternbergtask oct 19.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/shelia/Desktop/ST subject-4 Oct 25.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","left","right","NA","left","NA","780","25894","NA","780","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","3","79428","76106","77169","2621","NA","77184","34012","2636","NA","82229","78205","81448","28545","81448","NA","Sternberg task","7","6233","9","yes","1024"
"80","80","685.2","685.2","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Sun Oct 25 19:22:56 2020","The main experiment item","yes","Sternbergtask oct 19.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/shelia/Desktop/ST subject-4 Oct 25.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","left","right","NA","left","NA","619","25894","NA","619","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","5","85564","76106","83307","2621","NA","83320","82244","2636","NA","88202","84341","87583","28545","87583","NA","Sternberg task","8","6852","10","yes","1024"
