"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_ISI","count_Instructions1","count_Practiceloop","count_closing","count_correctFeedback","count_experiment","count_experimentalLoop","count_expsequence","count_fixation","count_incorrectFeedback","count_instructions2","count_keyboard_response","count_logger","count_memoryset","count_probe","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Practiceloop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","psychopy_suppress_warnings","repeat_cycle","response","response_Instructions1","response_closing","response_instructions2","response_keyboard_response","response_time","response_time_Instructions1","response_time_closing","response_time_instructions2","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_Instructions1","time_Practiceloop","time_closing","time_correctFeedback","time_experiment","time_experimentalLoop","time_expsequence","time_fixation","time_incorrectFeedback","time_instructions2","time_keyboard_response","time_logger","time_memoryset","time_probe","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","622","622","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/17/20 22:30:50","The main experiment item","yes","SternbergTask.osexp","C:/Users/User/Desktop/Quant 2020","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/subject-1.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","NA","NA","right","622","21545","NA","NA","622","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","26714","1905","23452","NA","NA","1900","NA","24498","24501","NA","NA","28721","29343","25508","28720","Sternberg Task","1","622","1","yes","1024"
"100","100","733","733","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","0","0","0","1","0","0","1","1","1","0","1","1","1","1","10/17/20 22:30:50","The main experiment item","yes","SternbergTask.osexp","C:/Users/User/Desktop/Quant 2020","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/subject-1.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","yes","0","left","right","NA","NA","left","844","21545","NA","NA","844","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","32783","1905","23452","NA","29422","1900","NA","30568","30571","NA","NA","34789","35633","31577","34788","Sternberg Task","2","1466","2","yes","1024"
"100","100","686","686","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","0","0","0","2","0","0","2","2","2","0","2","2","2","2","10/17/20 22:30:50","The main experiment item","yes","SternbergTask.osexp","C:/Users/User/Desktop/Quant 2020","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/subject-1.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","NA","NA","right","592","21545","NA","NA","592","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","38994","1905","23452","NA","35638","1900","NA","36779","36782","NA","NA","41002","41594","37787","41001","Sternberg Task","3","2058","3","yes","1024"
"100","100","797.5","797.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","3","0","0","0","3","0","0","3","3","3","0","3","3","3","3","10/17/20 22:30:50","The main experiment item","yes","SternbergTask.osexp","C:/Users/User/Desktop/Quant 2020","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/subject-1.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","yes","0","left","right","NA","NA","left","1132","21545","NA","NA","1132","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","44953","1905","23452","NA","41600","1900","NA","42739","42741","NA","NA","46960","48093","43747","46959","Sternberg Task","4","3190","4","yes","1024"
"100","100","841.4","841.4","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","0","0","0","4","0","0","4","4","4","0","4","4","4","4","10/17/20 22:30:50","The main experiment item","yes","SternbergTask.osexp","C:/Users/User/Desktop/Quant 2020","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/subject-1.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","yes","0","left","right","NA","NA","left","1017","21545","NA","NA","1017","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","51467","1905","23452","NA","48099","1900","NA","49253","49255","NA","NA","53474","54491","50261","53473","Sternberg Task","5","4207","5","yes","1024"
"100","100","893","893","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","0","0","0","5","0","0","5","5","5","0","5","5","5","5","10/17/20 22:30:50","The main experiment item","yes","SternbergTask.osexp","C:/Users/User/Desktop/Quant 2020","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/subject-1.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","NA","NA","right","1151","21545","NA","NA","1151","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","57855","1905","23452","NA","54497","1900","NA","55642","55644","NA","NA","59861","61013","56650","59861","Sternberg Task","6","5358","6","yes","1024"
"100","100","889.285714286","889.285714286","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","0","0","0","6","0","0","6","6","6","0","6","6","6","6","10/17/20 22:30:50","The main experiment item","yes","SternbergTask.osexp","C:/Users/User/Desktop/Quant 2020","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/subject-1.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","yes","0","left","right","NA","NA","left","867","21545","NA","NA","867","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","64363","1905","23452","NA","61018","1900","NA","62149","62151","NA","NA","66371","67239","63157","66370","Sternberg Task","7","6225","7","yes","1024"
"100","100","883.875","883.875","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","0","0","0","7","0","0","7","7","7","0","7","7","7","7","10/17/20 22:30:50","The main experiment item","yes","SternbergTask.osexp","C:/Users/User/Desktop/Quant 2020","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/subject-1.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","NA","NA","right","846","21545","NA","NA","846","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","70598","1905","23452","NA","67244","1900","NA","68384","68386","NA","NA","72605","73452","69391","72604","Sternberg Task","8","7071","8","yes","1024"
"100","100","855.555555556","855.555555556","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","0","0","0","8","0","0","8","8","8","0","8","8","8","8","10/17/20 22:30:50","The main experiment item","yes","SternbergTask.osexp","C:/Users/User/Desktop/Quant 2020","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/subject-1.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","yes","0","right","right","NA","NA","right","629","21545","NA","NA","629","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","76807","1905","23452","NA","73457","1900","NA","74593","74595","NA","NA","78813","79442","75601","78813","Sternberg Task","9","7700","9","yes","1024"
"100","100","879.2","879.2","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","0","0","0","9","0","0","9","9","9","0","9","9","9","9","10/17/20 22:30:50","The main experiment item","yes","SternbergTask.osexp","C:/Users/User/Desktop/Quant 2020","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/User/Desktop/Quant 2020/Sternberg Task 3/subject-1.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","yes","0","left","right","NA","NA","left","1092","21545","NA","NA","1092","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","82803","1905","23452","NA","79448","1900","NA","80589","80592","NA","NA","84811","85903","81598","84810","Sternberg Task","10","8792","10","yes","1024"
