"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_Instruction1","correct_keyboard_response","correct_response","count_CorrectFeedback","count_Fixation","count_ISI","count_IncorrectFeedback","count_Instruction1","count_Instructions2","count_MemorySet","count_Probe","count_ThankYou","count_expSequence","count_experiment","count_experimentLoop","count_keyboard_response","count_logger","count_practiceLoop","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instruction1","response_Instructions2","response_ThankYou","response_keyboard_response","response_time","response_time_Instruction1","response_time_Instructions2","response_time_ThankYou","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_CorrectFeedback","time_Fixation","time_ISI","time_IncorrectFeedback","time_Instruction1","time_Instructions2","time_MemorySet","time_Probe","time_ThankYou","time_expSequence","time_experiment","time_experimentLoop","time_keyboard_response","time_logger","time_practiceLoop","title","total_correct","total_response_time","total_responses","width"
"0","0","2000","2000","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","0","0","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","4 3 1 7 9 8","Melodramatic Milgram","4.0.5","1","y","0","None","right","NA","NA","None","2000.0","111455","NA","NA","2000","2","legacy","6","1024","2","48000","-16","experiment","4","even","4","NA","115816","118018","NA","4046","NA","116817","120019","NA","115814","4043","NA","120019","122019","115502","Sternberg Task","0","2000.0","1","1024"
"0","0","2000","2000","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","1","1","1","1","0","0","1","1","0","1","0","0","1","1","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","1","1","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","1 7 9 8 5","Melodramatic Milgram","4.0.5","4","y","0","None","right","NA","NA","None","2000.0","111455","NA","NA","2000","2","legacy","5","1024","2","48000","-16","experiment","4","even","8","NA","123110","125313","122056","4046","NA","124112","127315","NA","123109","4043","NA","127315","129315","115502","Sternberg Task","0","4000.0","2","1024"
"0","0","2000","2000","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","2","2","2","2","0","0","2","2","0","2","0","0","2","2","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","2","2","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","5 7 8 4 1 2","Melodramatic Milgram","4.0.5","0","n","0","None","right","NA","NA","None","2000.0","111455","NA","NA","2000","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","NA","130370","132572","129318","4046","NA","131371","134573","NA","130368","4043","NA","134574","136574","115502","Sternberg Task","0","6000.0","3","1024"
"0","0","2000","2000","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","3","3","3","3","0","0","3","3","0","3","0","0","3","3","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","3","3","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","2 1","Melodramatic Milgram","4.0.5","0","n","0","None","right","NA","NA","None","2000.0","111455","NA","NA","2000","2","legacy","2","1024","2","48000","-16","experiment","4","even","5","NA","137632","139834","136582","4046","NA","138633","141835","NA","137630","4043","NA","141836","143836","115502","Sternberg Task","0","8000.0","4","1024"
"0","0","1751","1751","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","4","4","4","4","0","0","4","4","0","4","0","0","4","4","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","4","4","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","4 8","Melodramatic Milgram","4.0.5","1","y","0","right","right","NA","NA","right","759.0","111455","NA","NA","759","2","legacy","2","1024","2","48000","-16","experiment","4","even","4","NA","144904","147106","143844","4046","NA","145905","149107","NA","144902","4043","NA","149108","149868","115502","Sternberg Task","0","8759.0","5","1024"
"0","0","1511","1511","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","5","5","5","5","0","0","5","5","0","5","0","0","5","5","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","5","5","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","5","Melodramatic Milgram","4.0.5","0","n","0","left","right","NA","NA","left","308.0","111455","NA","NA","308","2","legacy","1","1024","2","48000","-16","experiment","4","even","3","NA","150925","153127","149877","4046","NA","151926","155128","NA","150923","4043","NA","155129","155438","115502","Sternberg Task","0","9067.0","6","1024"
"14","14","1414","1414","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","6","6","6","6","0","0","6","6","0","6","0","0","6","6","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","6","6","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","3 1 9 4","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","NA","right","833.0","111455","NA","NA","833","2","legacy","4","1024","2","48000","-16","experiment","4","even","6","NA","156490","158692","155447","4046","NA","157491","160693","NA","156488","4043","NA","160694","161528","115502","Sternberg Task","1","9900.0","7","1024"
"12","12","1258","1258","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","7","7","7","7","0","0","7","7","0","7","0","0","7","7","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","7","7","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","6","Melodramatic Milgram","4.0.5","1","y","0","right","right","NA","NA","right","165.0","111455","NA","NA","165","2","legacy","1","1024","2","48000","-16","experiment","4","even","6","161532","162587","164789","155447","4046","NA","163588","166790","NA","162585","4043","NA","166791","166956","115502","Sternberg Task","1","10065.0","8","1024"
"11","11","1152","1152","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","8","8","8","8","0","0","8","8","0","8","0","0","8","8","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","8","8","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","9 6 7 4 5","Melodramatic Milgram","4.0.5","0","n","0","left","right","NA","NA","left","311.0","111455","NA","NA","311","2","legacy","5","1024","2","48000","-16","experiment","4","even","3","161532","168015","170217","166965","4046","NA","169016","172218","NA","168012","4043","NA","172218","172530","115502","Sternberg Task","1","10376.0","9","1024"
"10","10","1073","1073","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","9","9","9","9","0","0","9","9","0","9","0","0","9","9","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","9","9","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","1 5 2 9","Melodramatic Milgram","4.0.5","2","y","0","right","right","NA","NA","right","360.0","111455","NA","NA","360","2","legacy","4","1024","2","48000","-16","experiment","4","even","5","161532","173582","175784","172533","4046","NA","174583","177785","NA","173580","4043","NA","177785","178146","115502","Sternberg Task","1","10736.0","10","1024"
"18","18","1009","1009","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","10","10","10","10","0","0","10","10","0","10","0","0","10","10","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","10","10","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","2 9 4","Melodramatic Milgram","4.0.5","3","y","0","left","right","NA","NA","left","367.0","111455","NA","NA","367","2","legacy","3","1024","2","48000","-16","experiment","4","even","4","161532","179222","181424","178155","4046","NA","180223","183425","NA","179220","4043","NA","183425","183792","115502","Sternberg Task","2","11103.0","11","1024"
"25","25","993","993","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","11","11","11","11","0","0","11","11","0","11","0","0","11","11","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","11","11","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","4 1 5","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","NA","right","817.0","111455","NA","NA","817","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","183801","184851","187053","178155","4046","NA","185852","189055","NA","184849","4043","NA","189055","189873","115502","Sternberg Task","3","11920.0","12","1024"
"30","30","963","963","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","12","12","12","12","0","0","12","12","0","12","0","0","12","12","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","0","11","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","6 9 7 4 5 1","Melodramatic Milgram","4.0.5","2","y","0","left","right","right","NA","left","604.0","111455","14325","NA","604","2","legacy","6","1024","2","48000","-16","experiment","4","even","9","189883","205334","207536","178155","4046","190884","206335","209537","NA","205333","4043","205209","209537","210142","115502","Sternberg Task","4","12524.0","13","1024"
"35","35","925","925","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","13","13","13","13","0","0","13","13","0","13","0","0","13","13","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","1","11","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","3 4 9 6 7 8","Melodramatic Milgram","4.0.5","0","n","0","right","right","right","NA","right","439.0","111455","14325","NA","439","2","legacy","6","1024","2","48000","-16","experiment","4","even","2","210151","211205","213407","178155","4046","190884","212206","215408","NA","211202","4043","205209","215408","215848","115502","Sternberg Task","5","12963.0","14","1024"
"33","33","895","895","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","left","14","14","14","14","0","0","14","14","0","14","0","0","14","14","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","2","11","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","9 8 4","Melodramatic Milgram","4.0.5","1","y","0","right","right","right","NA","right","472.0","111455","14325","NA","472","2","legacy","3","1024","2","48000","-16","experiment","4","even","9","215851","216898","219100","178155","4046","190884","217899","221101","NA","216896","4043","205209","221101","221574","115502","Sternberg Task","5","13435.0","15","1024"
"37","37","878","878","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","15","15","15","15","0","0","15","15","0","15","0","0","15","15","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","3","11","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","2 8 5 1","Melodramatic Milgram","4.0.5","4","y","0","left","right","right","NA","left","627.0","111455","14325","NA","627","2","legacy","4","1024","2","48000","-16","experiment","4","even","1","215851","222623","224825","221577","4046","190884","223624","226826","NA","222621","4043","205209","226826","227454","115502","Sternberg Task","6","14062.0","16","1024"
"41","41","855","855","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","16","16","16","16","0","0","16","16","0","16","0","0","16","16","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","4","11","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","4 2 7 6 1 3","Melodramatic Milgram","4.0.5","0","n","0","right","right","right","NA","right","488.0","111455","14325","NA","488","2","legacy","6","1024","2","48000","-16","experiment","4","even","8","227463","228515","230717","221577","4046","190884","229516","232719","NA","228513","4043","205209","232719","233208","115502","Sternberg Task","7","14550.0","17","1024"
"38","38","849","849","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","right","17","17","17","17","0","0","17","17","0","17","0","0","17","17","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","5","11","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","1 8 7","Melodramatic Milgram","4.0.5","0","n","0","left","right","right","NA","left","738.0","111455","14325","NA","738","2","legacy","3","1024","2","48000","-16","experiment","4","even","4","233217","234269","236471","221577","4046","190884","235270","238472","NA","234267","4043","205209","238472","239211","115502","Sternberg Task","7","15288.0","18","1024"
"36","36","836","836","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","left","18","18","18","18","0","0","18","18","0","18","0","0","18","18","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","6","11","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","4 7 6 8 2 3","Melodramatic Milgram","4.0.5","6","y","0","right","right","right","NA","right","602.0","111455","14325","NA","602","2","legacy","6","1024","2","48000","-16","experiment","4","even","3","233217","240282","242485","239216","4046","190884","241284","244486","NA","240279","4043","205209","244487","245090","115502","Sternberg Task","7","15890.0","19","1024"
"40","40","836","836","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","19","19","19","19","0","0","19","19","0","19","0","0","19","19","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","7","11","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","7 1","Melodramatic Milgram","4.0.5","0","n","0","right","right","right","NA","right","844.0","111455","14325","NA","844","2","legacy","2","1024","2","48000","-16","experiment","4","even","8","233217","246142","248346","245093","4046","190884","247145","250347","NA","246138","4043","205209","250347","251192","115502","Sternberg Task","8","16734.0","20","1024"
"42","42","853","853","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","20","20","20","20","0","0","20","20","0","20","0","0","20","20","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","8","11","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","3 9 7 6 4","Melodramatic Milgram","4.0.5","3","y","0","left","right","right","NA","left","1186.0","111455","14325","NA","1186","2","legacy","5","1024","2","48000","-16","experiment","4","even","7","251195","252271","254473","245093","4046","190884","253272","256474","NA","252265","4043","205209","256474","257660","115502","Sternberg Task","9","17920.0","21","1024"
"45","45","844","844","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","21","21","21","21","0","0","21","21","0","21","0","0","21","21","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","9","11","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","1 3 2 6 9","Melodramatic Milgram","4.0.5","0","n","0","right","right","right","NA","right","664.0","111455","14325","NA","664","2","legacy","5","1024","2","48000","-16","experiment","4","even","5","257663","258719","260922","245093","4046","190884","259721","262923","NA","258716","4043","205209","262923","263588","115502","Sternberg Task","10","18584.0","22","1024"
"43","43","839","839","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","left","22","22","22","22","0","0","22","22","0","22","0","0","22","22","0","Sun Oct 22 20:49:30 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\Hannah Laskoskie\Desktop\OpenSesame SternburgTask","False","mono","False","18","no","white","no","yes","768","legacy","10","11","C:/Users/Hannah Laskoskie/Desktop/OpenSesame SternburgTask/HL-subject-4.csv","legacy","6 1 2","Melodramatic Milgram","4.0.5","3","y","0","right","right","right","NA","right","714.0","111455","14325","NA","714","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","263598","264643","266845","245093","4046","190884","265644","268846","NA","264641","4043","205209","268846","269561","115502","Sternberg Task","10","19298.0","23","1024"
