"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_isi","count_keyboard_response","count_logger","count_memorySet","count_practiceloop","count_prob","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceloop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_isi","time_keyboard_response","time_logger","time_memorySet","time_practiceloop","time_prob","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","919","919","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/18/20 17:08:29","The main experiment item","yes","SternbergTask.osexp","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-1.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","919","33676","NA","919","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","NA","38033","3796","NA","38035","NA","3804","NA","40240","42241","43160","39037","37481","42241","NA","Sternberg Task","1","919","1","yes","1024"
"50","50","1027.5","1027.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","1","1","0","0","1","1","0","0","1","1","1","1","0","1","0","10/18/20 17:08:29","The main experiment item","yes","SternbergTask.osexp","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-1.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","right","right","NA","right","NA","1136","33676","NA","1136","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","43202","44260","3796","NA","44261","NA","3804","NA","46468","48469","49606","45263","37481","48469","NA","Sternberg Task","1","2055","2","yes","1024"
"66.6666666667","66.6666666667","975.333333333","975.333333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","2","0","0","2","2","0","0","2","2","2","2","0","2","0","10/18/20 17:08:29","The main experiment item","yes","SternbergTask.osexp","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-1.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","left","right","NA","left","NA","871","33676","NA","871","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","43202","50664","3796","NA","50666","49609","3804","NA","52874","54875","55747","51670","37481","54875","NA","Sternberg Task","2","2926","3","yes","1024"
"75","75","949.5","949.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","0","0","3","3","0","0","3","3","3","3","0","3","0","10/18/20 17:08:29","The main experiment item","yes","SternbergTask.osexp","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-1.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","872","33676","NA","872","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","55759","56828","3796","NA","56829","49609","3804","NA","59034","61035","61907","57830","37481","61035","NA","Sternberg Task","3","3798","4","yes","1024"
"80","80","933","933","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","0","0","4","4","0","0","4","4","4","4","0","4","0","10/18/20 17:08:29","The main experiment item","yes","SternbergTask.osexp","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-1.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","867","33676","NA","867","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","61911","62966","3796","NA","62968","49609","3804","NA","65176","67177","68044","63972","37481","67177","NA","Sternberg Task","4","4665","5","yes","1024"
"83.3333333333","83.3333333333","905","905","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","10/18/20 17:08:29","The main experiment item","yes","SternbergTask.osexp","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-1.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","765","33676","NA","765","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","68058","69111","3796","NA","69113","49609","3804","NA","71319","73321","74086","70117","37481","73321","NA","Sternberg Task","5","5430","6","yes","1024"
"85.7142857143","85.7142857143","873.571428571","873.571428571","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","0","0","6","6","0","0","6","6","6","6","0","6","0","10/18/20 17:08:29","The main experiment item","yes","SternbergTask.osexp","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-1.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","right","NA","left","NA","685","33676","NA","685","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","74098","75153","3796","NA","75154","49609","3804","NA","77361","79365","80051","76157","37481","79365","NA","Sternberg Task","6","6115","7","yes","1024"
"87.5","87.5","873","873","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","7","0","0","7","7","0","0","7","7","7","7","0","7","0","10/18/20 17:08:29","The main experiment item","yes","SternbergTask.osexp","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-1.csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","869","33676","NA","869","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","80063","81117","3796","NA","81118","49609","3804","NA","83321","85322","86193","82120","37481","85322","NA","Sternberg Task","7","6984","8","yes","1024"
"88.8888888889","88.8888888889","931.888888889","931.888888889","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","0","0","8","8","0","0","8","8","8","8","0","8","0","10/18/20 17:08:29","The main experiment item","yes","SternbergTask.osexp","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-1.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","1403","33676","NA","1403","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","86205","87261","3796","NA","87262","49609","3804","NA","89464","91465","92869","88263","37481","91465","NA","Sternberg Task","8","8387","9","yes","1024"
"90","90","914.1","914.1","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","0","0","9","9","0","0","9","9","9","9","0","9","0","10/18/20 17:08:29","The main experiment item","yes","SternbergTask.osexp","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 3 Sternberg Memory/subject-1.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","right","right","NA","right","NA","754","33676","NA","754","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","92882","93936","3796","NA","93937","49609","3804","NA","96142","98143","98898","94938","37481","98143","NA","Sternberg Task","9","9141","10","yes","1024"
