acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_correct_feedback,count_exp_sequence,count_experiment,count_experiment_loop,count_fixation,count_incorrect_feedback,count_instruction1,count_instructions2,count_keyboard_response,count_logger,count_memory_set,count_practice_loop,count_probe,count_thankyou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practice_loop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_keyboard_response,response_thankyou,response_time,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_thankyou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correct_feedback,time_exp_sequence,time_experiment,time_experiment_loop,time_fixation,time_incorrect_feedback,time_instruction1,time_instructions2,time_keyboard_response,time_logger,time_memory_set,time_practice_loop,time_probe,time_thankyou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,591,591,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mon Oct 16 11:09:59 2023,The main experiment item,yes,SternbergTask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/Thingtwo/Desktop/Advanced Quant. Sternberg/NC-subject-2.csv,legacy,1 5 2 9,Lentiform Loewenfeld,3.3.14,2,y,0,left,left,NA,left,NA,591,1806,NA,591,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,5,5284,NA,3045,1099,NA,3049,NA,1121,NA,7297,7896,4067,2938,7297,NA,Sternberg Task,1,591,1,yes,1024
100,100,516,516,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,Mon Oct 16 11:09:59 2023,The main experiment item,yes,SternbergTask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/Thingtwo/Desktop/Advanced Quant. Sternberg/NC-subject-2.csv,legacy,2 1,Lentiform Loewenfeld,3.3.14,0,n,0,right,left,NA,right,NA,441,1806,NA,441,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,5,11225,7919,8994,1099,NA,8999,NA,1121,NA,13237,13679,10010,2938,13237,NA,Sternberg Task,2,1032,2,yes,1024
100,100,504,504,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,2,2,2,0,0,2,2,0,0,2,2,2,0,2,0,Mon Oct 16 11:09:59 2023,The main experiment item,yes,SternbergTask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/Thingtwo/Desktop/Advanced Quant. Sternberg/NC-subject-2.csv,legacy,4 3 1 7 9 8,Lentiform Loewenfeld,3.3.14,1,y,0,left,left,NA,left,NA,480,1806,NA,480,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,4,16989,13685,14760,1099,NA,14764,NA,1121,NA,19000,19481,15776,2938,19000,NA,Sternberg Task,3,1512,3,yes,1024
100,100,491.5,491.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,3,3,3,0,0,3,3,0,0,3,3,3,0,3,0,Mon Oct 16 11:09:59 2023,The main experiment item,yes,SternbergTask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/Thingtwo/Desktop/Advanced Quant. Sternberg/NC-subject-2.csv,legacy,5,Lentiform Loewenfeld,3.3.14,0,n,0,right,left,NA,right,NA,454,1806,NA,454,NA,2,legacy,1,1024,2,48000,-16,experiment,2,even,3,22790,19487,20560,1099,NA,20564,NA,1121,NA,24801,25256,21576,2938,24801,NA,Sternberg Task,4,1966,4,yes,1024
100,100,509.4,509.4,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,4,4,4,0,0,4,4,0,0,4,4,4,0,4,0,Mon Oct 16 11:09:59 2023,The main experiment item,yes,SternbergTask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/Thingtwo/Desktop/Advanced Quant. Sternberg/NC-subject-2.csv,legacy,2 9 4,Lentiform Loewenfeld,3.3.14,3,y,0,left,left,NA,left,NA,581,1806,NA,581,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,4,28560,25262,26331,1099,NA,26336,NA,1121,NA,30570,31153,27347,2938,30570,NA,Sternberg Task,5,2547,5,yes,1024
100,100,511.8333333333333,511.8333333333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,5,5,5,0,0,5,5,0,0,5,5,5,0,5,0,Mon Oct 16 11:09:59 2023,The main experiment item,yes,SternbergTask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/Thingtwo/Desktop/Advanced Quant. Sternberg/NC-subject-2.csv,legacy,4 1 5,Lentiform Loewenfeld,3.3.14,0,n,0,right,left,NA,right,NA,524,1806,NA,524,NA,2,legacy,3,1024,2,48000,-16,experiment,2,even,2,34454,31158,32224,1099,NA,32229,NA,1121,NA,36464,36990,33240,2938,36464,NA,Sternberg Task,6,3071,6,yes,1024
100,100,497.14285714285717,497.14285714285717,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,6,6,6,0,0,6,6,0,0,6,6,6,0,6,0,Mon Oct 16 11:09:59 2023,The main experiment item,yes,SternbergTask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/Thingtwo/Desktop/Advanced Quant. Sternberg/NC-subject-2.csv,legacy,4 8,Lentiform Loewenfeld,3.3.14,1,y,0,left,left,NA,left,NA,409,1806,NA,409,NA,2,legacy,2,1024,2,48000,-16,experiment,2,even,4,40289,36995,38060,1099,NA,38065,NA,1121,NA,42300,42710,39076,2938,42300,NA,Sternberg Task,7,3480,7,yes,1024
100,100,506.5,506.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,7,7,7,0,0,7,7,0,0,7,7,7,0,7,0,Mon Oct 16 11:09:59 2023,The main experiment item,yes,SternbergTask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/Thingtwo/Desktop/Advanced Quant. Sternberg/NC-subject-2.csv,legacy,3 1 9 4,Lentiform Loewenfeld,3.3.14,0,n,0,right,left,NA,right,NA,572,1806,NA,572,NA,2,legacy,4,1024,2,48000,-16,experiment,2,even,6,46011,42715,43780,1099,NA,43785,NA,1121,NA,48022,48595,44797,2938,48022,NA,Sternberg Task,8,4052,8,yes,1024
100,100,560.7777777777778,560.7777777777778,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,8,8,8,0,0,8,8,0,0,8,8,8,0,8,0,Mon Oct 16 11:09:59 2023,The main experiment item,yes,SternbergTask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/Thingtwo/Desktop/Advanced Quant. Sternberg/NC-subject-2.csv,legacy,5 7 8 4 1 2,Lentiform Loewenfeld,3.3.14,0,n,0,right,left,NA,right,NA,995,1806,NA,995,NA,2,legacy,6,1024,2,48000,-16,experiment,2,even,6,51895,48600,49667,1099,NA,49672,NA,1121,NA,53907,54903,50681,2938,53906,NA,Sternberg Task,9,5047,9,yes,1024
100,100,549.6,549.6,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,9,9,9,0,0,9,9,0,0,9,9,9,0,9,0,Mon Oct 16 11:09:59 2023,The main experiment item,yes,SternbergTask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/Thingtwo/Desktop/Advanced Quant. Sternberg/NC-subject-2.csv,legacy,9 6 7 4 5,Lentiform Loewenfeld,3.3.14,0,n,0,right,left,NA,right,NA,449,1806,NA,449,NA,2,legacy,5,1024,2,48000,-16,experiment,2,even,3,58203,54909,55973,1099,NA,55978,NA,1121,NA,60214,60664,56988,2938,60214,NA,Sternberg Task,10,5496,10,yes,1024
