"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_Instructions2","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instructions2","response_instruction1","response_keyboard_response","response_thankYou","response_time","response_time_Instructions2","response_time_instruction1","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_Instructions2","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","554","554","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/24/20 21:45:30","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/solom/Desktop/MW-subject-4(s).csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","NA","right","left","NA","554","NA","52448","554","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","4","59970","NA","NA","57754","3112","NA","57758","NA","3123","61978","62533","58764","55573","61977","NA","Sternberg task","1","554","1","yes","1024"
"100","100","507.5","507.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","0","1","1","0","0","1","1","0","1","1","1","0","1","0","10/24/20 21:45:30","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/solom/Desktop/MW-subject-4(s).csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","NA","right","left","NA","461","NA","52448","461","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","4","66175","NA","62749","63959","3112","NA","63963","NA","3123","68182","68644","64969","55573","68181","NA","Sternberg task","2","1015","2","yes","1024"
"100","100","562.333333333","562.333333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","0","2","2","0","0","2","2","0","2","2","2","0","2","0","10/24/20 21:45:30","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/solom/Desktop/MW-subject-4(s).csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","left","NA","right","left","NA","672","NA","52448","672","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","8","72084","NA","68668","69870","3112","NA","69874","NA","3123","74091","74764","70879","55573","74090","NA","Sternberg task","3","1687","3","yes","1024"
"75","75","586.75","586.75","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","3","0","3","3","0","0","3","3","0","3","3","3","0","3","0","10/24/20 21:45:30","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/solom/Desktop/MW-subject-4(s).csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","left","NA","right","left","NA","660","NA","52448","660","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","3","78210","NA","74794","75994","3112","NA","75998","NA","3123","80215","80878","77003","55573","80215","NA","Sternberg task","3","2347","4","yes","1024"
"80","80","559.6","559.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","0","4","4","0","0","4","4","0","4","4","4","0","4","0","10/24/20 21:45:30","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/solom/Desktop/MW-subject-4(s).csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","left","NA","right","left","NA","451","NA","52448","451","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","6","84346","NA","74794","82130","3112","NA","82134","80931","3123","86352","86804","83139","55573","86351","NA","Sternberg task","4","2798","5","yes","1024"
"83.3333333333","83.3333333333","639.666666667","639.666666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","0","5","5","0","0","5","5","0","5","5","5","0","5","0","10/24/20 21:45:30","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/solom/Desktop/MW-subject-4(s).csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","1040","NA","52448","1040","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","3","90248","NA","86832","88032","3112","NA","88037","80931","3123","92252","93293","89043","55573","92252","NA","Sternberg task","5","3838","6","yes","1024"
"85.7142857143","85.7142857143","669.142857143","669.142857143","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","0","6","6","0","0","6","6","0","6","6","6","0","6","0","10/24/20 21:45:30","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/solom/Desktop/MW-subject-4(s).csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","846","NA","52448","846","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","96734","NA","93317","94518","3112","NA","94522","80931","3123","98742","99589","95527","55573","98740","NA","Sternberg task","6","4684","7","yes","1024"
"87.5","87.5","687.75","687.75","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","0","7","7","0","0","7","7","0","7","7","7","0","7","0","10/24/20 21:45:30","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/solom/Desktop/MW-subject-4(s).csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","left","NA","right","left","NA","818","NA","52448","818","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","4","103028","NA","99611","100814","3112","NA","100818","80931","3123","105034","105853","101823","55573","105034","NA","Sternberg task","7","5502","8","yes","1024"
"88.8888888889","88.8888888889","695","695","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","0","8","8","0","0","8","8","0","8","8","8","0","8","0","10/24/20 21:45:30","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/solom/Desktop/MW-subject-4(s).csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","753","NA","52448","753","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","6","109293","NA","105878","107078","3112","NA","107082","80931","3123","111299","112053","108087","55573","111298","NA","Sternberg task","8","6255","9","yes","1024"
"90","90","694","694","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","0","9","9","0","0","9","9","0","9","9","9","0","9","0","10/24/20 21:45:30","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/solom/Desktop/MW-subject-4(s).csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","685","NA","52448","685","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","5","115497","NA","112082","113283","3112","NA","113287","80931","3123","117503","118189","114291","55573","117502","NA","Sternberg task","9","6940","10","yes","1024"
"90.9090909091","90.9090909091","693.545454545","693.545454545","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","10","0","10","10","0","0","10","10","0","10","10","10","0","10","0","10/24/20 21:45:30","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/solom/Desktop/MW-subject-4(s).csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","left","NA","right","left","NA","689","NA","52448","689","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","5","121629","NA","118217","119415","3112","NA","119419","80931","3123","123634","124325","120424","55573","123633","NA","Sternberg task","10","7629","11","yes","1024"
