acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_correct_feedback,count_exp_sequence,count_experiment,count_experiment_loop,count_fixation,count_incorrect_feedback,count_instruction1,count_instructions2,count_keyboard_response,count_logger,count_memory_set,count_practice_loop,count_probe,count_thankyou,datetime,description,disable_garbage_collection,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practice_loop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_keyboard_response,response_thankyou,response_time,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_thankyou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correct_feedback,time_exp_sequence,time_experiment,time_experiment_loop,time_fixation,time_incorrect_feedback,time_instruction1,time_instructions2,time_keyboard_response,time_logger,time_memory_set,time_practice_loop,time_probe,time_thankyou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,640,640,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mon Oct 16 14:12:39 2023,The main experiment item,yes,/Users/Thingtwo/Desktop/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/Thingtwo/Desktop/Advanced Quant. Sternberg/NC-subject-3.csv,legacy,1 7 9 8 5,Lentiform Loewenfeld,3.3.14,4,y,0,left,right,NA,left,NA,640,854,NA,640,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,8,4382,NA,2146,1143,NA,2153,NA,1169,NA,6399,7040,3167,2040,6399,NA,Sternberg Task,1,640,1,yes,1024
100,100,603.5,603.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,Mon Oct 16 14:12:39 2023,The main experiment item,yes,/Users/Thingtwo/Desktop/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/Thingtwo/Desktop/Advanced Quant. Sternberg/NC-subject-3.csv,legacy,3 1 9 4,Lentiform Loewenfeld,3.3.14,0,n,0,right,right,NA,right,NA,567,854,NA,567,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,6,10374,7063,8138,1143,NA,8144,NA,1169,NA,12386,12954,9159,2040,12386,NA,Sternberg Task,2,1207,2,yes,1024
100,100,553,553,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,2,2,2,0,0,2,2,0,0,2,2,2,0,2,0,Mon Oct 16 14:12:39 2023,The main experiment item,yes,/Users/Thingtwo/Desktop/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/Thingtwo/Desktop/Advanced Quant. Sternberg/NC-subject-3.csv,legacy,4 1 5,Lentiform Loewenfeld,3.3.14,0,n,0,right,right,NA,right,NA,452,854,NA,452,NA,2,legacy,3,1024,2,48000,-16,experiment,3,odd,2,16259,12960,14027,1143,NA,14032,NA,1169,NA,18269,18728,15045,2040,18269,NA,Sternberg Task,3,1659,3,yes,1024
100,100,559.5,559.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,3,3,3,0,0,3,3,0,0,3,3,3,0,3,0,Mon Oct 16 14:12:39 2023,The main experiment item,yes,/Users/Thingtwo/Desktop/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/Thingtwo/Desktop/Advanced Quant. Sternberg/NC-subject-3.csv,legacy,2 1,Lentiform Loewenfeld,3.3.14,0,n,0,right,right,NA,right,NA,579,854,NA,579,NA,2,legacy,2,1024,2,48000,-16,experiment,3,odd,5,22030,18733,19799,1143,NA,19804,NA,1169,NA,24041,24621,20815,2040,24041,NA,Sternberg Task,4,2238,4,yes,1024
100,100,534.6,534.6,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,4,4,4,0,0,4,4,0,0,4,4,4,0,4,0,Mon Oct 16 14:12:39 2023,The main experiment item,yes,/Users/Thingtwo/Desktop/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/Thingtwo/Desktop/Advanced Quant. Sternberg/NC-subject-3.csv,legacy,4 3 1 7 9 8,Lentiform Loewenfeld,3.3.14,1,y,0,left,right,NA,left,NA,435,854,NA,435,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,4,27928,24626,25698,1143,NA,25703,NA,1169,NA,29939,30375,26715,2040,29939,NA,Sternberg Task,5,2673,5,yes,1024
100,100,524.5,524.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,5,5,5,0,0,5,5,0,0,5,5,5,0,5,0,Mon Oct 16 14:12:39 2023,The main experiment item,yes,/Users/Thingtwo/Desktop/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/Thingtwo/Desktop/Advanced Quant. Sternberg/NC-subject-3.csv,legacy,5,Lentiform Loewenfeld,3.3.14,0,n,0,right,right,NA,right,NA,474,854,NA,474,NA,2,legacy,1,1024,2,48000,-16,experiment,3,odd,3,33685,30381,31452,1143,NA,31458,NA,1169,NA,35695,36170,32470,2040,35695,NA,Sternberg Task,6,3147,6,yes,1024
85.71428571428571,85.71428571428571,545.5714285714286,545.5714285714286,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,6,6,6,0,0,6,6,0,0,6,6,6,0,6,0,Mon Oct 16 14:12:39 2023,The main experiment item,yes,/Users/Thingtwo/Desktop/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/Thingtwo/Desktop/Advanced Quant. Sternberg/NC-subject-3.csv,legacy,9 6 7 4 5,Lentiform Loewenfeld,3.3.14,0,n,0,left,right,NA,left,NA,672,854,NA,672,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,3,39479,36175,37241,1143,NA,37246,NA,1169,NA,41505,42178,38258,2040,41505,NA,Sternberg Task,6,3819,7,yes,1024
87.5,87.5,526,526,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,7,7,7,0,0,7,7,0,0,7,7,7,0,7,0,Mon Oct 16 14:12:39 2023,The main experiment item,yes,/Users/Thingtwo/Desktop/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/Thingtwo/Desktop/Advanced Quant. Sternberg/NC-subject-3.csv,legacy,6,Lentiform Loewenfeld,3.3.14,1,y,0,left,right,NA,left,NA,389,854,NA,389,NA,2,legacy,1,1024,2,48000,-16,experiment,3,odd,6,45497,36175,43251,1143,NA,43257,42184,1169,NA,47507,47896,44274,2040,47506,NA,Sternberg Task,7,4208,8,yes,1024
88.88888888888889,88.88888888888889,530.2222222222222,530.2222222222222,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,8,8,8,0,0,8,8,0,0,8,8,8,0,8,0,Mon Oct 16 14:12:39 2023,The main experiment item,yes,/Users/Thingtwo/Desktop/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/Thingtwo/Desktop/Advanced Quant. Sternberg/NC-subject-3.csv,legacy,2 9 4,Lentiform Loewenfeld,3.3.14,3,y,0,left,right,NA,left,NA,564,854,NA,564,NA,2,legacy,3,1024,2,48000,-16,experiment,3,odd,4,51198,47901,48964,1143,NA,48970,42184,1169,NA,53210,53774,49983,2040,53210,NA,Sternberg Task,8,4772,9,yes,1024
90,90,523.7,523.7,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,9,9,9,0,0,9,9,0,0,9,9,9,0,9,0,Mon Oct 16 14:12:39 2023,The main experiment item,yes,/Users/Thingtwo/Desktop/SternbergTask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/Thingtwo/Desktop/Advanced Quant. Sternberg/NC-subject-3.csv,legacy,4 8,Lentiform Loewenfeld,3.3.14,1,y,0,left,right,NA,left,NA,465,854,NA,465,NA,2,legacy,2,1024,2,48000,-16,experiment,3,odd,4,57073,53780,54842,1143,NA,54848,42184,1169,NA,59084,59550,55860,2040,59084,NA,Sternberg Task,9,5237,10,yes,1024
