"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1158","1158","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","left","left","NA","left","NA","1158","8622","NA","1158","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","8","17528","NA","15309","4313","NA","15316","NA","4321","NA","19534","20693","16322","12946","19534","NA","SternbergTask","1","1158","1","yes","1024"
"100","100","1036","1036","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","left","left","NA","left","NA","914","8622","NA","914","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","6","24387","20942","22167","4313","NA","22173","NA","4321","NA","26394","27310","23179","12946","26393","NA","SternbergTask","2","2072","2","yes","1024"
"100","100","878.333333333","878.333333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","563","8622","NA","563","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","6","30823","27380","28605","4313","NA","28610","NA","4321","NA","32829","33394","29617","12946","32829","NA","SternbergTask","3","2635","3","yes","1024"
"100","100","900","900","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","965","8622","NA","965","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","36907","33461","34685","4313","NA","34690","NA","4321","NA","38915","39881","35701","12946","38914","NA","SternbergTask","4","3600","4","yes","1024"
"100","100","842","842","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","left","NA","left","NA","610","8622","NA","610","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","4","43348","39913","41131","4313","NA","41136","NA","4321","NA","45355","45966","42142","12946","45354","NA","SternbergTask","5","4210","5","yes","1024"
"100","100","857","857","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","932","8622","NA","932","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","5","49479","46026","47259","4313","NA","47264","NA","4321","NA","51492","52426","48270","12946","51491","NA","SternbergTask","6","5142","6","yes","1024"
"100","100","842","842","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","752","8622","NA","752","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","3","55927","52489","53709","4313","NA","53714","NA","4321","NA","57934","58687","54720","12946","57933","NA","SternbergTask","7","5894","7","yes","1024"
"100","100","825.25","825.25","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","left","NA","right","NA","708","8622","NA","708","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","62202","58755","59976","4313","NA","59982","NA","4321","NA","64209","64919","60988","12946","64209","NA","SternbergTask","8","6602","8","yes","1024"
"100","100","845.444444444","845.444444444","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","left","left","NA","left","NA","1007","8622","NA","1007","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","4","68424","64989","66209","4313","NA","66214","NA","4321","NA","70431","71440","67219","12946","70430","NA","SternbergTask","9","7609","9","yes","1024"
"100","100","840.9","840.9","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","10/25/20 16:16:52","The main experiment item","yes","SternbergTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613\STERNBERGTASK","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Jennifer Wright/Desktop/PSYC5613/STERNBERGTASK/th-subject-4.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.3","3","y","0","left","left","NA","left","NA","800","8622","NA","800","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","4","74994","71513","72777","4313","NA","72782","NA","4321","NA","76999","77801","73789","12946","76998","NA","SternbergTask","10","8409","10","yes","1024"
