acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_keyboard_response,count_logger,count_memorySet,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_keyboard_response,time_logger,time_memorySet,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,width
100,100,986,986,#000000,practice,legacy,legacy,legacy,1,undefined,1,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thu Oct 12 10:12:19 2023,The main experiment item,FALSE,SternbergTask.osexp,C:/Users/Simone/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,0,0,C:/Users/Simone/Documents/subject-1.csv,legacy,1 5 2 9,Melodramatic Milgram,4.0.5,2,y,0,left,left,NA,left,NA,986,26242,NA,986,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,5,30597,NA,28394,1861,NA,28395,NA,1864,NA,32598,33584,29396,28107,32598,NA,Sternberg Task,1,986,1,1024
100,100,865,865,#000000,practice,legacy,legacy,legacy,1,undefined,1,right,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,Thu Oct 12 10:12:19 2023,The main experiment item,FALSE,SternbergTask.osexp,C:/Users/Simone/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,1,1,C:/Users/Simone/Documents/subject-1.csv,legacy,5 7 8 4 1 2,Melodramatic Milgram,4.0.5,0,n,0,right,left,NA,right,NA,745,26242,NA,745,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,6,36849,33612,34645,1861,NA,34646,NA,1864,NA,38850,39596,35647,28107,38850,NA,Sternberg Task,2,1731,2,1024
100,100,751,751,#000000,practice,legacy,legacy,legacy,1,undefined,1,right,2,2,2,0,0,2,2,0,0,2,2,2,0,2,0,Thu Oct 12 10:12:19 2023,The main experiment item,FALSE,SternbergTask.osexp,C:/Users/Simone/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,2,2,C:/Users/Simone/Documents/subject-1.csv,legacy,2 1,Melodramatic Milgram,4.0.5,0,n,0,right,left,NA,right,NA,523,26242,NA,523,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,5,42847,39599,40643,1861,NA,40644,NA,1864,NA,44848,45371,41645,28107,44848,NA,Sternberg Task,3,2254,3,1024
100,100,714,714,#000000,practice,legacy,legacy,legacy,1,undefined,1,left,3,3,3,0,0,3,3,0,0,3,3,3,0,3,0,Thu Oct 12 10:12:19 2023,The main experiment item,FALSE,SternbergTask.osexp,C:/Users/Simone/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,3,3,C:/Users/Simone/Documents/subject-1.csv,legacy,4 3 1 7 9 8,Melodramatic Milgram,4.0.5,1,y,0,left,left,NA,left,NA,602,26242,NA,602,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,4,48618,45375,46413,1861,NA,46415,NA,1864,NA,50620,51223,47417,28107,50619,NA,Sternberg Task,4,2856,4,1024
100,100,691,691,#000000,practice,legacy,legacy,legacy,1,undefined,1,right,4,4,4,0,0,4,4,0,0,4,4,4,0,4,0,Thu Oct 12 10:12:19 2023,The main experiment item,FALSE,SternbergTask.osexp,C:/Users/Simone/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,4,4,C:/Users/Simone/Documents/subject-1.csv,legacy,9 6 7 4 5,Melodramatic Milgram,4.0.5,0,n,0,right,left,NA,right,NA,601,26242,NA,601,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,3,54466,51227,52260,1861,NA,52262,NA,1864,NA,56467,57068,53264,28107,56467,NA,Sternberg Task,5,3457,5,1024
100,100,705,705,#000000,practice,legacy,legacy,legacy,1,undefined,1,right,5,5,5,0,0,5,5,0,0,5,5,5,0,5,0,Thu Oct 12 10:12:19 2023,The main experiment item,FALSE,SternbergTask.osexp,C:/Users/Simone/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,5,5,C:/Users/Simone/Documents/subject-1.csv,legacy,5,Melodramatic Milgram,4.0.5,0,n,0,right,left,NA,right,NA,773,26242,NA,773,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,3,60311,57072,58107,1861,NA,58108,NA,1864,NA,62312,63085,59109,28107,62312,NA,Sternberg Task,6,4230,6,1024
100,100,688,688,#000000,practice,legacy,legacy,legacy,1,undefined,1,right,6,6,6,0,0,6,6,0,0,6,6,6,0,6,0,Thu Oct 12 10:12:19 2023,The main experiment item,FALSE,SternbergTask.osexp,C:/Users/Simone/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,6,6,C:/Users/Simone/Documents/subject-1.csv,legacy,4 1 5,Melodramatic Milgram,4.0.5,0,n,0,right,left,NA,right,NA,588,26242,NA,588,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,2,66326,63089,64122,1861,NA,64123,NA,1864,NA,68328,68917,65124,28107,68327,NA,Sternberg Task,7,4818,7,1024
100,100,706,706,#000000,practice,legacy,legacy,legacy,1,undefined,1,left,7,7,7,0,0,7,7,0,0,7,7,7,0,7,0,Thu Oct 12 10:12:19 2023,The main experiment item,FALSE,SternbergTask.osexp,C:/Users/Simone/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,7,7,C:/Users/Simone/Documents/subject-1.csv,legacy,4 8,Melodramatic Milgram,4.0.5,1,y,0,left,left,NA,left,NA,833,26242,NA,833,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,4,72164,68921,69960,1861,NA,69962,NA,1864,NA,74166,75000,70963,28107,74165,NA,Sternberg Task,8,5651,8,1024
100,100,687,687,#000000,practice,legacy,legacy,legacy,1,undefined,1,left,8,8,8,0,0,8,8,0,0,8,8,8,0,8,0,Thu Oct 12 10:12:19 2023,The main experiment item,FALSE,SternbergTask.osexp,C:/Users/Simone/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,8,8,C:/Users/Simone/Documents/subject-1.csv,legacy,6,Melodramatic Milgram,4.0.5,1,y,0,left,left,NA,left,NA,538,26242,NA,538,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,6,78249,75010,76045,1861,NA,76047,NA,1864,NA,80250,80788,77048,28107,80250,NA,Sternberg Task,9,6189,9,1024
90,90,687,687,#000000,practice,legacy,legacy,legacy,0,undefined,0,left,9,9,9,0,0,9,9,0,0,9,9,9,0,9,0,Thu Oct 12 10:12:19 2023,The main experiment item,FALSE,SternbergTask.osexp,C:/Users/Simone/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,9,9,C:/Users/Simone/Documents/subject-1.csv,legacy,2 9 4,Melodramatic Milgram,4.0.5,3,y,0,right,left,NA,right,NA,683,26242,NA,683,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,4,84030,80793,81826,1861,NA,81827,NA,1864,NA,86031,86714,82829,28107,86031,NA,Sternberg Task,9,6872,10,1024
90,90,703,703,#000000,practice,legacy,legacy,legacy,1,undefined,1,right,10,10,10,0,0,10,10,0,0,10,10,10,0,10,0,Thu Oct 12 10:12:19 2023,The main experiment item,FALSE,SternbergTask.osexp,C:/Users/Simone/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,10,10,C:/Users/Simone/Documents/subject-1.csv,legacy,3 1 9 4,Melodramatic Milgram,4.0.5,0,n,0,right,left,NA,right,NA,870,26242,NA,870,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,6,89959,80793,87755,1861,NA,87756,86719,1864,NA,91960,92830,88757,28107,91960,NA,Sternberg Task,10,7742,11,1024
83,83,702,702,#000000,practice,legacy,legacy,legacy,0,undefined,0,left,11,11,11,0,0,11,11,0,0,11,11,11,0,11,0,Thu Oct 12 10:12:19 2023,The main experiment item,FALSE,SternbergTask.osexp,C:/Users/Simone/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,11,11,C:/Users/Simone/Documents/subject-1.csv,legacy,1 7 9 8 5,Melodramatic Milgram,4.0.5,4,y,0,right,left,NA,right,NA,686,26242,NA,686,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,8,96070,92835,93865,1861,NA,93866,86719,1864,NA,98071,98758,94868,28107,98071,NA,Sternberg Task,10,8428,12,1024
84,84,697,697,#000000,experiment,legacy,legacy,legacy,1,undefined,1,right,12,12,12,0,0,12,12,0,0,12,12,12,0,12,0,Thu Oct 12 10:12:19 2023,The main experiment item,FALSE,SternbergTask.osexp,C:/Users/Simone/Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,0,11,C:/Users/Simone/Documents/subject-1.csv,legacy,7 3 2 8,Melodramatic Milgram,4.0.5,0,n,0,right,left,left,right,NA,637,26242,28992,637,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,4,131063,92835,128860,1861,128755,128861,98762,1864,99763,133064,133702,129862,28107,133064,NA,Sternberg Task,11,9065,13,1024
