"","subject","condition","distance","init","RT","side"
"1",1,"incongruent",2,813,2219,"left"
"2",1,"congruent",3,438,1594,"left"
"3",1,"congruent",1,360,1547,"left"
"4",1,"incongruent",4,828,1953,"left"
"5",1,"incongruent",3,141,1594,"left"
"6",1,"incongruent",4,140,1781,"left"
"7",1,"incongruent",1,188,1454,"left"
"8",1,"incongruent",1,47,1547,"left"
"9",1,"incongruent",2,78,1734,"left"
"10",1,"congruent",3,31,1625,"left"
"11",1,"congruent",2,31,1734,"left"
"12",1,"congruent",4,172,1531,"left"
"13",1,"congruent",1,62,1516,"left"
"14",1,"congruent",2,47,1437,"left"
"15",1,"incongruent",3,78,1328,"left"
"16",1,"incongruent",4,63,1234,"left"
"17",1,"congruent",2,47,1218,"left"
"18",1,"incongruent",3,110,1719,"left"
"19",1,"congruent",4,172,1360,"left"
"20",1,"congruent",1,32,1516,"left"
"21",1,"congruent",3,157,1891,"left"
"22",1,"incongruent",2,219,1500,"left"
"23",1,"congruent",4,94,1360,"left"
"24",1,"incongruent",1,109,1297,"left"
"25",1,"incongruent",1,94,1328,"left"
"26",1,"incongruent",1,140,1265,"left"
"27",1,"incongruent",4,110,1266,"left"
"28",1,"incongruent",3,109,1375,"left"
"29",1,"congruent",2,62,1453,"left"
"30",1,"congruent",1,172,1203,"left"
"31",1,"congruent",2,204,1282,"left"
"32",1,"incongruent",2,188,1313,"left"
"33",1,"incongruent",4,172,1313,"left"
"34",1,"congruent",4,94,1329,"left"
"35",1,"congruent",2,78,1062,"left"
"36",1,"congruent",3,125,1141,"left"
"37",1,"congruent",3,78,984,"left"
"38",1,"congruent",4,204,1610,"left"
"39",1,"incongruent",2,47,1203,"left"
"40",1,"incongruent",1,125,1344,"left"
"41",1,"congruent",4,110,1250,"left"
"42",1,"congruent",1,32,1235,"left"
"43",1,"congruent",1,47,1281,"left"
"44",1,"congruent",3,125,1125,"left"
"45",1,"incongruent",4,172,1172,"left"
"46",1,"incongruent",2,78,1688,"left"
