subj,correct,problemSize,format,truth,rt
1,1,Small,Digits,TRUE,1044
1,1,Small,Digits,FALSE,1202
1,1,Small,Digits,FALSE,1273
1,1,Small,Digits,FALSE,1224
1,1,Small,Digits,FALSE,1415
1,1,Small,Digits,FALSE,1208
1,1,Small,Digits,FALSE,1453
1,1,Small,Digits,FALSE,1127
1,1,Small,Digits,FALSE,1879
1,1,Small,Digits,FALSE,1200
1,1,Large,Digits,TRUE,1434
1,1,Small,Digits,TRUE,1000
1,1,Large,Digits,TRUE,1065
1,1,Large,Digits,TRUE,1037
1,1,Large,Digits,TRUE,1514
1,1,Large,Digits,TRUE,1264
1,1,Large,Digits,TRUE,1270
1,1,Large,Digits,TRUE,2075
1,1,Large,Digits,TRUE,957
1,1,Large,Digits,FALSE,1617
1,1,Large,Digits,FALSE,1527
1,1,Small,Digits,TRUE,1055
1,1,Large,Digits,FALSE,2689
1,1,Large,Digits,FALSE,2010
1,1,Large,Digits,FALSE,2253
1,1,Large,Digits,FALSE,2061
1,1,Large,Digits,FALSE,1138
1,1,Large,Digits,FALSE,1557
1,1,Small,Digits,TRUE,1107
1,1,Small,Digits,TRUE,1046
1,1,Small,Digits,TRUE,1443
1,1,Small,Digits,TRUE,1497
1,1,Small,Digits,TRUE,954
1,1,Small,Digits,TRUE,1226
1,1,Small,Digits,TRUE,698
1,1,Small,Digits,FALSE,1842
1,1,Small,Digits,FALSE,1396
1,1,Small,Digits,FALSE,1687
1,1,Small,Digits,FALSE,1211
1,1,Small,Digits,FALSE,1298
1,1,Small,Digits,FALSE,1701
1,1,Small,Digits,FALSE,1296
1,1,Small,Digits,FALSE,1310
1,1,Small,Digits,FALSE,1268
1,1,Large,Digits,TRUE,874
1,1,Small,Digits,TRUE,725
1,1,Large,Digits,TRUE,1196
1,1,Large,Digits,TRUE,1236
1,1,Large,Digits,TRUE,810
1,1,Large,Digits,TRUE,1647
1,1,Large,Digits,TRUE,2597
1,1,Large,Digits,TRUE,888
1,1,Large,Digits,TRUE,2106
