"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_Instructions3","count_error_feedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Instructions3","response_finish","response_instructions1","response_instructions2","response_keyboard_response","response_time","response_time_Instructions3","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_Instructions3","time_error_feedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","855","855","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/05/18 16:09:00","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-2.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","NA","s","NA","h","855","NA","NA","129199","NA","855","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","132760","NA","NA","NA","NA","NA","3552","NA","NA","132866","3559","NA","132968","133823","132863","132968","Flanker task","1","855","1","yes","1024"
"100","100","685.5","685.5","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","h","0","0","0","1","0","1","0","1","0","1","0","0","1","1","1","1","09/05/18 16:09:00","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-2.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","NA","s","NA","h","516","NA","NA","129199","NA","516","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","132760","NA","NA","133839","NA","NA","3552","NA","NA","134905","3559","NA","135007","135523","134902","135006","Flanker task","2","1371","2","yes","1024"
"100","100","622.333333333","622.333333333","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","h","0","0","0","2","0","2","0","2","0","2","0","0","2","2","2","2","09/05/18 16:09:00","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-2.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","NA","s","NA","h","496","NA","NA","129199","NA","496","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","132760","NA","NA","135534","NA","NA","3552","NA","NA","136605","3559","NA","136707","137204","136602","136707","Flanker task","3","1867","3","yes","1024"
"75","75","562.5","562.5","black","legacy","legacy","legacy","0","Incongruent","uniform","0","undefined","0","s","0","0","0","3","0","3","0","3","0","3","0","0","3","3","3","3","09/05/18 16:09:00","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-2.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","NA","s","NA","h","383","NA","NA","129199","NA","383","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","132760","NA","NA","137215","NA","NA","3552","NA","NA","138280","3559","NA","138382","138766","138277","138381","Flanker task","3","2250","4","yes","1024"
"80","80","546.2","546.2","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","4","0","4","0","4","0","4","0","0","4","4","4","4","09/05/18 16:09:00","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-2.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","481","NA","NA","129199","NA","481","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","132760","NA","NA","139281","NA","138778","3552","NA","NA","140346","3559","NA","140448","140930","140343","140447","Flanker task","4","2731","5","yes","1024"
"83.3333333333","83.3333333333","541.333333333","541.333333333","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","s","0","0","0","5","0","5","0","5","0","5","0","0","5","5","5","5","09/05/18 16:09:00","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-2.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","517","NA","NA","129199","NA","517","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","132760","NA","NA","140934","NA","138778","3552","NA","NA","142001","3559","NA","142103","142621","141998","142102","Flanker task","5","3248","6","yes","1024"
"85.7142857143","85.7142857143","522.857142857","522.857142857","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","6","0","6","0","6","0","6","0","0","6","6","6","6","09/05/18 16:09:00","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-2.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","412","NA","NA","129199","NA","412","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","132760","NA","NA","142632","NA","138778","3552","NA","NA","143698","3559","NA","143800","144212","143695","143800","Flanker task","6","3660","7","yes","1024"
"87.5","87.5","511.5","511.5","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","7","0","7","0","7","0","7","0","0","7","7","7","7","09/05/18 16:09:00","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-2.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","432","NA","NA","129199","NA","432","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","132760","NA","NA","144223","NA","138778","3552","NA","NA","145288","3559","NA","145390","145822","145285","145390","Flanker task","7","4092","8","yes","1024"
"88.8888888889","88.8888888889","499.555555556","499.555555556","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","8","0","8","0","8","0","8","0","0","8","8","8","8","09/05/18 16:09:00","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-2.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","404","NA","NA","129199","NA","404","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","132760","NA","NA","145834","NA","138778","3552","NA","NA","146899","3559","NA","147000","147404","146897","147000","Flanker task","8","4496","9","yes","1024"
"90","90","497","497","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","h","0","0","0","9","0","9","0","9","0","9","0","0","9","9","9","9","09/05/18 16:09:00","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-2.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","NA","s","NA","h","474","NA","NA","129199","NA","474","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","132760","NA","NA","147416","NA","138778","3552","NA","NA","148486","3559","NA","148587","149061","148484","148587","Flanker task","9","4970","10","yes","1024"
