acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_Stimulus,count_errorfeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_sequence,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_Stimulus,time_errorfeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,619,619,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thu Sep  6 13:51:20 2018,1500,The main experiment item,yes,FlankerTaskAHC.osexp,/Users/abigailchristie/Desktop/Faulkenberry,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/abigailchristie/Desktop/Faulkenberry/AHC01.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,return,NA,NA,h,619,NA,856,NA,NA,619,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,3127,NA,NA,NA,3333,NA,2250,NA,NA,3225,2263,NA,NA,3333,3954,3217,Flanker Task-AHC,1,619,1,yes,1024
100,100,536.5,536.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,Thu Sep  6 13:51:20 2018,1500,The main experiment item,yes,FlankerTaskAHC.osexp,/Users/abigailchristie/Desktop/Faulkenberry,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/abigailchristie/Desktop/Faulkenberry/AHC01.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,return,NA,NA,h,454,NA,856,NA,NA,454,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,3127,NA,NA,3969,5178,NA,2250,NA,NA,5069,2263,NA,NA,5178,5633,5060,Flanker Task-AHC,2,1073,2,yes,1024
100,100,494.6666667,494.6666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,2,2,2,0,2,0,2,0,0,0,2,2,2,Thu Sep  6 13:51:20 2018,1500,The main experiment item,yes,FlankerTaskAHC.osexp,/Users/abigailchristie/Desktop/Faulkenberry,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/abigailchristie/Desktop/Faulkenberry/AHC01.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,return,NA,NA,s,411,NA,856,NA,NA,411,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,3127,NA,NA,5647,6845,NA,2250,NA,NA,6737,2263,NA,NA,6845,7257,6728,Flanker Task-AHC,3,1484,3,yes,1024
100,100,486.25,486.25,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,3,3,3,0,3,0,3,0,0,0,3,3,3,Thu Sep  6 13:51:20 2018,1500,The main experiment item,yes,FlankerTaskAHC.osexp,/Users/abigailchristie/Desktop/Faulkenberry,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/abigailchristie/Desktop/Faulkenberry/AHC01.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,return,NA,NA,h,461,NA,856,NA,NA,461,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,3127,NA,NA,7269,8467,NA,2250,NA,NA,8359,2263,NA,NA,8467,8929,8351,Flanker Task-AHC,4,1945,4,yes,1024
100,100,492.4,492.4,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,4,4,4,0,4,0,4,0,0,0,4,4,4,Thu Sep  6 13:51:20 2018,1500,The main experiment item,yes,FlankerTaskAHC.osexp,/Users/abigailchristie/Desktop/Faulkenberry,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/abigailchristie/Desktop/Faulkenberry/AHC01.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,return,NA,NA,s,517,NA,856,NA,NA,517,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,3127,NA,NA,8942,10138,NA,2250,NA,NA,10030,2263,NA,NA,10139,10657,10022,Flanker Task-AHC,5,2462,5,yes,1024
100,100,466.6666667,466.6666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,5,5,5,0,5,0,5,0,0,0,5,5,5,Thu Sep  6 13:51:20 2018,1500,The main experiment item,yes,FlankerTaskAHC.osexp,/Users/abigailchristie/Desktop/Faulkenberry,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/abigailchristie/Desktop/Faulkenberry/AHC01.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,return,NA,NA,h,338,NA,856,NA,NA,338,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,3127,NA,NA,10671,11869,NA,2250,NA,NA,11760,2263,NA,NA,11870,12209,11752,Flanker Task-AHC,6,2800,6,yes,1024
100,100,467.8571429,467.8571429,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,6,6,6,0,6,0,6,0,0,0,6,6,6,Thu Sep  6 13:51:20 2018,1500,The main experiment item,yes,FlankerTaskAHC.osexp,/Users/abigailchristie/Desktop/Faulkenberry,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/abigailchristie/Desktop/Faulkenberry/AHC01.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,return,NA,NA,h,475,NA,856,NA,NA,475,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,3127,NA,NA,12220,13419,NA,2250,NA,NA,13310,2263,NA,NA,13420,13897,13301,Flanker Task-AHC,7,3275,7,yes,1024
100,100,459.75,459.75,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,7,7,7,0,7,0,7,0,0,0,7,7,7,Thu Sep  6 13:51:20 2018,1500,The main experiment item,yes,FlankerTaskAHC.osexp,/Users/abigailchristie/Desktop/Faulkenberry,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/abigailchristie/Desktop/Faulkenberry/AHC01.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,return,NA,NA,h,403,NA,856,NA,NA,403,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,3127,NA,NA,13910,15108,NA,2250,NA,NA,14999,2263,NA,NA,15108,15513,14991,Flanker Task-AHC,8,3678,8,yes,1024
100,100,453.2222222,453.2222222,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,8,8,8,0,8,0,8,0,0,0,8,8,8,Thu Sep  6 13:51:20 2018,1500,The main experiment item,yes,FlankerTaskAHC.osexp,/Users/abigailchristie/Desktop/Faulkenberry,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/abigailchristie/Desktop/Faulkenberry/AHC01.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,return,NA,NA,s,401,NA,856,NA,NA,401,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,3127,NA,NA,15527,16724,NA,2250,NA,NA,16616,2263,NA,NA,16725,17128,16608,Flanker Task-AHC,9,4079,9,yes,1024
100,100,466.7,466.7,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,9,9,9,0,9,0,9,0,0,0,9,9,9,Thu Sep  6 13:51:20 2018,1500,The main experiment item,yes,FlankerTaskAHC.osexp,/Users/abigailchristie/Desktop/Faulkenberry,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/abigailchristie/Desktop/Faulkenberry/AHC01.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,return,NA,NA,h,588,NA,856,NA,NA,588,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,3127,NA,NA,17140,18339,NA,2250,NA,NA,18230,2263,NA,NA,18339,18929,18222,Flanker Task-AHC,10,4667,10,yes,1024
90.90909091,90.90909091,460.3636364,460.3636364,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,0,0,10,10,10,0,10,0,10,0,0,0,10,10,10,Thu Sep  6 13:51:20 2018,1500,The main experiment item,yes,FlankerTaskAHC.osexp,/Users/abigailchristie/Desktop/Faulkenberry,no,mono,no,18,no,white,no,yes,768,legacy,10,10,/Users/abigailchristie/Desktop/Faulkenberry/AHC01.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,return,NA,NA,s,397,NA,856,NA,NA,397,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,3127,NA,NA,18943,20138,NA,2250,NA,NA,20029,2263,NA,NA,20138,20537,20022,Flanker Task-AHC,10,5064,11,yes,1024
91.66666667,91.66666667,460.75,460.75,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,11,11,11,0,11,0,11,0,0,0,11,11,11,Thu Sep  6 13:51:20 2018,1500,The main experiment item,yes,FlankerTaskAHC.osexp,/Users/abigailchristie/Desktop/Faulkenberry,no,mono,no,18,no,white,no,yes,768,legacy,11,11,/Users/abigailchristie/Desktop/Faulkenberry/AHC01.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,return,NA,NA,s,465,NA,856,NA,NA,465,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,3127,NA,NA,21057,22253,20549,2250,NA,NA,22144,2263,NA,NA,22254,22720,22137,Flanker Task-AHC,11,5529,12,yes,1024
92.30769231,92.30769231,459.5384615,459.5384615,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,12,12,12,0,12,0,12,0,0,0,12,12,12,Thu Sep  6 13:51:20 2018,1500,The main experiment item,yes,FlankerTaskAHC.osexp,/Users/abigailchristie/Desktop/Faulkenberry,no,mono,no,18,no,white,no,yes,768,legacy,12,12,/Users/abigailchristie/Desktop/Faulkenberry/AHC01.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,return,NA,NA,h,445,NA,856,NA,NA,445,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,3127,NA,NA,22732,23930,20549,2250,NA,NA,23822,2263,NA,NA,23930,24377,23814,Flanker Task-AHC,12,5974,13,yes,1024
92.85714286,92.85714286,461.2857143,461.2857143,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,13,13,13,0,13,0,13,0,0,0,13,13,13,Thu Sep  6 13:51:20 2018,1500,The main experiment item,yes,FlankerTaskAHC.osexp,/Users/abigailchristie/Desktop/Faulkenberry,no,mono,no,18,no,white,no,yes,768,legacy,13,13,/Users/abigailchristie/Desktop/Faulkenberry/AHC01.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,return,NA,NA,h,484,NA,856,NA,NA,484,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,3127,NA,NA,24389,25586,20549,2250,NA,NA,25477,2263,NA,NA,25586,26071,25469,Flanker Task-AHC,13,6458,14,yes,1024
93.33333333,93.33333333,464.3333333,464.3333333,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,14,14,14,0,14,0,14,0,0,0,14,14,14,Thu Sep  6 13:51:20 2018,1500,The main experiment item,yes,FlankerTaskAHC.osexp,/Users/abigailchristie/Desktop/Faulkenberry,no,mono,no,18,no,white,no,yes,768,legacy,14,14,/Users/abigailchristie/Desktop/Faulkenberry/AHC01.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,return,NA,NA,s,507,NA,856,NA,NA,507,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,3127,NA,NA,26084,27284,20549,2250,NA,NA,27175,2263,NA,NA,27284,27792,27167,Flanker Task-AHC,14,6965,15,yes,1024
93.75,93.75,461.5625,461.5625,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,15,15,15,0,15,0,15,0,0,0,15,15,15,Thu Sep  6 13:51:20 2018,1500,The main experiment item,yes,FlankerTaskAHC.osexp,/Users/abigailchristie/Desktop/Faulkenberry,no,mono,no,18,no,white,no,yes,768,legacy,15,15,/Users/abigailchristie/Desktop/Faulkenberry/AHC01.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,return,NA,NA,h,420,NA,856,NA,NA,420,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,3127,NA,NA,27806,29003,20549,2250,NA,NA,28895,2263,NA,NA,29003,29424,28887,Flanker Task-AHC,15,7385,16,yes,1024
94.11764706,94.11764706,464.1176471,464.1176471,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,16,16,16,0,16,0,16,0,0,0,16,16,16,Thu Sep  6 13:51:20 2018,1500,The main experiment item,yes,FlankerTaskAHC.osexp,/Users/abigailchristie/Desktop/Faulkenberry,no,mono,no,18,no,white,no,yes,768,legacy,16,16,/Users/abigailchristie/Desktop/Faulkenberry/AHC01.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,return,NA,NA,s,505,NA,856,NA,NA,505,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,3127,NA,NA,29438,30637,20549,2250,NA,NA,30527,2263,NA,NA,30637,31143,30519,Flanker Task-AHC,16,7890,17,yes,1024
